trace,op_ems,emb_ems
nanoseq-apr-3,142.59865766687153,0.0
nanoseq-apr-3~+00-01-00,138.68446151523707,0.0
nanoseq-apr-3~+00-02-00,135.4689513058562,0.0
nanoseq-apr-3~+00-03-00,137.42147524137715,0.0
nanoseq-apr-3~+00-04-00,141.74666536821246,0.0
nanoseq-apr-3~+00-05-00,146.8972642329044,0.0
nanoseq-apr-3~+00-06-00,153.4358109355042,0.0
nanoseq-apr-3~+00-07-00,158.04942294496112,0.0
nanoseq-apr-3~+00-08-00,161.11250608752124,0.0
nanoseq-apr-3~+00-09-00,156.51442026775103,0.0
nanoseq-apr-3~+00-10-00,154.05396126775474,0.0
nanoseq-apr-3~+00-11-00,149.26619272720944,0.0
nanoseq-apr-3~+00-12-00,145.2157879734961,0.0
nanoseq-apr-3~+00-13-00,140.8074410046474,0.0
nanoseq-apr-3~+00-14-00,137.75517922683184,0.0
nanoseq-apr-3~+00-15-00,134.65228497855463,0.0
nanoseq-apr-3~+00-16-00,134.45138027027218,0.0
nanoseq-apr-3~+00-17-00,134.29837433983596,0.0
nanoseq-apr-3~+00-18-00,133.68349050390538,0.0
nanoseq-apr-3~+00-19-00,133.82512080115401,0.0
nanoseq-apr-3~+00-20-00,132.83242448410374,0.0
nanoseq-apr-3~+00-21-00,134.1010041897904,0.0
nanoseq-apr-3~+00-22-00,134.41007097189367,0.0
nanoseq-apr-3~+00-23-00,135.17624517832752,0.0
nanoseq-apr-3~+01-00-00,135.45223434956432,0.0
nanoseq-apr-3~+01-01-00,135.81648317655532,0.0
nanoseq-apr-3~+01-02-00,134.45722479636453,0.0
nanoseq-apr-3~+01-03-00,133.44953141880183,0.0
nanoseq-apr-3~+01-04-00,134.60603323506388,0.0
nanoseq-apr-3~+01-05-00,137.32164437439684,0.0
nanoseq-apr-3~+01-06-00,138.92738993928003,0.0
nanoseq-apr-3~+01-07-00,142.45087522772093,0.0
nanoseq-apr-3~+01-08-00,147.1354634078811,0.0
nanoseq-apr-3~+01-09-00,150.41273709544964,0.0
nanoseq-apr-3~+01-10-00,149.32504736458975,0.0
nanoseq-apr-3~+01-11-00,146.5606926198306,0.0
nanoseq-apr-3~+01-12-00,142.92847056213859,0.0
nanoseq-apr-3~+01-13-00,138.92439064774376,0.0
nanoseq-apr-3~+01-14-00,136.60206930161917,0.0
nanoseq-apr-3~+01-15-00,135.36395021547196,0.0
nanoseq-apr-3~+01-16-00,136.70807433307166,0.0
nanoseq-apr-3~+01-17-00,137.54121399025672,0.0
nanoseq-apr-3~+01-18-00,139.13953242157993,0.0
nanoseq-apr-3~+01-19-00,142.24137166266925,0.0
nanoseq-apr-3~+01-20-00,145.4690852137605,0.0
nanoseq-apr-3~+01-21-00,145.8883261907415,0.0
nanoseq-apr-3~+01-22-00,146.3563885041974,0.0
nanoseq-apr-3~+01-23-00,145.30635756610238,0.0
nanoseq-apr-3~+02-00-00,144.02538220551742,0.0
nanoseq-apr-3~+02-01-00,141.6455544264981,0.0
nanoseq-apr-3~+02-02-00,143.55520558427426,0.0
nanoseq-apr-3~+02-03-00,144.61476839210093,0.0
nanoseq-apr-3~+02-04-00,144.25507265029694,0.0
nanoseq-apr-3~+02-05-00,144.7645387048616,0.0
nanoseq-apr-3~+02-06-00,146.33329204094514,0.0
nanoseq-apr-3~+02-07-00,146.02042761697777,0.0
nanoseq-apr-3~+02-08-00,144.07005845076532,0.0
nanoseq-apr-3~+02-09-00,145.41855598031944,0.0
nanoseq-apr-3~+02-10-00,145.49367102809313,0.0
nanoseq-apr-3~+02-11-00,143.62909512855038,0.0
nanoseq-apr-3~+02-12-00,139.56730749078736,0.0
nanoseq-apr-3~+02-13-00,137.23746837434197,0.0
nanoseq-apr-3~+02-14-00,135.8745626578172,0.0
nanoseq-apr-3~+02-15-00,134.7697875197909,0.0
nanoseq-apr-3~+02-16-00,134.91039606454643,0.0
nanoseq-apr-3~+02-17-00,136.45727451054057,0.0
nanoseq-apr-3~+02-18-00,139.05367340133927,0.0
nanoseq-apr-3~+02-19-00,144.12230319520648,0.0
nanoseq-apr-3~+02-20-00,149.25452424014918,0.0
nanoseq-apr-3~+02-21-00,153.834493616061,0.0
nanoseq-apr-3~+02-22-00,155.18760456917929,0.0
nanoseq-apr-3~+02-23-00,153.02452165289958,0.0
nanoseq-apr-3~+03-00-00,148.13464187976558,0.0
nanoseq-apr-3~+03-01-00,143.06280529656513,0.0
nanoseq-apr-3~+03-02-00,141.75684068813374,0.0
nanoseq-apr-3~+03-03-00,140.36553364589236,0.0
nanoseq-apr-3~+03-04-00,141.79607524152135,0.0
nanoseq-apr-3~+03-05-00,146.4317974480013,0.0
nanoseq-apr-3~+03-06-00,152.96401360769806,0.0
nanoseq-apr-3~+03-07-00,153.2735818718084,0.0
nanoseq-apr-3~+03-08-00,158.16402167254694,0.0
nanoseq-apr-3~+03-09-00,157.67787358306083,0.0
nanoseq-apr-3~+03-10-00,155.04295843224992,0.0
nanoseq-apr-3~+03-11-00,151.24958537288848,0.0
nanoseq-apr-3~+03-12-00,145.29440991264943,0.0
nanoseq-apr-3~+03-13-00,140.3023627069963,0.0
nanoseq-apr-3~+03-14-00,136.60285525471892,0.0
nanoseq-apr-3~+03-15-00,134.325810415739,0.0
nanoseq-apr-3~+03-16-00,133.709301061252,0.0
nanoseq-apr-3~+03-17-00,134.71498899487557,0.0
nanoseq-apr-3~+03-18-00,138.2303276985144,0.0
nanoseq-apr-3~+03-19-00,141.20107593424743,0.0
nanoseq-apr-3~+03-20-00,143.4887469153199,0.0
nanoseq-apr-3~+03-21-00,145.77202961901884,0.0
nanoseq-apr-3~+03-22-00,144.22081164081243,0.0
nanoseq-apr-3~+03-23-00,140.1377705456747,0.0
nanoseq-apr-3~+04-00-00,138.13578213695249,0.0
