trace,op_ems,emb_ems
nanoseq-oct-1,138.9640483751424,0.0
nanoseq-oct-1~+00-01-00,150.21498091697762,0.0
nanoseq-oct-1~+00-02-00,159.23256277512442,0.0
nanoseq-oct-1~+00-03-00,164.37333936223175,0.0
nanoseq-oct-1~+00-04-00,165.19281050614006,0.0
nanoseq-oct-1~+00-05-00,169.9560640678764,0.0
nanoseq-oct-1~+00-06-00,166.6955714953965,0.0
nanoseq-oct-1~+00-07-00,165.5642826615636,0.0
nanoseq-oct-1~+00-08-00,167.15541759232423,0.0
nanoseq-oct-1~+00-09-00,166.5511214990056,0.0
nanoseq-oct-1~+00-10-00,161.0757971453716,0.0
nanoseq-oct-1~+00-11-00,157.01029481852322,0.0
nanoseq-oct-1~+00-12-00,149.77501884867135,0.0
nanoseq-oct-1~+00-13-00,139.84117556449274,0.0
nanoseq-oct-1~+00-14-00,140.52040578097004,0.0
nanoseq-oct-1~+00-15-00,139.58025642667772,0.0
nanoseq-oct-1~+00-16-00,138.2517359838881,0.0
nanoseq-oct-1~+00-17-00,137.61289901823181,0.0
nanoseq-oct-1~+00-18-00,141.67291476381394,0.0
nanoseq-oct-1~+00-19-00,140.2236196526672,0.0
nanoseq-oct-1~+00-20-00,140.36370709828492,0.0
nanoseq-oct-1~+00-21-00,140.75721482254585,0.0
nanoseq-oct-1~+00-22-00,140.36382429726356,0.0
nanoseq-oct-1~+00-23-00,139.7184938278836,0.0
nanoseq-oct-1~+01-00-00,141.67884481858385,0.0
nanoseq-oct-1~+01-01-00,148.45708931309227,0.0
nanoseq-oct-1~+01-02-00,156.69622870405277,0.0
nanoseq-oct-1~+01-03-00,163.48578117037061,0.0
nanoseq-oct-1~+01-04-00,169.45859748797625,0.0
nanoseq-oct-1~+01-05-00,175.8294395712213,0.0
nanoseq-oct-1~+01-06-00,177.18068374415643,0.0
nanoseq-oct-1~+01-07-00,173.3060357973646,0.0
nanoseq-oct-1~+01-08-00,165.64367250905002,0.0
nanoseq-oct-1~+01-09-00,154.72468158861844,0.0
