trace,op_ems,emb_ems
nanoseq-sep-1,136.49178771731562,0.0
nanoseq-sep-1~+00-01-00,136.9910054136423,0.0
nanoseq-sep-1~+00-02-00,139.53400702460522,0.0
nanoseq-sep-1~+00-03-00,137.86761463098088,0.0
nanoseq-sep-1~+00-04-00,141.49365356484498,0.0
nanoseq-sep-1~+00-05-00,144.80035168237129,0.0
nanoseq-sep-1~+00-06-00,145.91380049029743,0.0
nanoseq-sep-1~+00-07-00,150.7815400197823,0.0
nanoseq-sep-1~+00-08-00,147.42779052611786,0.0
nanoseq-sep-1~+00-09-00,148.4625063484619,0.0
nanoseq-sep-1~+00-10-00,141.65519189265348,0.0
nanoseq-sep-1~+00-11-00,136.48441248020077,0.0
nanoseq-sep-1~+00-12-00,133.2718764695181,0.0
nanoseq-sep-1~+00-13-00,137.08566326056558,0.0
nanoseq-sep-1~+00-14-00,141.4952672106088,0.0
nanoseq-sep-1~+00-15-00,145.21726160188217,0.0
nanoseq-sep-1~+00-16-00,148.41005855645147,0.0
nanoseq-sep-1~+00-17-00,151.2021268534957,0.0
nanoseq-sep-1~+00-18-00,149.16210522672583,0.0
nanoseq-sep-1~+00-19-00,146.4213366591615,0.0
nanoseq-sep-1~+00-20-00,142.1781776047272,0.0
nanoseq-sep-1~+00-21-00,139.14228481931224,0.0
nanoseq-sep-1~+00-22-00,133.62087247478456,0.0
nanoseq-sep-1~+00-23-00,135.49476163173952,0.0
nanoseq-sep-1~+01-00-00,140.98689508108822,0.0
nanoseq-sep-1~+01-01-00,150.43970660194034,0.0
nanoseq-sep-1~+01-02-00,153.62906562684475,0.0
nanoseq-sep-1~+01-03-00,151.90227101599515,0.0
nanoseq-sep-1~+01-04-00,140.34758580245582,0.0
nanoseq-sep-1~+01-05-00,134.09014212211656,0.0
nanoseq-sep-1~+01-06-00,129.20695429079603,0.0
nanoseq-sep-1~+01-07-00,129.64727510079493,0.0
nanoseq-sep-1~+01-08-00,129.73326253868913,0.0
nanoseq-sep-1~+01-09-00,135.93421724094154,0.0
nanoseq-sep-1~+01-10-00,134.2486735163539,0.0
nanoseq-sep-1~+01-11-00,139.29231544193965,0.0
nanoseq-sep-1~+01-12-00,139.36088397749586,0.0
nanoseq-sep-1~+01-13-00,144.06488430936247,0.0
nanoseq-sep-1~+01-14-00,149.26517570699812,0.0
nanoseq-sep-1~+01-15-00,156.7912526570587,0.0
nanoseq-sep-1~+01-16-00,152.45687327776864,0.0
nanoseq-sep-1~+01-17-00,150.81015180622083,0.0
nanoseq-sep-1~+01-18-00,146.6244376006455,0.0
nanoseq-sep-1~+01-19-00,147.75133784893106,0.0
nanoseq-sep-1~+01-20-00,155.72174224896102,0.0
nanoseq-sep-1~+01-21-00,160.98217828987913,0.0
nanoseq-sep-1~+01-22-00,161.28197400713753,0.0
nanoseq-sep-1~+01-23-00,156.05955647569834,0.0
nanoseq-sep-1~+02-00-00,150.30563884425243,0.0
nanoseq-sep-1~+02-01-00,143.04005077201577,0.0
