trace,op_ems,emb_ems
rangeland-aug-1,2405.866503418935,0.0
rangeland-aug-1~+00-01-00,2422.6028452034634,0.0
rangeland-aug-1~+00-02-00,2475.4167683114165,0.0
rangeland-aug-1~+00-03-00,2449.962812942067,0.0
rangeland-aug-1~+00-04-00,2477.5906516172927,0.0
rangeland-aug-1~+00-05-00,2491.262696067476,0.0
rangeland-aug-1~+00-06-00,2546.900020235438,0.0
rangeland-aug-1~+00-07-00,2582.195462502301,0.0
rangeland-aug-1~+00-08-00,2575.531669608578,0.0
rangeland-aug-1~+00-09-00,2553.673790086785,0.0
rangeland-aug-1~+00-10-00,2549.537336726098,0.0
rangeland-aug-1~+00-11-00,2502.741540895827,0.0
rangeland-aug-1~+00-12-00,2508.786599870037,0.0
rangeland-aug-1~+00-13-00,2492.002048314725,0.0
rangeland-aug-1~+00-14-00,2473.074832822736,0.0
rangeland-aug-1~+00-15-00,2415.1326386323312,0.0
rangeland-aug-1~+00-16-00,2361.5261042782076,0.0
rangeland-aug-1~+00-17-00,2367.5084949342645,0.0
rangeland-aug-1~+00-18-00,2398.6741686036908,0.0
rangeland-aug-1~+00-19-00,2330.737166302613,0.0
rangeland-aug-1~+00-20-00,2256.4569934487818,0.0
rangeland-aug-1~+00-21-00,2249.386260529971,0.0
rangeland-aug-1~+00-22-00,2303.191291444956,0.0
rangeland-aug-1~+00-23-00,2311.5787689912117,0.0
rangeland-aug-1~+01-00-00,2386.441900668535,0.0
rangeland-aug-1~+01-01-00,2319.3184250055165,0.0
rangeland-aug-1~+01-02-00,2404.021903831577,0.0
rangeland-aug-1~+01-03-00,2473.2589358564055,0.0
rangeland-aug-1~+01-04-00,2490.4867109294482,0.0
rangeland-aug-1~+01-05-00,2517.8814133163387,0.0
rangeland-aug-1~+01-06-00,2521.2119315088225,0.0
rangeland-aug-1~+01-07-00,2514.9618174384914,0.0
rangeland-aug-1~+01-08-00,2560.066491285598,0.0
rangeland-aug-1~+01-09-00,2539.9780067917013,0.0
rangeland-aug-1~+01-10-00,2465.683894721473,0.0
rangeland-aug-1~+01-11-00,2400.23701838962,0.0
rangeland-aug-1~+01-12-00,2348.064666509911,0.0
rangeland-aug-1~+01-13-00,2298.7505052953097,0.0
rangeland-aug-1~+01-14-00,2260.5727578676197,0.0
rangeland-aug-1~+01-15-00,2234.088334251617,0.0
rangeland-aug-1~+01-16-00,2257.8964491220845,0.0
rangeland-aug-1~+01-17-00,2372.3825534200337,0.0
rangeland-aug-1~+01-18-00,2414.9058747808526,0.0
rangeland-aug-1~+01-19-00,2404.7282227693913,0.0
rangeland-aug-1~+01-20-00,2376.730351246736,0.0
rangeland-aug-1~+01-21-00,2447.505205874748,0.0
rangeland-aug-1~+01-22-00,2428.1863734461645,0.0
rangeland-aug-1~+01-23-00,2387.1316244360573,0.0
rangeland-aug-1~+02-00-00,2373.485175578885,0.0
rangeland-aug-1~+02-01-00,2343.1908373169445,0.0
rangeland-aug-1~+02-02-00,2369.6360987455046,0.0
rangeland-aug-1~+02-03-00,2405.8420324215826,0.0
rangeland-aug-1~+02-04-00,2439.897382888076,0.0
rangeland-aug-1~+02-05-00,2521.1654532517528,0.0
rangeland-aug-1~+02-06-00,2531.1924213024827,0.0
rangeland-aug-1~+02-07-00,2517.0066173643245,0.0
rangeland-aug-1~+02-08-00,2554.863429487902,0.0
rangeland-aug-1~+02-09-00,2563.9673639519388,0.0
