trace,op_ems,emb_ems
rangeland-dec-1,2533.162414372161,0.0
rangeland-dec-1~+00-01-00,2644.818270627012,0.0
rangeland-dec-1~+00-02-00,2753.704005234976,0.0
rangeland-dec-1~+00-03-00,2872.6081773685623,0.0
rangeland-dec-1~+00-04-00,2946.413967019789,0.0
rangeland-dec-1~+00-05-00,3003.024674936313,0.0
rangeland-dec-1~+00-06-00,3054.625287742838,0.0
rangeland-dec-1~+00-07-00,3088.0808413569885,0.0
rangeland-dec-1~+00-08-00,3059.849596529336,0.0
rangeland-dec-1~+00-09-00,2983.3438974770033,0.0
rangeland-dec-1~+00-10-00,2925.8724801216713,0.0
rangeland-dec-1~+00-11-00,2886.6876520664614,0.0
rangeland-dec-1~+00-12-00,2839.518665798468,0.0
rangeland-dec-1~+00-13-00,2786.42152669468,0.0
rangeland-dec-1~+00-14-00,2733.9092356705146,0.0
rangeland-dec-1~+00-15-00,2740.660651889626,0.0
rangeland-dec-1~+00-16-00,2770.5646157484325,0.0
rangeland-dec-1~+00-17-00,2764.130893853216,0.0
rangeland-dec-1~+00-18-00,2731.2691260774295,0.0
rangeland-dec-1~+00-19-00,2699.596646323992,0.0
rangeland-dec-1~+00-20-00,2706.373799315106,0.0
rangeland-dec-1~+00-21-00,2732.1839265412546,0.0
rangeland-dec-1~+00-22-00,2720.6046772946493,0.0
rangeland-dec-1~+00-23-00,2739.532757282938,0.0
rangeland-dec-1~+01-00-00,2755.569488827252,0.0
rangeland-dec-1~+01-01-00,2726.7976733296623,0.0
rangeland-dec-1~+01-02-00,2745.577159123972,0.0
rangeland-dec-1~+01-03-00,2760.2489152679677,0.0
rangeland-dec-1~+01-04-00,2795.4284419662677,0.0
rangeland-dec-1~+01-05-00,2817.3122240454854,0.0
rangeland-dec-1~+01-06-00,2803.4468536098093,0.0
rangeland-dec-1~+01-07-00,2824.417752231841,0.0
rangeland-dec-1~+01-08-00,2852.912975681474,0.0
rangeland-dec-1~+01-09-00,2829.9824450847113,0.0
rangeland-dec-1~+01-10-00,2786.479996674482,0.0
rangeland-dec-1~+01-11-00,2782.5310575744925,0.0
rangeland-dec-1~+01-12-00,2770.893588175784,0.0
rangeland-dec-1~+01-13-00,2732.8490590478814,0.0
rangeland-dec-1~+01-14-00,2732.3460590058094,0.0
rangeland-dec-1~+01-15-00,2746.3105417577185,0.0
rangeland-dec-1~+01-16-00,2790.532582753168,0.0
rangeland-dec-1~+01-17-00,2842.6747751039493,0.0
rangeland-dec-1~+01-18-00,2801.7582035266933,0.0
rangeland-dec-1~+01-19-00,2795.7117284445667,0.0
rangeland-dec-1~+01-20-00,2803.9034545228023,0.0
rangeland-dec-1~+01-21-00,2807.5846696175627,0.0
rangeland-dec-1~+01-22-00,2815.2326073203244,0.0
rangeland-dec-1~+01-23-00,2752.662499396447,0.0
rangeland-dec-1~+02-00-00,2709.6807880102056,0.0
rangeland-dec-1~+02-01-00,2733.5375039222995,0.0
rangeland-dec-1~+02-02-00,2719.5855278890513,0.0
rangeland-dec-1~+02-03-00,2721.6975651519633,0.0
rangeland-dec-1~+02-04-00,2727.137459611517,0.0
rangeland-dec-1~+02-05-00,2784.704132912796,0.0
rangeland-dec-1~+02-06-00,2835.763625492342,0.0
rangeland-dec-1~+02-07-00,2917.34411431385,0.0
rangeland-dec-1~+02-08-00,2901.203051590341,0.0
rangeland-dec-1~+02-09-00,2892.6989943237477,0.0
rangeland-dec-1~+02-10-00,2930.8599904621306,0.0
rangeland-dec-1~+02-11-00,2881.655239022099,0.0
rangeland-dec-1~+02-12-00,2847.456674880869,0.0
rangeland-dec-1~+02-13-00,2813.8771437549062,0.0
rangeland-dec-1~+02-14-00,2718.77451316679,0.0
rangeland-dec-1~+02-15-00,2713.917571047212,0.0
rangeland-dec-1~+02-16-00,2749.1117823122404,0.0
rangeland-dec-1~+02-17-00,2762.243781309752,0.0
rangeland-dec-1~+02-18-00,2769.4811843145176,0.0
rangeland-dec-1~+02-19-00,2765.4941451931113,0.0
