trace,op_ems,emb_ems
rangeland-dec-2,809.0076705886378,0.0
rangeland-dec-2~+00-01-00,805.7890178859652,0.0
rangeland-dec-2~+00-02-00,826.1267652624333,0.0
rangeland-dec-2~+00-03-00,877.5403746830697,0.0
rangeland-dec-2~+00-04-00,903.9620021117352,0.0
rangeland-dec-2~+00-05-00,924.3433510371653,0.0
rangeland-dec-2~+00-06-00,958.4868451459347,0.0
rangeland-dec-2~+00-07-00,929.2271730473096,0.0
rangeland-dec-2~+00-08-00,895.1958515522027,0.0
rangeland-dec-2~+00-09-00,815.9460452031515,0.0
rangeland-dec-2~+00-10-00,746.493683224088,0.0
rangeland-dec-2~+00-11-00,689.9523755642729,0.0
rangeland-dec-2~+00-12-00,629.1965246494326,0.0
rangeland-dec-2~+00-13-00,584.274519819718,0.0
rangeland-dec-2~+00-14-00,599.724723031349,0.0
rangeland-dec-2~+00-15-00,651.9823741974976,0.0
rangeland-dec-2~+00-16-00,750.6612800710699,0.0
rangeland-dec-2~+00-17-00,843.5308981939927,0.0
rangeland-dec-2~+00-18-00,919.0708336181356,0.0
rangeland-dec-2~+00-19-00,1000.5696056215836,0.0
rangeland-dec-2~+00-20-00,1062.7439831027814,0.0
rangeland-dec-2~+00-21-00,1093.6796811684771,0.0
rangeland-dec-2~+00-22-00,1104.3857075279154,0.0
rangeland-dec-2~+00-23-00,1097.6661466720097,0.0
rangeland-dec-2~+01-00-00,1094.8289514922035,0.0
rangeland-dec-2~+01-01-00,1129.8576372623409,0.0
rangeland-dec-2~+01-02-00,1167.8264590630201,0.0
rangeland-dec-2~+01-03-00,1209.8326468306243,0.0
rangeland-dec-2~+01-04-00,1239.1134289635202,0.0
rangeland-dec-2~+01-05-00,1258.168070828529,0.0
rangeland-dec-2~+01-06-00,1282.887087919795,0.0
rangeland-dec-2~+01-07-00,1290.9767192896174,0.0
rangeland-dec-2~+01-08-00,1279.5664272329825,0.0
rangeland-dec-2~+01-09-00,1279.6041094145253,0.0
rangeland-dec-2~+01-10-00,1284.6538708912133,0.0
rangeland-dec-2~+01-11-00,1319.2625448515992,0.0
rangeland-dec-2~+01-12-00,1347.0594405852707,0.0
rangeland-dec-2~+01-13-00,1354.567411547175,0.0
rangeland-dec-2~+01-14-00,1375.9954713102175,0.0
rangeland-dec-2~+01-15-00,1411.789157171177,0.0
rangeland-dec-2~+01-16-00,1431.9364312202529,0.0
rangeland-dec-2~+01-17-00,1440.679427001823,0.0
rangeland-dec-2~+01-18-00,1438.0786084226258,0.0
rangeland-dec-2~+01-19-00,1459.1217848009333,0.0
rangeland-dec-2~+01-20-00,1465.7866037746558,0.0
rangeland-dec-2~+01-21-00,1498.7428404467398,0.0
rangeland-dec-2~+01-22-00,1500.87245531458,0.0
rangeland-dec-2~+01-23-00,1503.385270588829,0.0
rangeland-dec-2~+02-00-00,1508.1061400587432,0.0
rangeland-dec-2~+02-01-00,1512.9095481464014,0.0
rangeland-dec-2~+02-02-00,1522.208775066815,0.0
rangeland-dec-2~+02-03-00,1540.6598287000106,0.0
rangeland-dec-2~+02-04-00,1538.0279699950204,0.0
rangeland-dec-2~+02-05-00,1555.3155817753075,0.0
rangeland-dec-2~+02-06-00,1543.8234728204484,0.0
rangeland-dec-2~+02-07-00,1559.071634622357,0.0
rangeland-dec-2~+02-08-00,1544.763686614351,0.0
rangeland-dec-2~+02-09-00,1550.5533796094057,0.0
rangeland-dec-2~+02-10-00,1526.8079498974282,0.0
rangeland-dec-2~+02-11-00,1548.3498178327625,0.0
rangeland-dec-2~+02-12-00,1567.3209972028853,0.0
rangeland-dec-2~+02-13-00,1585.0558683244208,0.0
rangeland-dec-2~+02-14-00,1595.0705317754964,0.0
rangeland-dec-2~+02-15-00,1606.8913982233653,0.0
rangeland-dec-2~+02-16-00,1609.1069049760533,0.0
rangeland-dec-2~+02-17-00,1621.0136254546996,0.0
rangeland-dec-2~+02-18-00,1628.9513121621026,0.0
rangeland-dec-2~+02-19-00,1633.7496615715527,0.0
rangeland-dec-2~+02-20-00,1612.356176791912,0.0
rangeland-dec-2~+02-21-00,1621.1323483961605,0.0
rangeland-dec-2~+02-22-00,1617.4377757327197,0.0
rangeland-dec-2~+02-23-00,1611.5215271551103,0.0
rangeland-dec-2~+03-00-00,1613.280003369464,0.0
rangeland-dec-2~+03-01-00,1566.5423282160175,0.0
rangeland-dec-2~+03-02-00,1583.7606580559402,0.0
rangeland-dec-2~+03-03-00,1596.915804408254,0.0
rangeland-dec-2~+03-04-00,1565.628731651995,0.0
rangeland-dec-2~+03-05-00,1556.1647655850293,0.0
rangeland-dec-2~+03-06-00,1547.2282440681404,0.0
rangeland-dec-2~+03-07-00,1542.090641632599,0.0
rangeland-dec-2~+03-08-00,1538.815059175674,0.0
rangeland-dec-2~+03-09-00,1507.4277244107557,0.0
rangeland-dec-2~+03-10-00,1501.985406729964,0.0
rangeland-dec-2~+03-11-00,1511.2314152609422,0.0
rangeland-dec-2~+03-12-00,1532.570945480758,0.0
rangeland-dec-2~+03-13-00,1560.4021643028827,0.0
rangeland-dec-2~+03-14-00,1591.707969443655,0.0
rangeland-dec-2~+03-15-00,1631.2188061013012,0.0
rangeland-dec-2~+03-16-00,1675.3629975057902,0.0
rangeland-dec-2~+03-17-00,1678.7503228983758,0.0
rangeland-dec-2~+03-18-00,1683.4917725699217,0.0
rangeland-dec-2~+03-19-00,1642.2890576145214,0.0
rangeland-dec-2~+03-20-00,1611.2606437776258,0.0
rangeland-dec-2~+03-21-00,1584.7402497526668,0.0
rangeland-dec-2~+03-22-00,1532.4468151752164,0.0
rangeland-dec-2~+03-23-00,1505.6992023323514,0.0
rangeland-dec-2~+04-00-00,1508.447098128302,0.0
