trace,op_ems,emb_ems
rangeland-feb-3,737.1623613383085,0.0
rangeland-feb-3~+00-01-00,683.1205290098487,0.0
rangeland-feb-3~+00-02-00,707.0441669045878,0.0
rangeland-feb-3~+00-03-00,771.5544092101533,0.0
rangeland-feb-3~+00-04-00,798.2901191536333,0.0
rangeland-feb-3~+00-05-00,830.512956276938,0.0
rangeland-feb-3~+00-06-00,853.3103043569382,0.0
rangeland-feb-3~+00-07-00,825.2807578572601,0.0
rangeland-feb-3~+00-08-00,760.4018120151586,0.0
rangeland-feb-3~+00-09-00,656.5271903229627,0.0
rangeland-feb-3~+00-10-00,566.2990358588432,0.0
rangeland-feb-3~+00-11-00,506.55035499608255,0.0
rangeland-feb-3~+00-12-00,483.0136185678856,0.0
rangeland-feb-3~+00-13-00,441.14822814913646,0.0
rangeland-feb-3~+00-14-00,448.4868957701526,0.0
rangeland-feb-3~+00-15-00,519.3198373692476,0.0
rangeland-feb-3~+00-16-00,626.7922053646123,0.0
rangeland-feb-3~+00-17-00,681.1496083988965,0.0
rangeland-feb-3~+00-18-00,738.7868929989348,0.0
rangeland-feb-3~+00-19-00,771.5692837980503,0.0
rangeland-feb-3~+00-20-00,836.0324259416981,0.0
rangeland-feb-3~+00-21-00,862.4398788483909,0.0
rangeland-feb-3~+00-22-00,858.8980323141027,0.0
rangeland-feb-3~+00-23-00,838.1228573262474,0.0
rangeland-feb-3~+01-00-00,856.2728285014377,0.0
rangeland-feb-3~+01-01-00,901.7581279441305,0.0
rangeland-feb-3~+01-02-00,947.5531800719268,0.0
rangeland-feb-3~+01-03-00,1003.136079986478,0.0
rangeland-feb-3~+01-04-00,1044.0458432168489,0.0
rangeland-feb-3~+01-05-00,1073.3668558649106,0.0
rangeland-feb-3~+01-06-00,1106.9456514102653,0.0
rangeland-feb-3~+01-07-00,1115.9850893819946,0.0
rangeland-feb-3~+01-08-00,1074.3599598930523,0.0
rangeland-feb-3~+01-09-00,1003.1087358558104,0.0
rangeland-feb-3~+01-10-00,930.5013906344684,0.0
rangeland-feb-3~+01-11-00,870.3226599396627,0.0
rangeland-feb-3~+01-12-00,812.4244060792753,0.0
rangeland-feb-3~+01-13-00,718.6168593322874,0.0
rangeland-feb-3~+01-14-00,665.6503514782605,0.0
rangeland-feb-3~+01-15-00,647.7201191273465,0.0
rangeland-feb-3~+01-16-00,718.207545158717,0.0
rangeland-feb-3~+01-17-00,759.8831746035621,0.0
rangeland-feb-3~+01-18-00,790.8460778614582,0.0
rangeland-feb-3~+01-19-00,833.5360565101519,0.0
rangeland-feb-3~+01-20-00,882.3691863756517,0.0
rangeland-feb-3~+01-21-00,922.2375551560162,0.0
rangeland-feb-3~+01-22-00,904.9026999933455,0.0
rangeland-feb-3~+01-23-00,843.3308366975436,0.0
rangeland-feb-3~+02-00-00,847.9747198204061,0.0
rangeland-feb-3~+02-01-00,853.5424005704681,0.0
rangeland-feb-3~+02-02-00,891.146260435323,0.0
rangeland-feb-3~+02-03-00,944.2805256725796,0.0
rangeland-feb-3~+02-04-00,963.1228533070739,0.0
rangeland-feb-3~+02-05-00,990.0601457674634,0.0
rangeland-feb-3~+02-06-00,965.2421465938705,0.0
rangeland-feb-3~+02-07-00,926.5291150446146,0.0
rangeland-feb-3~+02-08-00,859.8311082474004,0.0
rangeland-feb-3~+02-09-00,747.7736721817007,0.0
rangeland-feb-3~+02-10-00,663.4224955588537,0.0
rangeland-feb-3~+02-11-00,588.9155166864335,0.0
rangeland-feb-3~+02-12-00,521.5020282250753,0.0
rangeland-feb-3~+02-13-00,496.16657833690164,0.0
rangeland-feb-3~+02-14-00,492.40400341752996,0.0
rangeland-feb-3~+02-15-00,507.35929768860615,0.0
rangeland-feb-3~+02-16-00,542.6696045063887,0.0
rangeland-feb-3~+02-17-00,580.3667759512712,0.0
rangeland-feb-3~+02-18-00,651.8864346411484,0.0
rangeland-feb-3~+02-19-00,700.0313673727705,0.0
rangeland-feb-3~+02-20-00,722.8492539415379,0.0
rangeland-feb-3~+02-21-00,738.8789577116173,0.0
rangeland-feb-3~+02-22-00,772.2495731088588,0.0
rangeland-feb-3~+02-23-00,788.9223100317122,0.0
rangeland-feb-3~+03-00-00,781.8929154219965,0.0
rangeland-feb-3~+03-01-00,816.8038998522986,0.0
rangeland-feb-3~+03-02-00,843.294571619867,0.0
rangeland-feb-3~+03-03-00,904.446518167804,0.0
rangeland-feb-3~+03-04-00,950.246626621416,0.0
rangeland-feb-3~+03-05-00,976.3125906467666,0.0
rangeland-feb-3~+03-06-00,982.4176757029506,0.0
