trace,op_ems,emb_ems
rangeland-jul-1,2393.8518001424463,0.0
rangeland-jul-1~+00-01-00,2394.8331372411853,0.0
rangeland-jul-1~+00-02-00,2422.647928469055,0.0
rangeland-jul-1~+00-03-00,2483.0944297872225,0.0
rangeland-jul-1~+00-04-00,2521.2225675189256,0.0
rangeland-jul-1~+00-05-00,2553.8320464780572,0.0
rangeland-jul-1~+00-06-00,2553.895921003888,0.0
rangeland-jul-1~+00-07-00,2591.6582790034427,0.0
rangeland-jul-1~+00-08-00,2608.771930127952,0.0
rangeland-jul-1~+00-09-00,2604.066205009183,0.0
rangeland-jul-1~+00-10-00,2538.1116286090296,0.0
rangeland-jul-1~+00-11-00,2502.5031026753577,0.0
rangeland-jul-1~+00-12-00,2453.9731000892334,0.0
rangeland-jul-1~+00-13-00,2420.080422726587,0.0
rangeland-jul-1~+00-14-00,2418.0150031024573,0.0
rangeland-jul-1~+00-15-00,2381.2260917103818,0.0
rangeland-jul-1~+00-16-00,2386.7340637294537,0.0
rangeland-jul-1~+00-17-00,2396.269124411447,0.0
rangeland-jul-1~+00-18-00,2396.446499095614,0.0
rangeland-jul-1~+00-19-00,2402.5798941397115,0.0
rangeland-jul-1~+00-20-00,2382.511677730645,0.0
rangeland-jul-1~+00-21-00,2373.866382571616,0.0
rangeland-jul-1~+00-22-00,2374.5916505643413,0.0
rangeland-jul-1~+00-23-00,2364.499772848417,0.0
rangeland-jul-1~+01-00-00,2378.1835592391826,0.0
rangeland-jul-1~+01-01-00,2391.50850286974,0.0
rangeland-jul-1~+01-02-00,2427.2325892796216,0.0
rangeland-jul-1~+01-03-00,2464.478316839985,0.0
rangeland-jul-1~+01-04-00,2508.9750637738225,0.0
rangeland-jul-1~+01-05-00,2565.694173595507,0.0
rangeland-jul-1~+01-06-00,2597.1025633101244,0.0
rangeland-jul-1~+01-07-00,2613.6957794596447,0.0
rangeland-jul-1~+01-08-00,2634.1864594920244,0.0
rangeland-jul-1~+01-09-00,2615.2263975365486,0.0
rangeland-jul-1~+01-10-00,2559.384767337012,0.0
rangeland-jul-1~+01-11-00,2524.7417885604127,0.0
rangeland-jul-1~+01-12-00,2491.709144708477,0.0
rangeland-jul-1~+01-13-00,2452.0616372692175,0.0
rangeland-jul-1~+01-14-00,2413.560315289436,0.0
rangeland-jul-1~+01-15-00,2373.9544124052004,0.0
rangeland-jul-1~+01-16-00,2372.7574219306216,0.0
rangeland-jul-1~+01-17-00,2388.7264032263215,0.0
rangeland-jul-1~+01-18-00,2369.005686808741,0.0
rangeland-jul-1~+01-19-00,2336.645954298059,0.0
rangeland-jul-1~+01-20-00,2330.7219505015714,0.0
rangeland-jul-1~+01-21-00,2343.0974456487984,0.0
rangeland-jul-1~+01-22-00,2357.623612216147,0.0
rangeland-jul-1~+01-23-00,2367.1787602988406,0.0
rangeland-jul-1~+02-00-00,2401.499779580683,0.0
rangeland-jul-1~+02-01-00,2426.1176973974707,0.0
rangeland-jul-1~+02-02-00,2444.511608644183,0.0
rangeland-jul-1~+02-03-00,2475.3471759435224,0.0
rangeland-jul-1~+02-04-00,2486.981302229009,0.0
rangeland-jul-1~+02-05-00,2507.884686261847,0.0
rangeland-jul-1~+02-06-00,2524.071945174314,0.0
rangeland-jul-1~+02-07-00,2544.4024760527627,0.0
rangeland-jul-1~+02-08-00,2552.112870885863,0.0
rangeland-jul-1~+02-09-00,2550.113528253076,0.0
rangeland-jul-1~+02-10-00,2522.3112136347922,0.0
rangeland-jul-1~+02-11-00,2505.567525407928,0.0
rangeland-jul-1~+02-12-00,2483.2005758955165,0.0
rangeland-jul-1~+02-13-00,2450.2956829651876,0.0
rangeland-jul-1~+02-14-00,2408.6278707983947,0.0
rangeland-jul-1~+02-15-00,2387.2225926297015,0.0
rangeland-jul-1~+02-16-00,2383.1125773418376,0.0
rangeland-jul-1~+02-17-00,2399.1930334788017,0.0
rangeland-jul-1~+02-18-00,2418.256971341005,0.0
rangeland-jul-1~+02-19-00,2412.8533301723774,0.0
rangeland-jul-1~+02-20-00,2400.391358906357,0.0
rangeland-jul-1~+02-21-00,2398.9211572316117,0.0
rangeland-jul-1~+02-22-00,2399.8881055656902,0.0
rangeland-jul-1~+02-23-00,2386.5947161090244,0.0
rangeland-jul-1~+03-00-00,2385.3224892978546,0.0
rangeland-jul-1~+03-01-00,2380.9169436520565,0.0
rangeland-jul-1~+03-02-00,2411.1953833064717,0.0
rangeland-jul-1~+03-03-00,2456.405502135388,0.0
rangeland-jul-1~+03-04-00,2490.8924367690606,0.0
rangeland-jul-1~+03-05-00,2540.501703065032,0.0
rangeland-jul-1~+03-06-00,2585.505837539106,0.0
rangeland-jul-1~+03-07-00,2582.495502612342,0.0
rangeland-jul-1~+03-08-00,2593.1803319806013,0.0
rangeland-jul-1~+03-09-00,2580.577962939031,0.0
rangeland-jul-1~+03-10-00,2528.1804318785903,0.0
rangeland-jul-1~+03-11-00,2521.2260810544294,0.0
rangeland-jul-1~+03-12-00,2474.1222812292003,0.0
rangeland-jul-1~+03-13-00,2429.2610200768586,0.0
rangeland-jul-1~+03-14-00,2409.475359277003,0.0
rangeland-jul-1~+03-15-00,2365.2058491738976,0.0
rangeland-jul-1~+03-16-00,2386.898638311889,0.0
rangeland-jul-1~+03-17-00,2416.7476634525456,0.0
rangeland-jul-1~+03-18-00,2428.899547273079,0.0
rangeland-jul-1~+03-19-00,2420.2847697888424,0.0
rangeland-jul-1~+03-20-00,2442.5701540977275,0.0
rangeland-jul-1~+03-21-00,2441.780993497613,0.0
rangeland-jul-1~+03-22-00,2435.021182055131,0.0
rangeland-jul-1~+03-23-00,2404.1154008737135,0.0
rangeland-jul-1~+04-00-00,2393.4060137697516,0.0
