trace,op_ems,emb_ems
rangeland-jun-1,218.35787772538544,0.0
rangeland-jun-1~+00-01-00,184.61001328663258,0.0
rangeland-jun-1~+00-02-00,178.41721120357633,0.0
rangeland-jun-1~+00-03-00,193.4831843509216,0.0
rangeland-jun-1~+00-04-00,230.27806897328844,0.0
rangeland-jun-1~+00-05-00,278.32912532332307,0.0
rangeland-jun-1~+00-06-00,329.37883972307543,0.0
rangeland-jun-1~+00-07-00,394.1421914525763,0.0
rangeland-jun-1~+00-08-00,433.26608908067374,0.0
rangeland-jun-1~+00-09-00,456.44527648103536,0.0
rangeland-jun-1~+00-10-00,468.69264315101185,0.0
rangeland-jun-1~+00-11-00,461.0805234934602,0.0
rangeland-jun-1~+00-12-00,448.1315540322638,0.0
rangeland-jun-1~+00-13-00,429.61952105055894,0.0
rangeland-jun-1~+00-14-00,401.04918736387253,0.0
rangeland-jun-1~+00-15-00,393.91617099995074,0.0
rangeland-jun-1~+00-16-00,394.4198042784227,0.0
rangeland-jun-1~+00-17-00,400.354402903767,0.0
rangeland-jun-1~+00-18-00,400.40888781543634,0.0
rangeland-jun-1~+00-19-00,399.27597816594675,0.0
rangeland-jun-1~+00-20-00,411.27236854853186,0.0
rangeland-jun-1~+00-21-00,414.6276310488025,0.0
rangeland-jun-1~+00-22-00,425.1458091083691,0.0
rangeland-jun-1~+00-23-00,424.91215776881324,0.0
rangeland-jun-1~+01-00-00,420.93591340539956,0.0
rangeland-jun-1~+01-01-00,437.7160428600572,0.0
rangeland-jun-1~+01-02-00,472.8157489662861,0.0
rangeland-jun-1~+01-03-00,519.0191756690008,0.0
rangeland-jun-1~+01-04-00,574.6278439122781,0.0
rangeland-jun-1~+01-05-00,638.1579792856661,0.0
rangeland-jun-1~+01-06-00,711.798877180943,0.0
rangeland-jun-1~+01-07-00,770.7053719367974,0.0
rangeland-jun-1~+01-08-00,803.265328531247,0.0
rangeland-jun-1~+01-09-00,793.606057663153,0.0
rangeland-jun-1~+01-10-00,778.272818221068,0.0
rangeland-jun-1~+01-11-00,742.8181031968123,0.0
rangeland-jun-1~+01-12-00,713.1349972385021,0.0
rangeland-jun-1~+01-13-00,680.1313410439067,0.0
rangeland-jun-1~+01-14-00,665.581051405225,0.0
rangeland-jun-1~+01-15-00,679.8359610548553,0.0
rangeland-jun-1~+01-16-00,722.4197211037184,0.0
rangeland-jun-1~+01-17-00,769.4801697419527,0.0
rangeland-jun-1~+01-18-00,806.4089295784704,0.0
rangeland-jun-1~+01-19-00,838.9836513475817,0.0
rangeland-jun-1~+01-20-00,862.5605572258635,0.0
rangeland-jun-1~+01-21-00,865.2546228921033,0.0
rangeland-jun-1~+01-22-00,868.5036588339512,0.0
rangeland-jun-1~+01-23-00,847.4173291455659,0.0
rangeland-jun-1~+02-00-00,817.257471792198,0.0
rangeland-jun-1~+02-01-00,810.9953585302966,0.0
rangeland-jun-1~+02-02-00,800.0845899025542,0.0
rangeland-jun-1~+02-03-00,820.7157160888983,0.0
rangeland-jun-1~+02-04-00,844.7596774757432,0.0
rangeland-jun-1~+02-05-00,869.6548795948847,0.0
rangeland-jun-1~+02-06-00,916.6551577141756,0.0
rangeland-jun-1~+02-07-00,972.6669059210117,0.0
rangeland-jun-1~+02-08-00,1015.3478128592312,0.0
rangeland-jun-1~+02-09-00,1033.3606135301359,0.0
rangeland-jun-1~+02-10-00,1017.2017200742549,0.0
rangeland-jun-1~+02-11-00,1004.3435179455116,0.0
rangeland-jun-1~+02-12-00,971.3771047998757,0.0
rangeland-jun-1~+02-13-00,942.3021416272472,0.0
rangeland-jun-1~+02-14-00,913.9111498832877,0.0
rangeland-jun-1~+02-15-00,891.3005218349329,0.0
rangeland-jun-1~+02-16-00,882.0509373584987,0.0
rangeland-jun-1~+02-17-00,873.7155669159472,0.0
rangeland-jun-1~+02-18-00,832.4590883615207,0.0
rangeland-jun-1~+02-19-00,790.1133633625864,0.0
rangeland-jun-1~+02-20-00,712.9088004930903,0.0
rangeland-jun-1~+02-21-00,637.6176884654383,0.0
rangeland-jun-1~+02-22-00,561.0445302886908,0.0
