trace,op_ems,emb_ems
rangeland-mar-1,1276.8255572642202,0.0
rangeland-mar-1~+00-01-00,1304.0260965729656,0.0
rangeland-mar-1~+00-02-00,1337.0322146306185,0.0
rangeland-mar-1~+00-03-00,1389.953241140328,0.0
rangeland-mar-1~+00-04-00,1400.6272418995263,0.0
rangeland-mar-1~+00-05-00,1434.9194751264934,0.0
rangeland-mar-1~+00-06-00,1417.3958379961214,0.0
rangeland-mar-1~+00-07-00,1419.658901361278,0.0
rangeland-mar-1~+00-08-00,1350.44108457035,0.0
rangeland-mar-1~+00-09-00,1298.6874682742864,0.0
rangeland-mar-1~+00-10-00,1187.0916458844008,0.0
rangeland-mar-1~+00-11-00,1152.8306404793761,0.0
rangeland-mar-1~+00-12-00,1113.8915378702975,0.0
rangeland-mar-1~+00-13-00,1081.8582841425239,0.0
rangeland-mar-1~+00-14-00,1058.6157617773165,0.0
rangeland-mar-1~+00-15-00,1071.512141639727,0.0
rangeland-mar-1~+00-16-00,1087.5788866561693,0.0
rangeland-mar-1~+00-17-00,1110.5828777190352,0.0
rangeland-mar-1~+00-18-00,1131.02022820272,0.0
rangeland-mar-1~+00-19-00,1130.7644732225633,0.0
rangeland-mar-1~+00-20-00,1012.5121463516057,0.0
rangeland-mar-1~+00-21-00,1004.8079618940492,0.0
rangeland-mar-1~+00-22-00,985.3871870295284,0.0
rangeland-mar-1~+00-23-00,946.8400315651807,0.0
rangeland-mar-1~+01-00-00,941.9394014884854,0.0
rangeland-mar-1~+01-01-00,864.107707649624,0.0
rangeland-mar-1~+01-02-00,912.9999400991644,0.0
rangeland-mar-1~+01-03-00,1059.8387903368948,0.0
rangeland-mar-1~+01-04-00,1020.3638185965542,0.0
rangeland-mar-1~+01-05-00,1013.8848160956196,0.0
rangeland-mar-1~+01-06-00,980.6249072057732,0.0
rangeland-mar-1~+01-07-00,902.8037656303993,0.0
rangeland-mar-1~+01-08-00,809.0122310595657,0.0
rangeland-mar-1~+01-09-00,673.360439149479,0.0
rangeland-mar-1~+01-10-00,560.000993247103,0.0
rangeland-mar-1~+01-11-00,481.34709962805107,0.0
rangeland-mar-1~+01-12-00,443.5102544012594,0.0
rangeland-mar-1~+01-13-00,451.3774935254389,0.0
