trace,op_ems,emb_ems
rangeland-may-2,486.73821139131996,0.0
rangeland-may-2~+00-01-00,450.19239465733176,0.0
rangeland-may-2~+00-02-00,431.4394364482734,0.0
rangeland-may-2~+00-03-00,428.1714217112395,0.0
rangeland-may-2~+00-04-00,459.9169841579577,0.0
rangeland-may-2~+00-05-00,498.44499630208327,0.0
rangeland-may-2~+00-06-00,539.3453858425513,0.0
rangeland-may-2~+00-07-00,579.7534515938846,0.0
rangeland-may-2~+00-08-00,602.7052865849895,0.0
rangeland-may-2~+00-09-00,603.8912209163308,0.0
rangeland-may-2~+00-10-00,585.5848933199183,0.0
rangeland-may-2~+00-11-00,533.7875824482292,0.0
rangeland-may-2~+00-12-00,487.30536983553645,0.0
rangeland-may-2~+00-13-00,437.46558952733864,0.0
rangeland-may-2~+00-14-00,385.5934015325649,0.0
rangeland-may-2~+00-15-00,364.3869545214242,0.0
rangeland-may-2~+00-16-00,353.8559037065633,0.0
rangeland-may-2~+00-17-00,383.9957132568029,0.0
rangeland-may-2~+00-18-00,436.3931544311098,0.0
rangeland-may-2~+00-19-00,481.92895924906657,0.0
rangeland-may-2~+00-20-00,523.3916687648905,0.0
rangeland-may-2~+00-21-00,569.6557216533861,0.0
rangeland-may-2~+00-22-00,590.244882906083,0.0
rangeland-may-2~+00-23-00,596.70703247287,0.0
rangeland-may-2~+01-00-00,572.2868337925579,0.0
rangeland-may-2~+01-01-00,562.4639912799985,0.0
rangeland-may-2~+01-02-00,577.3042676687852,0.0
rangeland-may-2~+01-03-00,619.7446812465373,0.0
rangeland-may-2~+01-04-00,682.1355583531576,0.0
rangeland-may-2~+01-05-00,752.364967349909,0.0
rangeland-may-2~+01-06-00,829.9178063110631,0.0
rangeland-may-2~+01-07-00,887.2929914523295,0.0
rangeland-may-2~+01-08-00,910.1426970230307,0.0
rangeland-may-2~+01-09-00,894.3154109170584,0.0
rangeland-may-2~+01-10-00,854.189961278261,0.0
rangeland-may-2~+01-11-00,798.5512934109854,0.0
rangeland-may-2~+01-12-00,732.83489489282,0.0
rangeland-may-2~+01-13-00,675.4319160041284,0.0
rangeland-may-2~+01-14-00,649.2073325310286,0.0
rangeland-may-2~+01-15-00,664.924350534526,0.0
rangeland-may-2~+01-16-00,709.6906542776834,0.0
rangeland-may-2~+01-17-00,751.3638786082684,0.0
rangeland-may-2~+01-18-00,790.9100267957228,0.0
rangeland-may-2~+01-19-00,841.436398887383,0.0
rangeland-may-2~+01-20-00,859.4784189165533,0.0
rangeland-may-2~+01-21-00,855.0236827859449,0.0
rangeland-may-2~+01-22-00,810.0528035125349,0.0
rangeland-may-2~+01-23-00,770.2583396031938,0.0
rangeland-may-2~+02-00-00,728.9470620085277,0.0
rangeland-may-2~+02-01-00,691.6531123338926,0.0
rangeland-may-2~+02-02-00,679.139343768652,0.0
rangeland-may-2~+02-03-00,694.729014376943,0.0
rangeland-may-2~+02-04-00,740.6737748598736,0.0
rangeland-may-2~+02-05-00,800.4005674172297,0.0
rangeland-may-2~+02-06-00,861.4158950110151,0.0
rangeland-may-2~+02-07-00,916.6058180283873,0.0
rangeland-may-2~+02-08-00,971.8293381904987,0.0
rangeland-may-2~+02-09-00,994.2129370773446,0.0
rangeland-may-2~+02-10-00,1009.3601073529449,0.0
rangeland-may-2~+02-11-00,1004.9220948116795,0.0
rangeland-may-2~+02-12-00,990.2296333556707,0.0
rangeland-may-2~+02-13-00,967.3345413893835,0.0
rangeland-may-2~+02-14-00,955.7324372572775,0.0
rangeland-may-2~+02-15-00,956.7740127426757,0.0
rangeland-may-2~+02-16-00,979.8476793267246,0.0
rangeland-may-2~+02-17-00,996.5127308591398,0.0
rangeland-may-2~+02-18-00,1008.413626101644,0.0
rangeland-may-2~+02-19-00,1023.3700924900585,0.0
rangeland-may-2~+02-20-00,1032.3011587812875,0.0
rangeland-may-2~+02-21-00,1015.9117291814307,0.0
rangeland-may-2~+02-22-00,974.8350584004809,0.0
rangeland-may-2~+02-23-00,932.5428947457988,0.0
rangeland-may-2~+03-00-00,884.6636984544928,0.0
rangeland-may-2~+03-01-00,839.0047654876662,0.0
rangeland-may-2~+03-02-00,809.6964774980714,0.0
rangeland-may-2~+03-03-00,800.2598102119473,0.0
rangeland-may-2~+03-04-00,829.2785282586551,0.0
rangeland-may-2~+03-05-00,868.4530179480539,0.0
rangeland-may-2~+03-06-00,906.3498534503693,0.0
rangeland-may-2~+03-07-00,966.5002339087479,0.0
rangeland-may-2~+03-08-00,999.9209753871719,0.0
rangeland-may-2~+03-09-00,998.8978696431873,0.0
rangeland-may-2~+03-10-00,970.9902249122426,0.0
rangeland-may-2~+03-11-00,937.1361623556129,0.0
rangeland-may-2~+03-12-00,887.1368885729325,0.0
rangeland-may-2~+03-13-00,845.8608582157042,0.0
rangeland-may-2~+03-14-00,803.4957579293192,0.0
rangeland-may-2~+03-15-00,797.9038250275881,0.0
rangeland-may-2~+03-16-00,823.1101861008603,0.0
rangeland-may-2~+03-17-00,858.5340858287426,0.0
rangeland-may-2~+03-18-00,875.4020726621529,0.0
rangeland-may-2~+03-19-00,874.7576905423592,0.0
rangeland-may-2~+03-20-00,851.7099569219974,0.0
rangeland-may-2~+03-21-00,814.0151129230655,0.0
rangeland-may-2~+03-22-00,769.0693127443504,0.0
rangeland-may-2~+03-23-00,710.1587472029888,0.0
rangeland-may-2~+04-00-00,657.3080177651586,0.0
