trace,op_ems,emb_ems
rangeland-oct-1,1127.1747611761116,0.0
rangeland-oct-1~+00-01-00,1120.2605140730507,0.0
rangeland-oct-1~+00-02-00,1127.8065954823985,0.0
rangeland-oct-1~+00-03-00,1189.3608385461105,0.0
rangeland-oct-1~+00-04-00,1254.1866970131068,0.0
rangeland-oct-1~+00-05-00,1295.8975484571242,0.0
rangeland-oct-1~+00-06-00,1343.4308149037945,0.0
rangeland-oct-1~+00-07-00,1345.9214961450073,0.0
rangeland-oct-1~+00-08-00,1310.5054138435496,0.0
rangeland-oct-1~+00-09-00,1225.8038715744397,0.0
rangeland-oct-1~+00-10-00,1091.8368411898841,0.0
rangeland-oct-1~+00-11-00,960.7510435383319,0.0
rangeland-oct-1~+00-12-00,838.619793862246,0.0
rangeland-oct-1~+00-13-00,716.3504709429125,0.0
rangeland-oct-1~+00-14-00,642.6069935109097,0.0
rangeland-oct-1~+00-15-00,633.7751863711542,0.0
rangeland-oct-1~+00-16-00,645.4085560305673,0.0
rangeland-oct-1~+00-17-00,694.8215444837599,0.0
rangeland-oct-1~+00-18-00,751.0290424738284,0.0
rangeland-oct-1~+00-19-00,792.3829650476235,0.0
rangeland-oct-1~+00-20-00,835.2915725191881,0.0
rangeland-oct-1~+00-21-00,833.3574453950922,0.0
rangeland-oct-1~+00-22-00,807.46120544711,0.0
rangeland-oct-1~+00-23-00,794.1893050104194,0.0
rangeland-oct-1~+01-00-00,746.9118138772591,0.0
rangeland-oct-1~+01-01-00,711.554329266945,0.0
rangeland-oct-1~+01-02-00,709.9034521243085,0.0
rangeland-oct-1~+01-03-00,720.7557662676735,0.0
rangeland-oct-1~+01-04-00,765.9420141245364,0.0
rangeland-oct-1~+01-05-00,770.4110191366324,0.0
rangeland-oct-1~+01-06-00,739.8676549758311,0.0
rangeland-oct-1~+01-07-00,695.9307583916623,0.0
rangeland-oct-1~+01-08-00,653.7123064287393,0.0
rangeland-oct-1~+01-09-00,581.2488135385111,0.0
rangeland-oct-1~+01-10-00,506.5663720464057,0.0
rangeland-oct-1~+01-11-00,426.6607808634988,0.0
rangeland-oct-1~+01-12-00,378.36270129062154,0.0
rangeland-oct-1~+01-13-00,354.689722571215,0.0
rangeland-oct-1~+01-14-00,353.0309883941708,0.0
rangeland-oct-1~+01-15-00,348.83657137318176,0.0
rangeland-oct-1~+01-16-00,386.4815183307597,0.0
rangeland-oct-1~+01-17-00,416.5139702922956,0.0
rangeland-oct-1~+01-18-00,432.7066075272937,0.0
rangeland-oct-1~+01-19-00,477.3732615134071,0.0
rangeland-oct-1~+01-20-00,527.3835100543315,0.0
rangeland-oct-1~+01-21-00,584.4942800097181,0.0
rangeland-oct-1~+01-22-00,625.1104201532951,0.0
rangeland-oct-1~+01-23-00,640.9953801552058,0.0
rangeland-oct-1~+02-00-00,674.5426338143234,0.0
rangeland-oct-1~+02-01-00,710.9575840397489,0.0
rangeland-oct-1~+02-02-00,759.8200002314412,0.0
rangeland-oct-1~+02-03-00,818.2884852813647,0.0
rangeland-oct-1~+02-04-00,860.4607982897195,0.0
rangeland-oct-1~+02-05-00,879.2358100036026,0.0
rangeland-oct-1~+02-06-00,883.3024505384201,0.0
rangeland-oct-1~+02-07-00,874.7395177043194,0.0
rangeland-oct-1~+02-08-00,849.8583997072917,0.0
rangeland-oct-1~+02-09-00,785.2064808149769,0.0
rangeland-oct-1~+02-10-00,699.4448175254707,0.0
rangeland-oct-1~+02-11-00,637.285161176561,0.0
rangeland-oct-1~+02-12-00,600.6432754925938,0.0
rangeland-oct-1~+02-13-00,569.9454675996269,0.0
rangeland-oct-1~+02-14-00,547.6534366960757,0.0
rangeland-oct-1~+02-15-00,541.7977308563056,0.0
rangeland-oct-1~+02-16-00,603.1503435267451,0.0
rangeland-oct-1~+02-17-00,686.5914364497844,0.0
rangeland-oct-1~+02-18-00,762.3256246247034,0.0
rangeland-oct-1~+02-19-00,790.7305740736269,0.0
rangeland-oct-1~+02-20-00,793.4151521194731,0.0
rangeland-oct-1~+02-21-00,782.2707535721245,0.0
rangeland-oct-1~+02-22-00,762.2691061048275,0.0
rangeland-oct-1~+02-23-00,682.6749683383513,0.0
rangeland-oct-1~+03-00-00,616.5744350245872,0.0
rangeland-oct-1~+03-01-00,578.7659495745377,0.0
rangeland-oct-1~+03-02-00,591.7344366022439,0.0
rangeland-oct-1~+03-03-00,671.6163404482731,0.0
rangeland-oct-1~+03-04-00,793.2635989160129,0.0
rangeland-oct-1~+03-05-00,910.2401263208101,0.0
rangeland-oct-1~+03-06-00,996.2124061519609,0.0
rangeland-oct-1~+03-07-00,1066.431085224464,0.0
rangeland-oct-1~+03-08-00,1102.8632792100793,0.0
rangeland-oct-1~+03-09-00,1108.5392151755605,0.0
rangeland-oct-1~+03-10-00,1060.3667947730682,0.0
rangeland-oct-1~+03-11-00,991.078364064924,0.0
rangeland-oct-1~+03-12-00,914.4533356982038,0.0
rangeland-oct-1~+03-13-00,873.5905128014524,0.0
rangeland-oct-1~+03-14-00,826.2334767105076,0.0
rangeland-oct-1~+03-15-00,824.1812513400023,0.0
rangeland-oct-1~+03-16-00,861.2634257517093,0.0
rangeland-oct-1~+03-17-00,908.3555224632605,0.0
rangeland-oct-1~+03-18-00,924.3130176743871,0.0
rangeland-oct-1~+03-19-00,935.0190609185643,0.0
rangeland-oct-1~+03-20-00,916.515406090958,0.0
rangeland-oct-1~+03-21-00,891.8411651469828,0.0
rangeland-oct-1~+03-22-00,821.5410813433775,0.0
rangeland-oct-1~+03-23-00,745.0232653338691,0.0
rangeland-oct-1~+04-00-00,649.7970343329598,0.0
