trace,op_ems,emb_ems
rangeland-sep-1,2419.5524167963918,0.0
rangeland-sep-1~+00-01-00,2437.6084029950453,0.0
rangeland-sep-1~+00-02-00,2471.8598781749874,0.0
rangeland-sep-1~+00-03-00,2514.622145419981,0.0
rangeland-sep-1~+00-04-00,2563.4649448132895,0.0
rangeland-sep-1~+00-05-00,2597.1072633403273,0.0
rangeland-sep-1~+00-06-00,2611.95638454237,0.0
rangeland-sep-1~+00-07-00,2617.100345867916,0.0
rangeland-sep-1~+00-08-00,2639.389491665214,0.0
rangeland-sep-1~+00-09-00,2625.527126668649,0.0
rangeland-sep-1~+00-10-00,2587.8173295895576,0.0
rangeland-sep-1~+00-11-00,2562.7732012054144,0.0
rangeland-sep-1~+00-12-00,2541.081864707037,0.0
rangeland-sep-1~+00-13-00,2505.302113185964,0.0
rangeland-sep-1~+00-14-00,2487.15044182783,0.0
rangeland-sep-1~+00-15-00,2479.9828983224666,0.0
rangeland-sep-1~+00-16-00,2520.171206354923,0.0
rangeland-sep-1~+00-17-00,2548.4207757219433,0.0
rangeland-sep-1~+00-18-00,2556.3303566911327,0.0
rangeland-sep-1~+00-19-00,2539.0499345407325,0.0
rangeland-sep-1~+00-20-00,2532.3903205899023,0.0
rangeland-sep-1~+00-21-00,2530.3521214812736,0.0
rangeland-sep-1~+00-22-00,2557.941579331519,0.0
rangeland-sep-1~+00-23-00,2541.0380238872094,0.0
rangeland-sep-1~+01-00-00,2509.6885668849727,0.0
rangeland-sep-1~+01-01-00,2513.6610047561603,0.0
rangeland-sep-1~+01-02-00,2478.883514175832,0.0
rangeland-sep-1~+01-03-00,2475.65621601863,0.0
rangeland-sep-1~+01-04-00,2432.0227431727744,0.0
rangeland-sep-1~+01-05-00,2393.2154838679935,0.0
rangeland-sep-1~+01-06-00,2357.177791670883,0.0
rangeland-sep-1~+01-07-00,2341.5450686805925,0.0
rangeland-sep-1~+01-08-00,2330.256324685087,0.0
rangeland-sep-1~+01-09-00,2352.988920205954,0.0
rangeland-sep-1~+01-10-00,2367.3566207130757,0.0
rangeland-sep-1~+01-11-00,2399.756181282515,0.0
rangeland-sep-1~+01-12-00,2461.254971753908,0.0
rangeland-sep-1~+01-13-00,2513.1354706310494,0.0
rangeland-sep-1~+01-14-00,2540.4438386864927,0.0
rangeland-sep-1~+01-15-00,2590.67992238088,0.0
rangeland-sep-1~+01-16-00,2628.038964375044,0.0
rangeland-sep-1~+01-17-00,2660.719144400139,0.0
rangeland-sep-1~+01-18-00,2696.402097351577,0.0
rangeland-sep-1~+01-19-00,2655.2343233393294,0.0
rangeland-sep-1~+01-20-00,2652.9870498169385,0.0
rangeland-sep-1~+01-21-00,2666.1913538189856,0.0
rangeland-sep-1~+01-22-00,2676.3805383052613,0.0
rangeland-sep-1~+01-23-00,2674.732539098719,0.0
rangeland-sep-1~+02-00-00,2609.567706478677,0.0
rangeland-sep-1~+02-01-00,2553.3766885095292,0.0
rangeland-sep-1~+02-02-00,2523.2461818925567,0.0
rangeland-sep-1~+02-03-00,2469.884481814665,0.0
rangeland-sep-1~+02-04-00,2437.3480900219074,0.0
rangeland-sep-1~+02-05-00,2372.203764668348,0.0
rangeland-sep-1~+02-06-00,2349.396364858191,0.0
rangeland-sep-1~+02-07-00,2332.1271476502397,0.0
rangeland-sep-1~+02-08-00,2361.9565314596425,0.0
rangeland-sep-1~+02-09-00,2383.396408695075,0.0
rangeland-sep-1~+02-10-00,2400.4375961502337,0.0
rangeland-sep-1~+02-11-00,2469.132966083031,0.0
rangeland-sep-1~+02-12-00,2475.681150821964,0.0
rangeland-sep-1~+02-13-00,2510.178847527739,0.0
rangeland-sep-1~+02-14-00,2530.0088329770447,0.0
rangeland-sep-1~+02-15-00,2488.874630812987,0.0
rangeland-sep-1~+02-16-00,2478.8114320829272,0.0
rangeland-sep-1~+02-17-00,2501.87633400838,0.0
rangeland-sep-1~+02-18-00,2514.893130706474,0.0
rangeland-sep-1~+02-19-00,2564.486667866574,0.0
rangeland-sep-1~+02-20-00,2585.6297578123476,0.0
rangeland-sep-1~+02-21-00,2635.9035511119832,0.0
rangeland-sep-1~+02-22-00,2657.5536373536615,0.0
rangeland-sep-1~+02-23-00,2708.234018914556,0.0
rangeland-sep-1~+03-00-00,2680.8713479861563,0.0
rangeland-sep-1~+03-01-00,2657.1312816341706,0.0
rangeland-sep-1~+03-02-00,2628.1265490897363,0.0
rangeland-sep-1~+03-03-00,2547.4986649504735,0.0
rangeland-sep-1~+03-04-00,2478.642961740608,0.0
rangeland-sep-1~+03-05-00,2408.7341686212953,0.0
