trace,op_ems,emb_ems
rangeland-sep-2,325.6703042679287,0.0
rangeland-sep-2~+00-01-00,260.7316667633016,0.0
rangeland-sep-2~+00-02-00,212.01105097556226,0.0
rangeland-sep-2~+00-03-00,219.83951046785876,0.0
rangeland-sep-2~+00-04-00,301.27077695231674,0.0
rangeland-sep-2~+00-05-00,345.9495754534251,0.0
rangeland-sep-2~+00-06-00,390.3933903286508,0.0
rangeland-sep-2~+00-07-00,473.2661717118366,0.0
rangeland-sep-2~+00-08-00,455.0625223722769,0.0
rangeland-sep-2~+00-09-00,475.3073951686988,0.0
rangeland-sep-2~+00-10-00,429.366819035544,0.0
rangeland-sep-2~+00-11-00,393.14976074432474,0.0
rangeland-sep-2~+00-12-00,376.9966508252151,0.0
rangeland-sep-2~+00-13-00,365.4766404177592,0.0
rangeland-sep-2~+00-14-00,380.7911378108712,0.0
rangeland-sep-2~+00-15-00,437.23116570872935,0.0
rangeland-sep-2~+00-16-00,442.24193245298454,0.0
rangeland-sep-2~+00-17-00,460.50846081786426,0.0
rangeland-sep-2~+00-18-00,453.9493411649486,0.0
rangeland-sep-2~+00-19-00,417.56631458005006,0.0
rangeland-sep-2~+00-20-00,390.9964705330309,0.0
rangeland-sep-2~+00-21-00,327.7706810785552,0.0
rangeland-sep-2~+00-22-00,249.90071451543452,0.0
rangeland-sep-2~+00-23-00,228.96832731373533,0.0
rangeland-sep-2~+01-00-00,219.12413914810338,0.0
rangeland-sep-2~+01-01-00,211.65316126299896,0.0
rangeland-sep-2~+01-02-00,253.1222847895683,0.0
rangeland-sep-2~+01-03-00,286.8198397980183,0.0
rangeland-sep-2~+01-04-00,330.0388215557341,0.0
rangeland-sep-2~+01-05-00,352.7159534063419,0.0
rangeland-sep-2~+01-06-00,345.4430673628443,0.0
rangeland-sep-2~+01-07-00,347.27843600763475,0.0
rangeland-sep-2~+01-08-00,311.95067270207375,0.0
rangeland-sep-2~+01-09-00,239.25722962262813,0.0
rangeland-sep-2~+01-10-00,199.9324563097045,0.0
rangeland-sep-2~+01-11-00,160.71516612520207,0.0
rangeland-sep-2~+01-12-00,176.7944179329874,0.0
rangeland-sep-2~+01-13-00,197.37490250718616,0.0
rangeland-sep-2~+01-14-00,195.20659291166658,0.0
rangeland-sep-2~+01-15-00,224.39090343144534,0.0
rangeland-sep-2~+01-16-00,273.73755785016294,0.0
rangeland-sep-2~+01-17-00,296.26987670221354,0.0
rangeland-sep-2~+01-18-00,293.9836768631977,0.0
rangeland-sep-2~+01-19-00,260.5129452619448,0.0
rangeland-sep-2~+01-20-00,271.2902901554572,0.0
rangeland-sep-2~+01-21-00,253.60024461476684,0.0
rangeland-sep-2~+01-22-00,292.03709326804756,0.0
rangeland-sep-2~+01-23-00,278.3220812096685,0.0
rangeland-sep-2~+02-00-00,253.71038268114916,0.0
rangeland-sep-2~+02-01-00,253.46519089492978,0.0
rangeland-sep-2~+02-02-00,273.1613167833091,0.0
rangeland-sep-2~+02-03-00,316.08611807356425,0.0
rangeland-sep-2~+02-04-00,392.5102682260378,0.0
rangeland-sep-2~+02-05-00,437.61206500916455,0.0
rangeland-sep-2~+02-06-00,526.9351353091922,0.0
rangeland-sep-2~+02-07-00,558.5161469321315,0.0
rangeland-sep-2~+02-08-00,587.3233061105752,0.0
rangeland-sep-2~+02-09-00,526.2957993649622,0.0
rangeland-sep-2~+02-10-00,486.3696968562146,0.0
rangeland-sep-2~+02-11-00,379.37122597965646,0.0
rangeland-sep-2~+02-12-00,350.885140867846,0.0
rangeland-sep-2~+02-13-00,317.91450644752086,0.0
rangeland-sep-2~+02-14-00,313.19323567597934,0.0
rangeland-sep-2~+02-15-00,350.1426046216841,0.0
rangeland-sep-2~+02-16-00,410.4812778969866,0.0
rangeland-sep-2~+02-17-00,451.2013137620858,0.0
rangeland-sep-2~+02-18-00,498.0275060856576,0.0
rangeland-sep-2~+02-19-00,528.3888880232097,0.0
rangeland-sep-2~+02-20-00,551.6740251391961,0.0
rangeland-sep-2~+02-21-00,520.9631520028022,0.0
rangeland-sep-2~+02-22-00,532.1471813180606,0.0
rangeland-sep-2~+02-23-00,509.3838149428691,0.0
rangeland-sep-2~+03-00-00,482.400395713277,0.0
rangeland-sep-2~+03-01-00,494.54936591832393,0.0
rangeland-sep-2~+03-02-00,442.1095367872807,0.0
rangeland-sep-2~+03-03-00,529.771809675475,0.0
rangeland-sep-2~+03-04-00,633.316847287053,0.0
rangeland-sep-2~+03-05-00,653.4132498153099,0.0
rangeland-sep-2~+03-06-00,724.0814990790427,0.0
rangeland-sep-2~+03-07-00,779.1559908776449,0.0
rangeland-sep-2~+03-08-00,787.296482796517,0.0
rangeland-sep-2~+03-09-00,755.9520390841342,0.0
rangeland-sep-2~+03-10-00,646.6542482189958,0.0
rangeland-sep-2~+03-11-00,555.870235020608,0.0
rangeland-sep-2~+03-12-00,503.8067535315193,0.0
rangeland-sep-2~+03-13-00,476.7731543903833,0.0
rangeland-sep-2~+03-14-00,497.76876509010185,0.0
rangeland-sep-2~+03-15-00,578.9220134523595,0.0
rangeland-sep-2~+03-16-00,690.3204906752254,0.0
rangeland-sep-2~+03-17-00,803.6214238453737,0.0
rangeland-sep-2~+03-18-00,833.6062434635253,0.0
rangeland-sep-2~+03-19-00,847.6456533463561,0.0
rangeland-sep-2~+03-20-00,757.9831080623755,0.0
rangeland-sep-2~+03-21-00,676.5874761727772,0.0
rangeland-sep-2~+03-22-00,592.4670494084947,0.0
rangeland-sep-2~+03-23-00,463.30166200843036,0.0
rangeland-sep-2~+04-00-00,378.3292189371159,0.0
