trace,op_ems,emb_ems
rnaseq-apr-1,437.9045669764499,0.0
rnaseq-apr-1~+00-01-00,421.8767997322188,0.0
rnaseq-apr-1~+00-02-00,431.0420857669325,0.0
rnaseq-apr-1~+00-03-00,441.8682587292554,0.0
rnaseq-apr-1~+00-04-00,378.01073910718105,0.0
rnaseq-apr-1~+00-05-00,390.96895129582634,0.0
rnaseq-apr-1~+00-06-00,450.57605876600985,0.0
rnaseq-apr-1~+00-07-00,559.1589521349099,0.0
rnaseq-apr-1~+00-08-00,633.1819999609327,0.0
rnaseq-apr-1~+00-09-00,699.5167906162322,0.0
rnaseq-apr-1~+00-10-00,670.3665378681648,0.0
rnaseq-apr-1~+00-11-00,607.5138202197043,0.0
rnaseq-apr-1~+00-12-00,469.3519811184774,0.0
rnaseq-apr-1~+00-13-00,344.1849637323318,0.0
rnaseq-apr-1~+00-14-00,261.48191059972135,0.0
rnaseq-apr-1~+00-15-00,218.7061247171846,0.0
rnaseq-apr-1~+00-16-00,154.26879707073311,0.0
rnaseq-apr-1~+00-17-00,150.7102533478943,0.0
rnaseq-apr-1~+00-18-00,206.8297940527223,0.0
rnaseq-apr-1~+00-19-00,236.20753878561624,0.0
rnaseq-apr-1~+00-20-00,256.7219976890527,0.0
rnaseq-apr-1~+00-21-00,214.5158584553887,0.0
rnaseq-apr-1~+00-22-00,188.8512275394221,0.0
rnaseq-apr-1~+00-23-00,179.54232496366322,0.0
rnaseq-apr-1~+01-00-00,195.04117951094597,0.0
rnaseq-apr-1~+01-01-00,139.80083506307727,0.0
rnaseq-apr-1~+01-02-00,94.08044792674411,0.0
rnaseq-apr-1~+01-03-00,72.31182216912342,0.0
rnaseq-apr-1~+01-04-00,57.27180701580728,0.0
rnaseq-apr-1~+01-05-00,41.25619340499968,0.0
rnaseq-apr-1~+01-06-00,49.35811337257341,0.0
rnaseq-apr-1~+01-07-00,88.13592201064895,0.0
rnaseq-apr-1~+01-08-00,105.58729160991365,0.0
rnaseq-apr-1~+01-09-00,152.16912884748353,0.0
rnaseq-apr-1~+01-10-00,160.45774246901112,0.0
rnaseq-apr-1~+01-11-00,163.09596431750828,0.0
rnaseq-apr-1~+01-12-00,174.79033830831514,0.0
rnaseq-apr-1~+01-13-00,193.54307654691877,0.0
rnaseq-apr-1~+01-14-00,200.45825912164474,0.0
rnaseq-apr-1~+01-15-00,212.14410319374664,0.0
rnaseq-apr-1~+01-16-00,214.62927505865144,0.0
rnaseq-apr-1~+01-17-00,226.62855479237214,0.0
rnaseq-apr-1~+01-18-00,238.30781342425564,0.0
rnaseq-apr-1~+01-19-00,324.53664241699664,0.0
rnaseq-apr-1~+01-20-00,431.2074671269768,0.0
rnaseq-apr-1~+01-21-00,452.82403923670876,0.0
rnaseq-apr-1~+01-22-00,387.0161882272156,0.0
rnaseq-apr-1~+01-23-00,309.3379249612607,0.0
rnaseq-apr-1~+02-00-00,215.27985334920515,0.0
rnaseq-apr-1~+02-01-00,132.41682673891054,0.0
rnaseq-apr-1~+02-02-00,91.25755907408755,0.0
rnaseq-apr-1~+02-03-00,69.2390499212822,0.0
rnaseq-apr-1~+02-04-00,73.67400191344292,0.0
rnaseq-apr-1~+02-05-00,95.6175154598447,0.0
rnaseq-apr-1~+02-06-00,122.51864263783628,0.0
rnaseq-apr-1~+02-07-00,151.37043277092963,0.0
rnaseq-apr-1~+02-08-00,191.0453666371145,0.0
rnaseq-apr-1~+02-09-00,212.92061149402656,0.0
rnaseq-apr-1~+02-10-00,200.54057461723337,0.0
rnaseq-apr-1~+02-11-00,186.13404326633506,0.0
rnaseq-apr-1~+02-12-00,185.6938621206256,0.0
rnaseq-apr-1~+02-13-00,159.39173966460356,0.0
rnaseq-apr-1~+02-14-00,125.98095702243052,0.0
rnaseq-apr-1~+02-15-00,149.663556252606,0.0
rnaseq-apr-1~+02-16-00,210.82441325782355,0.0
rnaseq-apr-1~+02-17-00,226.06742737223237,0.0
rnaseq-apr-1~+02-18-00,233.14251626469195,0.0
rnaseq-apr-1~+02-19-00,216.16288670967646,0.0
rnaseq-apr-1~+02-20-00,230.49380551953953,0.0
rnaseq-apr-1~+02-21-00,231.14285081440687,0.0
rnaseq-apr-1~+02-22-00,241.22490515462184,0.0
rnaseq-apr-1~+02-23-00,241.23412122935622,0.0
rnaseq-apr-1~+03-00-00,234.6524217459729,0.0
rnaseq-apr-1~+03-01-00,233.7616598284333,0.0
rnaseq-apr-1~+03-02-00,232.3447485213457,0.0
rnaseq-apr-1~+03-03-00,210.7755317357918,0.0
rnaseq-apr-1~+03-04-00,189.20408724416853,0.0
rnaseq-apr-1~+03-05-00,179.55110720751668,0.0
rnaseq-apr-1~+03-06-00,247.02530537980294,0.0
rnaseq-apr-1~+03-07-00,305.86298464233255,0.0
rnaseq-apr-1~+03-08-00,400.5521076103122,0.0
rnaseq-apr-1~+03-09-00,418.1065456204086,0.0
rnaseq-apr-1~+03-10-00,388.60443757340255,0.0
rnaseq-apr-1~+03-11-00,296.0746567474314,0.0
rnaseq-apr-1~+03-12-00,231.2576153554487,0.0
rnaseq-apr-1~+03-13-00,184.54774851699256,0.0
rnaseq-apr-1~+03-14-00,174.74332392673395,0.0
rnaseq-apr-1~+03-15-00,177.6318485797104,0.0
rnaseq-apr-1~+03-16-00,211.0643042547441,0.0
rnaseq-apr-1~+03-17-00,225.22004570046772,0.0
rnaseq-apr-1~+03-18-00,237.94274037186494,0.0
rnaseq-apr-1~+03-19-00,208.95340332923215,0.0
rnaseq-apr-1~+03-20-00,210.45205671193463,0.0
rnaseq-apr-1~+03-21-00,200.32466833634476,0.0
rnaseq-apr-1~+03-22-00,183.76686233993627,0.0
rnaseq-apr-1~+03-23-00,203.51139296526304,0.0
rnaseq-apr-1~+04-00-00,205.34958655715917,0.0
