trace,op_ems,emb_ems
rnaseq-apr-1,1868.8881954571361,0.0
rnaseq-apr-1~+00-01-00,1771.2825636038574,0.0
rnaseq-apr-1~+00-02-00,1763.4931044386517,0.0
rnaseq-apr-1~+00-03-00,1760.5820090115897,0.0
rnaseq-apr-1~+00-04-00,1722.9841156963985,0.0
rnaseq-apr-1~+00-05-00,1685.7799701518325,0.0
rnaseq-apr-1~+00-06-00,1769.0782043954287,0.0
rnaseq-apr-1~+00-07-00,1923.7677833492316,0.0
rnaseq-apr-1~+00-08-00,2021.7097923783958,0.0
rnaseq-apr-1~+00-09-00,2028.3985178753842,0.0
rnaseq-apr-1~+00-10-00,1954.4775221602524,0.0
rnaseq-apr-1~+00-11-00,1916.2437212349391,0.0
rnaseq-apr-1~+00-12-00,1859.6229294133288,0.0
rnaseq-apr-1~+00-13-00,1823.4175792930232,0.0
rnaseq-apr-1~+00-14-00,1761.306774605935,0.0
rnaseq-apr-1~+00-15-00,1680.2104425870077,0.0
rnaseq-apr-1~+00-16-00,1655.9708299215827,0.0
rnaseq-apr-1~+00-17-00,1648.5725601267613,0.0
rnaseq-apr-1~+00-18-00,1661.7554033135707,0.0
rnaseq-apr-1~+00-19-00,1664.3192731523784,0.0
rnaseq-apr-1~+00-20-00,1628.6190892261811,0.0
rnaseq-apr-1~+00-21-00,1634.768181316645,0.0
rnaseq-apr-1~+00-22-00,1642.3555771822753,0.0
rnaseq-apr-1~+00-23-00,1700.6802871913812,0.0
rnaseq-apr-1~+01-00-00,1727.8904058721905,0.0
rnaseq-apr-1~+01-01-00,1729.748177025497,0.0
rnaseq-apr-1~+01-02-00,1681.0285613612828,0.0
rnaseq-apr-1~+01-03-00,1655.4622736633203,0.0
rnaseq-apr-1~+01-04-00,1639.240119472814,0.0
rnaseq-apr-1~+01-05-00,1647.0315151694444,0.0
rnaseq-apr-1~+01-06-00,1660.599434194078,0.0
rnaseq-apr-1~+01-07-00,1687.6972284405888,0.0
rnaseq-apr-1~+01-08-00,1747.4763125566596,0.0
rnaseq-apr-1~+01-09-00,1792.8608163479826,0.0
rnaseq-apr-1~+01-10-00,1838.2586062151609,0.0
rnaseq-apr-1~+01-11-00,1879.0747320889982,0.0
rnaseq-apr-1~+01-12-00,1871.4202313152075,0.0
rnaseq-apr-1~+01-13-00,1768.227428966367,0.0
rnaseq-apr-1~+01-14-00,1646.9439245218437,0.0
rnaseq-apr-1~+01-15-00,1645.940189830854,0.0
rnaseq-apr-1~+01-16-00,1719.208089127467,0.0
rnaseq-apr-1~+01-17-00,1785.581801742692,0.0
rnaseq-apr-1~+01-18-00,1721.3470566605763,0.0
rnaseq-apr-1~+01-19-00,1672.6490557294292,0.0
rnaseq-apr-1~+01-20-00,1742.1717445818094,0.0
rnaseq-apr-1~+01-21-00,1820.9368766857624,0.0
rnaseq-apr-1~+01-22-00,1844.9516593114427,0.0
rnaseq-apr-1~+01-23-00,1751.7776822656201,0.0
rnaseq-apr-1~+02-00-00,1705.215039260366,0.0
rnaseq-apr-1~+02-01-00,1765.3069515181558,0.0
rnaseq-apr-1~+02-02-00,1817.4288497795246,0.0
rnaseq-apr-1~+02-03-00,1820.6156568928825,0.0
rnaseq-apr-1~+02-04-00,1749.0218078913365,0.0
rnaseq-apr-1~+02-05-00,1805.5062366567554,0.0
rnaseq-apr-1~+02-06-00,1866.9737858513645,0.0
rnaseq-apr-1~+02-07-00,1850.968416072991,0.0
rnaseq-apr-1~+02-08-00,1754.6861536066153,0.0
rnaseq-apr-1~+02-09-00,1735.1714158501209,0.0
rnaseq-apr-1~+02-10-00,1811.994656928085,0.0
rnaseq-apr-1~+02-11-00,1870.1766835439023,0.0
rnaseq-apr-1~+02-12-00,1834.2835631023263,0.0
rnaseq-apr-1~+02-13-00,1768.5525298352813,0.0
rnaseq-apr-1~+02-14-00,1715.7225570418777,0.0
rnaseq-apr-1~+02-15-00,1697.168878595191,0.0
rnaseq-apr-1~+02-16-00,1692.906575866284,0.0
rnaseq-apr-1~+02-17-00,1715.0969430650907,0.0
rnaseq-apr-1~+02-18-00,1699.7059718325227,0.0
rnaseq-apr-1~+02-19-00,1675.4945880144542,0.0
rnaseq-apr-1~+02-20-00,1686.949909584786,0.0
rnaseq-apr-1~+02-21-00,1793.509649771065,0.0
rnaseq-apr-1~+02-22-00,1947.521781200927,0.0
rnaseq-apr-1~+02-23-00,2024.6993844190852,0.0
rnaseq-apr-1~+03-00-00,1979.1155296333689,0.0
rnaseq-apr-1~+03-01-00,1861.1779167312206,0.0
rnaseq-apr-1~+03-02-00,1761.5804899473876,0.0
rnaseq-apr-1~+03-03-00,1714.9355164559145,0.0
rnaseq-apr-1~+03-04-00,1656.6698376911481,0.0
rnaseq-apr-1~+03-05-00,1763.8573326654332,0.0
rnaseq-apr-1~+03-06-00,1859.532429619076,0.0
rnaseq-apr-1~+03-07-00,1870.7027869324206,0.0
rnaseq-apr-1~+03-08-00,1892.391116380079,0.0
rnaseq-apr-1~+03-09-00,1923.5948307715948,0.0
rnaseq-apr-1~+03-10-00,1955.9482140475516,0.0
rnaseq-apr-1~+03-11-00,1993.605855355699,0.0
rnaseq-apr-1~+03-12-00,1943.4998616785558,0.0
rnaseq-apr-1~+03-13-00,1867.3486176616375,0.0
rnaseq-apr-1~+03-14-00,1737.8558906695584,0.0
rnaseq-apr-1~+03-15-00,1666.7988363612758,0.0
rnaseq-apr-1~+03-16-00,1666.0184596671684,0.0
rnaseq-apr-1~+03-17-00,1670.9483829102974,0.0
rnaseq-apr-1~+03-18-00,1648.029421848033,0.0
rnaseq-apr-1~+03-19-00,1635.5116243887296,0.0
rnaseq-apr-1~+03-20-00,1676.6350752458347,0.0
rnaseq-apr-1~+03-21-00,1761.496760069604,0.0
rnaseq-apr-1~+03-22-00,1832.0632423240686,0.0
rnaseq-apr-1~+03-23-00,1838.5480894729262,0.0
rnaseq-apr-1~+04-00-00,1783.0679999269269,0.0
