trace,op_ems,emb_ems
rnaseq-aug-3,175.36193418578375,0.0
rnaseq-aug-3~+00-01-00,153.23005999949814,0.0
rnaseq-aug-3~+00-02-00,123.10355788504341,0.0
rnaseq-aug-3~+00-03-00,129.90164557691276,0.0
rnaseq-aug-3~+00-04-00,135.25884529662497,0.0
rnaseq-aug-3~+00-05-00,136.52096796882591,0.0
rnaseq-aug-3~+00-06-00,179.6599233241655,0.0
rnaseq-aug-3~+00-07-00,272.2660431178589,0.0
rnaseq-aug-3~+00-08-00,366.04188149967774,0.0
rnaseq-aug-3~+00-09-00,439.6091076734447,0.0
rnaseq-aug-3~+00-10-00,478.4282424287879,0.0
rnaseq-aug-3~+00-11-00,490.56931156761516,0.0
rnaseq-aug-3~+00-12-00,445.3219502011382,0.0
rnaseq-aug-3~+00-13-00,354.32637329542695,0.0
rnaseq-aug-3~+00-14-00,257.36932290732227,0.0
rnaseq-aug-3~+00-15-00,226.5085236826069,0.0
rnaseq-aug-3~+00-16-00,238.39637661833368,0.0
rnaseq-aug-3~+00-17-00,265.1252813336718,0.0
rnaseq-aug-3~+00-18-00,270.0336875446855,0.0
rnaseq-aug-3~+00-19-00,284.6345943339145,0.0
rnaseq-aug-3~+00-20-00,303.7332964655636,0.0
rnaseq-aug-3~+00-21-00,318.41746529338207,0.0
rnaseq-aug-3~+00-22-00,290.3735467695479,0.0
rnaseq-aug-3~+00-23-00,221.4768926682724,0.0
rnaseq-aug-3~+01-00-00,158.45394972949666,0.0
rnaseq-aug-3~+01-01-00,118.27720710907477,0.0
rnaseq-aug-3~+01-02-00,105.42443536126574,0.0
rnaseq-aug-3~+01-03-00,109.97688809955719,0.0
rnaseq-aug-3~+01-04-00,117.69947752216154,0.0
rnaseq-aug-3~+01-05-00,138.03793692800366,0.0
rnaseq-aug-3~+01-06-00,212.38503306638148,0.0
rnaseq-aug-3~+01-07-00,327.5944062087153,0.0
rnaseq-aug-3~+01-08-00,453.2261409039337,0.0
rnaseq-aug-3~+01-09-00,539.0985184501437,0.0
rnaseq-aug-3~+01-10-00,588.2713054748426,0.0
rnaseq-aug-3~+01-11-00,609.5287081257086,0.0
rnaseq-aug-3~+01-12-00,592.4138980725212,0.0
rnaseq-aug-3~+01-13-00,534.1041780499806,0.0
rnaseq-aug-3~+01-14-00,440.67799945503555,0.0
rnaseq-aug-3~+01-15-00,387.50658129088987,0.0
rnaseq-aug-3~+01-16-00,352.7595027882179,0.0
rnaseq-aug-3~+01-17-00,324.51679062425,0.0
rnaseq-aug-3~+01-18-00,297.0605005521875,0.0
rnaseq-aug-3~+01-19-00,310.8649489325963,0.0
rnaseq-aug-3~+01-20-00,389.78957262969914,0.0
rnaseq-aug-3~+01-21-00,512.5728992099848,0.0
rnaseq-aug-3~+01-22-00,561.7609469873421,0.0
rnaseq-aug-3~+01-23-00,526.9481925123426,0.0
rnaseq-aug-3~+02-00-00,446.19431771269967,0.0
rnaseq-aug-3~+02-01-00,392.4731317382125,0.0
rnaseq-aug-3~+02-02-00,353.0160739645802,0.0
rnaseq-aug-3~+02-03-00,349.1090833940674,0.0
rnaseq-aug-3~+02-04-00,364.9999848252413,0.0
rnaseq-aug-3~+02-05-00,380.88487010019065,0.0
rnaseq-aug-3~+02-06-00,417.8499763766258,0.0
rnaseq-aug-3~+02-07-00,482.3407728069824,0.0
rnaseq-aug-3~+02-08-00,561.8153609968637,0.0
rnaseq-aug-3~+02-09-00,603.4597226046374,0.0
rnaseq-aug-3~+02-10-00,606.066575641205,0.0
rnaseq-aug-3~+02-11-00,601.7992590952713,0.0
rnaseq-aug-3~+02-12-00,567.0958857361567,0.0
rnaseq-aug-3~+02-13-00,485.7183040490268,0.0
rnaseq-aug-3~+02-14-00,411.82364161923647,0.0
rnaseq-aug-3~+02-15-00,353.0194005834042,0.0
rnaseq-aug-3~+02-16-00,302.0736497883307,0.0
rnaseq-aug-3~+02-17-00,280.2191369746268,0.0
rnaseq-aug-3~+02-18-00,284.31503841769893,0.0
rnaseq-aug-3~+02-19-00,287.04231981911903,0.0
rnaseq-aug-3~+02-20-00,251.23033356377846,0.0
rnaseq-aug-3~+02-21-00,204.67708645386193,0.0
rnaseq-aug-3~+02-22-00,175.75013619864237,0.0
rnaseq-aug-3~+02-23-00,157.5527415031664,0.0
rnaseq-aug-3~+03-00-00,133.17480020043135,0.0
rnaseq-aug-3~+03-01-00,118.13609396904904,0.0
rnaseq-aug-3~+03-02-00,110.51259263675476,0.0
rnaseq-aug-3~+03-03-00,103.1188956240911,0.0
rnaseq-aug-3~+03-04-00,108.79602450464543,0.0
rnaseq-aug-3~+03-05-00,109.17887611438023,0.0
rnaseq-aug-3~+03-06-00,135.46142757439986,0.0
rnaseq-aug-3~+03-07-00,183.39667876278088,0.0
rnaseq-aug-3~+03-08-00,246.96658451614255,0.0
rnaseq-aug-3~+03-09-00,278.83684031173857,0.0
rnaseq-aug-3~+03-10-00,306.44595331536055,0.0
rnaseq-aug-3~+03-11-00,303.77968448479396,0.0
rnaseq-aug-3~+03-12-00,314.0663461948674,0.0
rnaseq-aug-3~+03-13-00,297.4226562790239,0.0
rnaseq-aug-3~+03-14-00,266.73199100759905,0.0
rnaseq-aug-3~+03-15-00,238.38947243616917,0.0
rnaseq-aug-3~+03-16-00,243.69732997806972,0.0
rnaseq-aug-3~+03-17-00,250.24233511902563,0.0
rnaseq-aug-3~+03-18-00,227.90163628604543,0.0
rnaseq-aug-3~+03-19-00,234.79143226403224,0.0
rnaseq-aug-3~+03-20-00,299.5772122986788,0.0
rnaseq-aug-3~+03-21-00,376.5210333376637,0.0
rnaseq-aug-3~+03-22-00,358.1255009588434,0.0
rnaseq-aug-3~+03-23-00,280.0160375820019,0.0
rnaseq-aug-3~+04-00-00,222.0621950901023,0.0
