trace,op_ems,emb_ems
rnaseq-dec-2,571.4505535067838,0.0
rnaseq-dec-2~+00-01-00,553.2636489652531,0.0
rnaseq-dec-2~+00-02-00,532.529609890993,0.0
rnaseq-dec-2~+00-03-00,507.51610491262375,0.0
rnaseq-dec-2~+00-04-00,487.4829684583814,0.0
rnaseq-dec-2~+00-05-00,553.5168300614445,0.0
rnaseq-dec-2~+00-06-00,645.5301369569715,0.0
rnaseq-dec-2~+00-07-00,695.0603540060572,0.0
rnaseq-dec-2~+00-08-00,812.5883969871368,0.0
rnaseq-dec-2~+00-09-00,790.1706227179095,0.0
rnaseq-dec-2~+00-10-00,715.7526311054246,0.0
rnaseq-dec-2~+00-11-00,649.1138670027843,0.0
rnaseq-dec-2~+00-12-00,571.0580329228108,0.0
rnaseq-dec-2~+00-13-00,451.2349737262501,0.0
rnaseq-dec-2~+00-14-00,382.42961163604934,0.0
rnaseq-dec-2~+00-15-00,378.4324225325222,0.0
rnaseq-dec-2~+00-16-00,398.22716176008976,0.0
rnaseq-dec-2~+00-17-00,436.87019486262136,0.0
rnaseq-dec-2~+00-18-00,553.7935226419115,0.0
rnaseq-dec-2~+00-19-00,708.4502098104545,0.0
rnaseq-dec-2~+00-20-00,776.5919746112404,0.0
rnaseq-dec-2~+00-21-00,846.1843359255739,0.0
rnaseq-dec-2~+00-22-00,845.4223997402505,0.0
rnaseq-dec-2~+00-23-00,728.8166624678593,0.0
rnaseq-dec-2~+01-00-00,641.685383987146,0.0
rnaseq-dec-2~+01-01-00,670.491302320218,0.0
rnaseq-dec-2~+01-02-00,717.499132882417,0.0
rnaseq-dec-2~+01-03-00,708.3454793776152,0.0
rnaseq-dec-2~+01-04-00,754.9733456575045,0.0
rnaseq-dec-2~+01-05-00,871.9271362352077,0.0
rnaseq-dec-2~+01-06-00,901.3111619931814,0.0
rnaseq-dec-2~+01-07-00,890.7257145834099,0.0
rnaseq-dec-2~+01-08-00,892.5915427363802,0.0
rnaseq-dec-2~+01-09-00,883.0725874002385,0.0
rnaseq-dec-2~+01-10-00,894.0485606944499,0.0
rnaseq-dec-2~+01-11-00,918.456545509855,0.0
rnaseq-dec-2~+01-12-00,838.4966004653713,0.0
rnaseq-dec-2~+01-13-00,756.1068019820283,0.0
rnaseq-dec-2~+01-14-00,862.9241197934284,0.0
rnaseq-dec-2~+01-15-00,1051.8590061183734,0.0
rnaseq-dec-2~+01-16-00,1103.6866549791966,0.0
rnaseq-dec-2~+01-17-00,1088.0094833292237,0.0
rnaseq-dec-2~+01-18-00,993.2454272855239,0.0
rnaseq-dec-2~+01-19-00,936.6872157500418,0.0
rnaseq-dec-2~+01-20-00,937.6175821137887,0.0
rnaseq-dec-2~+01-21-00,1030.6684602430462,0.0
rnaseq-dec-2~+01-22-00,1062.6170244648918,0.0
rnaseq-dec-2~+01-23-00,1024.4759456637523,0.0
rnaseq-dec-2~+02-00-00,1054.7012878040723,0.0
rnaseq-dec-2~+02-01-00,1103.5528739049676,0.0
rnaseq-dec-2~+02-02-00,1112.9439752914475,0.0
rnaseq-dec-2~+02-03-00,1072.9606490036929,0.0
rnaseq-dec-2~+02-04-00,1026.8688538995332,0.0
rnaseq-dec-2~+02-05-00,1094.9635953458896,0.0
rnaseq-dec-2~+02-06-00,1122.3906427140973,0.0
rnaseq-dec-2~+02-07-00,1232.2594301399529,0.0
rnaseq-dec-2~+02-08-00,1238.6022596259127,0.0
rnaseq-dec-2~+02-09-00,1203.2647574619357,0.0
rnaseq-dec-2~+02-10-00,1087.0476370450997,0.0
rnaseq-dec-2~+02-11-00,1038.1301644845566,0.0
rnaseq-dec-2~+02-12-00,1028.9726852200463,0.0
rnaseq-dec-2~+02-13-00,1063.7164683396932,0.0
rnaseq-dec-2~+02-14-00,1080.2772231367092,0.0
rnaseq-dec-2~+02-15-00,1152.7556415397075,0.0
rnaseq-dec-2~+02-16-00,1191.9071066967722,0.0
rnaseq-dec-2~+02-17-00,1184.0565682090792,0.0
rnaseq-dec-2~+02-18-00,1078.0181028225898,0.0
rnaseq-dec-2~+02-19-00,1098.8225431661122,0.0
rnaseq-dec-2~+02-20-00,1129.234821089259,0.0
rnaseq-dec-2~+02-21-00,1109.6141295330924,0.0
rnaseq-dec-2~+02-22-00,1208.520693565445,0.0
rnaseq-dec-2~+02-23-00,1284.2562160415052,0.0
rnaseq-dec-2~+03-00-00,1274.5845720011234,0.0
rnaseq-dec-2~+03-01-00,1117.5466827079051,0.0
rnaseq-dec-2~+03-02-00,1162.4168441601098,0.0
rnaseq-dec-2~+03-03-00,1186.18426115766,0.0
rnaseq-dec-2~+03-04-00,1123.3666820887765,0.0
rnaseq-dec-2~+03-05-00,1096.8754542099712,0.0
rnaseq-dec-2~+03-06-00,1120.0237727859853,0.0
rnaseq-dec-2~+03-07-00,1167.9445690115087,0.0
rnaseq-dec-2~+03-08-00,1147.0148768660426,0.0
rnaseq-dec-2~+03-09-00,1037.9944938928993,0.0
rnaseq-dec-2~+03-10-00,1005.9408364519708,0.0
rnaseq-dec-2~+03-11-00,1026.16797828841,0.0
rnaseq-dec-2~+03-12-00,1024.723716252698,0.0
rnaseq-dec-2~+03-13-00,1007.8538514049657,0.0
rnaseq-dec-2~+03-14-00,981.4113095866151,0.0
rnaseq-dec-2~+03-15-00,989.7743762758014,0.0
rnaseq-dec-2~+03-16-00,1111.8727742223823,0.0
rnaseq-dec-2~+03-17-00,1227.2251479169859,0.0
rnaseq-dec-2~+03-18-00,1330.0114433605982,0.0
rnaseq-dec-2~+03-19-00,1297.415361751458,0.0
rnaseq-dec-2~+03-20-00,1277.0635175099064,0.0
rnaseq-dec-2~+03-21-00,1228.2145857877251,0.0
rnaseq-dec-2~+03-22-00,1115.788273677169,0.0
rnaseq-dec-2~+03-23-00,996.4575022285277,0.0
rnaseq-dec-2~+04-00-00,981.9229438222769,0.0
