trace,op_ems,emb_ems
rnaseq-dec-2,1611.310390093917,0.0
rnaseq-dec-2~+00-01-00,1725.8761719018103,0.0
rnaseq-dec-2~+00-02-00,1843.4298447147175,0.0
rnaseq-dec-2~+00-03-00,1914.1850820599127,0.0
rnaseq-dec-2~+00-04-00,1959.61960420819,0.0
rnaseq-dec-2~+00-05-00,2010.3097301315438,0.0
rnaseq-dec-2~+00-06-00,2101.7283291557046,0.0
rnaseq-dec-2~+00-07-00,2232.697333574202,0.0
rnaseq-dec-2~+00-08-00,2288.1303700892704,0.0
rnaseq-dec-2~+00-09-00,2261.7758427730023,0.0
rnaseq-dec-2~+00-10-00,2210.4716276186473,0.0
rnaseq-dec-2~+00-11-00,2168.5028829911603,0.0
rnaseq-dec-2~+00-12-00,2110.1536133492536,0.0
rnaseq-dec-2~+00-13-00,1962.8148154902997,0.0
rnaseq-dec-2~+00-14-00,1887.9031738282883,0.0
rnaseq-dec-2~+00-15-00,1949.9618370001012,0.0
rnaseq-dec-2~+00-16-00,2031.1579517851214,0.0
rnaseq-dec-2~+00-17-00,1997.0393773544856,0.0
rnaseq-dec-2~+00-18-00,1887.5871400519914,0.0
rnaseq-dec-2~+00-19-00,1942.8560911713002,0.0
rnaseq-dec-2~+00-20-00,2003.796145171262,0.0
rnaseq-dec-2~+00-21-00,1981.0992287783824,0.0
rnaseq-dec-2~+00-22-00,1920.125407403199,0.0
rnaseq-dec-2~+00-23-00,1873.7029632866163,0.0
rnaseq-dec-2~+01-00-00,1883.7271366733928,0.0
rnaseq-dec-2~+01-01-00,1932.9963829075414,0.0
rnaseq-dec-2~+01-02-00,1998.760826438736,0.0
rnaseq-dec-2~+01-03-00,2025.3375825127296,0.0
rnaseq-dec-2~+01-04-00,2024.995778203739,0.0
rnaseq-dec-2~+01-05-00,1916.8685851890368,0.0
rnaseq-dec-2~+01-06-00,1810.9814885767482,0.0
rnaseq-dec-2~+01-07-00,1904.4710419801809,0.0
rnaseq-dec-2~+01-08-00,2035.423579435164,0.0
rnaseq-dec-2~+01-09-00,2140.0829041387437,0.0
rnaseq-dec-2~+01-10-00,2090.8675595201794,0.0
rnaseq-dec-2~+01-11-00,1991.6672829003535,0.0
rnaseq-dec-2~+01-12-00,1930.344947806029,0.0
rnaseq-dec-2~+01-13-00,1873.4867647753717,0.0
rnaseq-dec-2~+01-14-00,1870.012678449832,0.0
rnaseq-dec-2~+01-15-00,1972.536160160667,0.0
rnaseq-dec-2~+01-16-00,2072.1755934374155,0.0
rnaseq-dec-2~+01-17-00,2038.6212112209441,0.0
rnaseq-dec-2~+01-18-00,1920.6311142255067,0.0
rnaseq-dec-2~+01-19-00,1916.7945238554062,0.0
rnaseq-dec-2~+01-20-00,2007.2083920846658,0.0
rnaseq-dec-2~+01-21-00,2121.070287478259,0.0
rnaseq-dec-2~+01-22-00,2124.8433051206057,0.0
rnaseq-dec-2~+01-23-00,2027.5267444473238,0.0
rnaseq-dec-2~+02-00-00,1914.0071382067763,0.0
