trace,op_ems,emb_ems
rnaseq-jan-3,889.3242886117695,0.0
rnaseq-jan-3~+00-01-00,1001.1191829135196,0.0
rnaseq-jan-3~+00-02-00,995.0273141804851,0.0
rnaseq-jan-3~+00-03-00,833.0664265139187,0.0
rnaseq-jan-3~+00-04-00,854.7647807136417,0.0
rnaseq-jan-3~+00-05-00,996.8484938736083,0.0
rnaseq-jan-3~+00-06-00,1071.758525944153,0.0
rnaseq-jan-3~+00-07-00,952.8526915124075,0.0
rnaseq-jan-3~+00-08-00,904.5094847173148,0.0
rnaseq-jan-3~+00-09-00,840.4215761011856,0.0
rnaseq-jan-3~+00-10-00,742.5950025342771,0.0
rnaseq-jan-3~+00-11-00,657.4537404329665,0.0
rnaseq-jan-3~+00-12-00,698.6251550742879,0.0
rnaseq-jan-3~+00-13-00,794.0599907079077,0.0
rnaseq-jan-3~+00-14-00,690.8817147940264,0.0
rnaseq-jan-3~+00-15-00,556.7811093250918,0.0
rnaseq-jan-3~+00-16-00,567.2909900279784,0.0
rnaseq-jan-3~+00-17-00,725.9356850367001,0.0
rnaseq-jan-3~+00-18-00,710.3443158053775,0.0
rnaseq-jan-3~+00-19-00,761.3146841317499,0.0
rnaseq-jan-3~+00-20-00,734.0545629892347,0.0
rnaseq-jan-3~+00-21-00,804.6184710884095,0.0
rnaseq-jan-3~+00-22-00,834.1397666205582,0.0
rnaseq-jan-3~+00-23-00,912.097279857299,0.0
rnaseq-jan-3~+01-00-00,748.0789085266822,0.0
rnaseq-jan-3~+01-01-00,662.8245310799689,0.0
rnaseq-jan-3~+01-02-00,680.4682297732937,0.0
rnaseq-jan-3~+01-03-00,640.9042610860163,0.0
rnaseq-jan-3~+01-04-00,614.5734798018318,0.0
rnaseq-jan-3~+01-05-00,669.7333765322293,0.0
rnaseq-jan-3~+01-06-00,852.6263500178931,0.0
rnaseq-jan-3~+01-07-00,938.4849681033288,0.0
rnaseq-jan-3~+01-08-00,988.170476513998,0.0
rnaseq-jan-3~+01-09-00,917.0526535484039,0.0
rnaseq-jan-3~+01-10-00,888.2572359900488,0.0
rnaseq-jan-3~+01-11-00,903.2885498294754,0.0
rnaseq-jan-3~+01-12-00,851.2427792442566,0.0
rnaseq-jan-3~+01-13-00,749.8527119298686,0.0
rnaseq-jan-3~+01-14-00,751.1502432216523,0.0
rnaseq-jan-3~+01-15-00,869.2262367984888,0.0
rnaseq-jan-3~+01-16-00,922.7444554867088,0.0
rnaseq-jan-3~+01-17-00,920.5806855002395,0.0
rnaseq-jan-3~+01-18-00,979.0621831431371,0.0
rnaseq-jan-3~+01-19-00,1037.2929875672714,0.0
rnaseq-jan-3~+01-20-00,924.9204827485039,0.0
rnaseq-jan-3~+01-21-00,878.5142066855012,0.0
rnaseq-jan-3~+01-22-00,920.2690276057956,0.0
rnaseq-jan-3~+01-23-00,898.0646529919233,0.0
rnaseq-jan-3~+02-00-00,778.6023069539328,0.0
rnaseq-jan-3~+02-01-00,736.45880113223,0.0
rnaseq-jan-3~+02-02-00,772.3772612805524,0.0
rnaseq-jan-3~+02-03-00,805.888110732613,0.0
rnaseq-jan-3~+02-04-00,932.1656437320521,0.0
rnaseq-jan-3~+02-05-00,1132.6344814172128,0.0
rnaseq-jan-3~+02-06-00,1157.4957930349433,0.0
rnaseq-jan-3~+02-07-00,1015.6548600955023,0.0
rnaseq-jan-3~+02-08-00,978.914482418939,0.0
rnaseq-jan-3~+02-09-00,933.339505506352,0.0
rnaseq-jan-3~+02-10-00,878.237222209337,0.0
rnaseq-jan-3~+02-11-00,833.9461129656827,0.0
rnaseq-jan-3~+02-12-00,864.3882706082533,0.0
rnaseq-jan-3~+02-13-00,755.6041627542392,0.0
