trace,op_ems,emb_ems
rnaseq-jun-1,219.76618168838343,0.0
rnaseq-jun-1~+00-01-00,161.09584931646583,0.0
rnaseq-jun-1~+00-02-00,130.15260946383032,0.0
rnaseq-jun-1~+00-03-00,123.2487249523033,0.0
rnaseq-jun-1~+00-04-00,111.80474001450298,0.0
rnaseq-jun-1~+00-05-00,116.25321663471232,0.0
rnaseq-jun-1~+00-06-00,147.78525353705393,0.0
rnaseq-jun-1~+00-07-00,183.62279811445595,0.0
rnaseq-jun-1~+00-08-00,226.2331920322339,0.0
rnaseq-jun-1~+00-09-00,299.1475256934067,0.0
rnaseq-jun-1~+00-10-00,345.52843333649395,0.0
rnaseq-jun-1~+00-11-00,364.84040200264405,0.0
rnaseq-jun-1~+00-12-00,359.83338998718386,0.0
rnaseq-jun-1~+00-13-00,340.7920091096295,0.0
rnaseq-jun-1~+00-14-00,293.8889067807928,0.0
rnaseq-jun-1~+00-15-00,285.29720610986345,0.0
rnaseq-jun-1~+00-16-00,287.45837179317823,0.0
rnaseq-jun-1~+00-17-00,271.85290904277525,0.0
rnaseq-jun-1~+00-18-00,266.7856362602422,0.0
rnaseq-jun-1~+00-19-00,275.05529067707636,0.0
rnaseq-jun-1~+00-20-00,285.5596307708666,0.0
rnaseq-jun-1~+00-21-00,276.58121648887777,0.0
rnaseq-jun-1~+00-22-00,282.3130884188087,0.0
rnaseq-jun-1~+00-23-00,286.9893836804739,0.0
rnaseq-jun-1~+01-00-00,287.68421957953456,0.0
rnaseq-jun-1~+01-01-00,298.12664540045614,0.0
rnaseq-jun-1~+01-02-00,295.13368781736995,0.0
rnaseq-jun-1~+01-03-00,286.3687117099866,0.0
rnaseq-jun-1~+01-04-00,279.78867471982744,0.0
rnaseq-jun-1~+01-05-00,309.8296484322221,0.0
rnaseq-jun-1~+01-06-00,374.6685619225701,0.0
rnaseq-jun-1~+01-07-00,456.89928529645556,0.0
rnaseq-jun-1~+01-08-00,528.9415264699026,0.0
rnaseq-jun-1~+01-09-00,566.8714405072718,0.0
rnaseq-jun-1~+01-10-00,595.3634981166738,0.0
rnaseq-jun-1~+01-11-00,609.8882758684064,0.0
rnaseq-jun-1~+01-12-00,588.4811123839191,0.0
rnaseq-jun-1~+01-13-00,525.2849634718923,0.0
rnaseq-jun-1~+01-14-00,459.96617802081516,0.0
rnaseq-jun-1~+01-15-00,429.59935652139194,0.0
rnaseq-jun-1~+01-16-00,432.0622648204283,0.0
rnaseq-jun-1~+01-17-00,438.95043857204416,0.0
rnaseq-jun-1~+01-18-00,472.56211367362584,0.0
rnaseq-jun-1~+01-19-00,513.67337950451,0.0
rnaseq-jun-1~+01-20-00,575.7456503121257,0.0
rnaseq-jun-1~+01-21-00,627.0140534153579,0.0
rnaseq-jun-1~+01-22-00,642.9417583666042,0.0
rnaseq-jun-1~+01-23-00,617.7692688094152,0.0
rnaseq-jun-1~+02-00-00,584.0299290521183,0.0
rnaseq-jun-1~+02-01-00,576.7458104112163,0.0
rnaseq-jun-1~+02-02-00,564.5519249699151,0.0
rnaseq-jun-1~+02-03-00,565.2765546489859,0.0
rnaseq-jun-1~+02-04-00,547.5121099672019,0.0
rnaseq-jun-1~+02-05-00,532.954550408635,0.0
rnaseq-jun-1~+02-06-00,557.4990720465444,0.0
rnaseq-jun-1~+02-07-00,596.6868623437375,0.0
rnaseq-jun-1~+02-08-00,643.7935856277182,0.0
rnaseq-jun-1~+02-09-00,689.948724382099,0.0
rnaseq-jun-1~+02-10-00,728.4405940490497,0.0
rnaseq-jun-1~+02-11-00,761.5406088981749,0.0
rnaseq-jun-1~+02-12-00,771.8573407349311,0.0
rnaseq-jun-1~+02-13-00,735.3558190167983,0.0
rnaseq-jun-1~+02-14-00,659.6520429893637,0.0
rnaseq-jun-1~+02-15-00,614.9564594519821,0.0
rnaseq-jun-1~+02-16-00,600.8949295181294,0.0
rnaseq-jun-1~+02-17-00,625.6843072956875,0.0
rnaseq-jun-1~+02-18-00,635.7776615377795,0.0
rnaseq-jun-1~+02-19-00,650.1200117231042,0.0
rnaseq-jun-1~+02-20-00,621.9612905923595,0.0
