trace,op_ems,emb_ems
rnaseq-mar-3,2052.406068018527,0.0
rnaseq-mar-3~+00-01-00,2001.7324254683938,0.0
rnaseq-mar-3~+00-02-00,2035.8052749052013,0.0
rnaseq-mar-3~+00-03-00,2040.3348246573642,0.0
rnaseq-mar-3~+00-04-00,2059.915476181135,0.0
rnaseq-mar-3~+00-05-00,2117.7726124730634,0.0
rnaseq-mar-3~+00-06-00,2108.7929830562434,0.0
rnaseq-mar-3~+00-07-00,2066.289787865586,0.0
rnaseq-mar-3~+00-08-00,2034.7903128881553,0.0
rnaseq-mar-3~+00-09-00,2035.2084753120498,0.0
rnaseq-mar-3~+00-10-00,2013.7072066865228,0.0
rnaseq-mar-3~+00-11-00,1962.0425244311714,0.0
rnaseq-mar-3~+00-12-00,1918.5618917803777,0.0
rnaseq-mar-3~+00-13-00,1767.1328147482927,0.0
rnaseq-mar-3~+00-14-00,1636.0369643942095,0.0
rnaseq-mar-3~+00-15-00,1604.692217701841,0.0
rnaseq-mar-3~+00-16-00,1574.1926621673206,0.0
rnaseq-mar-3~+00-17-00,1558.6435040007982,0.0
rnaseq-mar-3~+00-18-00,1646.9729153435815,0.0
rnaseq-mar-3~+00-19-00,1757.0514606191914,0.0
rnaseq-mar-3~+00-20-00,1782.8869178580499,0.0
rnaseq-mar-3~+00-21-00,1838.981084556481,0.0
rnaseq-mar-3~+00-22-00,1972.8228035940358,0.0
rnaseq-mar-3~+00-23-00,2068.89411266335,0.0
rnaseq-mar-3~+01-00-00,2064.3587111302877,0.0
rnaseq-mar-3~+01-01-00,2017.9733166183787,0.0
rnaseq-mar-3~+01-02-00,1928.1717387930134,0.0
rnaseq-mar-3~+01-03-00,1931.669029624023,0.0
rnaseq-mar-3~+01-04-00,1997.8372778020357,0.0
rnaseq-mar-3~+01-05-00,2097.4727252602006,0.0
rnaseq-mar-3~+01-06-00,2069.337809387538,0.0
rnaseq-mar-3~+01-07-00,2038.2193760619123,0.0
rnaseq-mar-3~+01-08-00,2019.2448028306876,0.0
rnaseq-mar-3~+01-09-00,2019.147630884683,0.0
rnaseq-mar-3~+01-10-00,1978.317396234328,0.0
rnaseq-mar-3~+01-11-00,1945.6453538914307,0.0
rnaseq-mar-3~+01-12-00,1888.7757391913044,0.0
rnaseq-mar-3~+01-13-00,1795.9856159534957,0.0
rnaseq-mar-3~+01-14-00,1692.412778123457,0.0
rnaseq-mar-3~+01-15-00,1632.6420770279058,0.0
rnaseq-mar-3~+01-16-00,1621.102834756291,0.0
rnaseq-mar-3~+01-17-00,1718.1160994690308,0.0
rnaseq-mar-3~+01-18-00,1752.000085054907,0.0
rnaseq-mar-3~+01-19-00,1735.0470188770953,0.0
rnaseq-mar-3~+01-20-00,1730.0267447449785,0.0
rnaseq-mar-3~+01-21-00,1773.6681591028303,0.0
rnaseq-mar-3~+01-22-00,1794.2881571806952,0.0
rnaseq-mar-3~+01-23-00,1812.4269370422203,0.0
rnaseq-mar-3~+02-00-00,1805.8991118124304,0.0
rnaseq-mar-3~+02-01-00,1868.4098918579043,0.0
rnaseq-mar-3~+02-02-00,1871.3055896444002,0.0
rnaseq-mar-3~+02-03-00,1840.6730324628343,0.0
rnaseq-mar-3~+02-04-00,1830.574931578114,0.0
rnaseq-mar-3~+02-05-00,1903.4098835853247,0.0
rnaseq-mar-3~+02-06-00,1995.5005617528464,0.0
rnaseq-mar-3~+02-07-00,2033.31726797778,0.0
rnaseq-mar-3~+02-08-00,2013.3267508725944,0.0
rnaseq-mar-3~+02-09-00,1955.0403527237777,0.0
rnaseq-mar-3~+02-10-00,1906.3156173368166,0.0
rnaseq-mar-3~+02-11-00,1838.4732608223699,0.0
rnaseq-mar-3~+02-12-00,1802.3851552517851,0.0
rnaseq-mar-3~+02-13-00,1781.2617340269162,0.0
rnaseq-mar-3~+02-14-00,1785.2937632301037,0.0
rnaseq-mar-3~+02-15-00,1719.7499348071583,0.0
rnaseq-mar-3~+02-16-00,1567.888208747283,0.0
rnaseq-mar-3~+02-17-00,1518.3711004553727,0.0
rnaseq-mar-3~+02-18-00,1543.7872546899573,0.0
rnaseq-mar-3~+02-19-00,1638.1066019949594,0.0
