trace,op_ems,emb_ems
rnaseq-may-2,426.59144168809087,0.0
rnaseq-may-2~+00-01-00,389.50587842943116,0.0
rnaseq-may-2~+00-02-00,337.36982942865376,0.0
rnaseq-may-2~+00-03-00,290.08082095612144,0.0
rnaseq-may-2~+00-04-00,271.3539563766004,0.0
rnaseq-may-2~+00-05-00,267.57788302589773,0.0
rnaseq-may-2~+00-06-00,290.7102098836288,0.0
rnaseq-may-2~+00-07-00,339.6418615254287,0.0
rnaseq-may-2~+00-08-00,406.0517637420485,0.0
rnaseq-may-2~+00-09-00,449.9397573747327,0.0
rnaseq-may-2~+00-10-00,469.8824297902047,0.0
rnaseq-may-2~+00-11-00,457.28206330104115,0.0
rnaseq-may-2~+00-12-00,434.0642830899493,0.0
rnaseq-may-2~+00-13-00,392.7501127999328,0.0
rnaseq-may-2~+00-14-00,346.8260604694773,0.0
rnaseq-may-2~+00-15-00,300.94112821151344,0.0
rnaseq-may-2~+00-16-00,250.95643347227104,0.0
rnaseq-may-2~+00-17-00,230.0426567389482,0.0
rnaseq-may-2~+00-18-00,220.93911682613884,0.0
rnaseq-may-2~+00-19-00,226.5553163297473,0.0
rnaseq-may-2~+00-20-00,264.3873442016507,0.0
rnaseq-may-2~+00-21-00,348.73190407310847,0.0
rnaseq-may-2~+00-22-00,422.5364202464108,0.0
rnaseq-may-2~+00-23-00,467.8562852312223,0.0
rnaseq-may-2~+01-00-00,447.07092944692,0.0
rnaseq-may-2~+01-01-00,422.871498071456,0.0
rnaseq-may-2~+01-02-00,404.90358797157364,0.0
rnaseq-may-2~+01-03-00,384.0188212703189,0.0
rnaseq-may-2~+01-04-00,364.20914969675994,0.0
rnaseq-may-2~+01-05-00,380.00551628422136,0.0
rnaseq-may-2~+01-06-00,443.425640132704,0.0
rnaseq-may-2~+01-07-00,534.3816385743996,0.0
rnaseq-may-2~+01-08-00,628.6959278082818,0.0
rnaseq-may-2~+01-09-00,696.5606536153589,0.0
rnaseq-may-2~+01-10-00,718.5246832492886,0.0
rnaseq-may-2~+01-11-00,689.2191859361326,0.0
rnaseq-may-2~+01-12-00,630.5336120082511,0.0
rnaseq-may-2~+01-13-00,541.1609816554128,0.0
rnaseq-may-2~+01-14-00,479.5595040732368,0.0
rnaseq-may-2~+01-15-00,454.6395101607834,0.0
rnaseq-may-2~+01-16-00,443.61633314094877,0.0
rnaseq-may-2~+01-17-00,427.43134475180455,0.0
rnaseq-may-2~+01-18-00,441.8086204003864,0.0
rnaseq-may-2~+01-19-00,523.9446994048775,0.0
rnaseq-may-2~+01-20-00,600.4234967330741,0.0
rnaseq-may-2~+01-21-00,656.3772480357105,0.0
rnaseq-may-2~+01-22-00,654.9242843390722,0.0
rnaseq-may-2~+01-23-00,642.8855735011322,0.0
rnaseq-may-2~+02-00-00,600.3522446364369,0.0
rnaseq-may-2~+02-01-00,539.2137993600277,0.0
rnaseq-may-2~+02-02-00,478.4022797200282,0.0
rnaseq-may-2~+02-03-00,453.2762439121575,0.0
rnaseq-may-2~+02-04-00,458.5145925783913,0.0
rnaseq-may-2~+02-05-00,468.8048611616881,0.0
rnaseq-may-2~+02-06-00,493.89023899417884,0.0
rnaseq-may-2~+02-07-00,546.2061331432377,0.0
rnaseq-may-2~+02-08-00,621.9651362988405,0.0
rnaseq-may-2~+02-09-00,678.3284102323973,0.0
rnaseq-may-2~+02-10-00,731.0080687755458,0.0
rnaseq-may-2~+02-11-00,743.6838764409028,0.0
rnaseq-may-2~+02-12-00,739.4728325212124,0.0
rnaseq-may-2~+02-13-00,712.6048326315142,0.0
rnaseq-may-2~+02-14-00,694.6985445316138,0.0
rnaseq-may-2~+02-15-00,680.970560023826,0.0
rnaseq-may-2~+02-16-00,678.0366903230004,0.0
rnaseq-may-2~+02-17-00,665.6783598155664,0.0
rnaseq-may-2~+02-18-00,659.7110988396863,0.0
rnaseq-may-2~+02-19-00,687.9529169579479,0.0
rnaseq-may-2~+02-20-00,734.6436699684305,0.0
rnaseq-may-2~+02-21-00,770.7177998319588,0.0
rnaseq-may-2~+02-22-00,763.0747942509876,0.0
rnaseq-may-2~+02-23-00,738.389776655067,0.0
rnaseq-may-2~+03-00-00,718.3306466417316,0.0
rnaseq-may-2~+03-01-00,669.5837531014572,0.0
rnaseq-may-2~+03-02-00,606.8391569599535,0.0
rnaseq-may-2~+03-03-00,568.448128723599,0.0
rnaseq-may-2~+03-04-00,563.583822980799,0.0
rnaseq-may-2~+03-05-00,540.2657013273679,0.0
rnaseq-may-2~+03-06-00,534.9339483511071,0.0
