trace,op_ems,emb_ems
rnaseq-nov-2,583.6049956562455,0.0
rnaseq-nov-2~+00-01-00,525.6456785975784,0.0
rnaseq-nov-2~+00-02-00,502.2152577232232,0.0
rnaseq-nov-2~+00-03-00,502.96979346039325,0.0
rnaseq-nov-2~+00-04-00,555.091702707749,0.0
rnaseq-nov-2~+00-05-00,644.2240706838802,0.0
rnaseq-nov-2~+00-06-00,733.7029511970868,0.0
rnaseq-nov-2~+00-07-00,798.8469602188329,0.0
rnaseq-nov-2~+00-08-00,751.1750697595211,0.0
rnaseq-nov-2~+00-09-00,688.7652960197611,0.0
rnaseq-nov-2~+00-10-00,648.4659930193029,0.0
rnaseq-nov-2~+00-11-00,579.2018945919115,0.0
rnaseq-nov-2~+00-12-00,456.8258969985794,0.0
rnaseq-nov-2~+00-13-00,357.32665890739077,0.0
rnaseq-nov-2~+00-14-00,305.9128262315295,0.0
rnaseq-nov-2~+00-15-00,312.70721315976823,0.0
rnaseq-nov-2~+00-16-00,303.7511265604952,0.0
rnaseq-nov-2~+00-17-00,338.52974289124023,0.0
rnaseq-nov-2~+00-18-00,329.0205915387239,0.0
rnaseq-nov-2~+00-19-00,368.6335566481618,0.0
rnaseq-nov-2~+00-20-00,482.38742459801006,0.0
rnaseq-nov-2~+00-21-00,612.7364688130882,0.0
rnaseq-nov-2~+00-22-00,738.5174998085238,0.0
rnaseq-nov-2~+00-23-00,780.1961409043829,0.0
rnaseq-nov-2~+01-00-00,760.2006302549028,0.0
rnaseq-nov-2~+01-01-00,637.1839101406902,0.0
rnaseq-nov-2~+01-02-00,653.6453752022237,0.0
rnaseq-nov-2~+01-03-00,690.271292078666,0.0
rnaseq-nov-2~+01-04-00,732.9194022685175,0.0
rnaseq-nov-2~+01-05-00,831.224710854809,0.0
rnaseq-nov-2~+01-06-00,887.2335792923059,0.0
rnaseq-nov-2~+01-07-00,900.8058603703516,0.0
rnaseq-nov-2~+01-08-00,873.7858413370666,0.0
rnaseq-nov-2~+01-09-00,786.6805392104791,0.0
rnaseq-nov-2~+01-10-00,744.0152947608838,0.0
rnaseq-nov-2~+01-11-00,757.4582553078267,0.0
rnaseq-nov-2~+01-12-00,701.3631069749792,0.0
rnaseq-nov-2~+01-13-00,589.9562721128382,0.0
rnaseq-nov-2~+01-14-00,574.3826499826389,0.0
rnaseq-nov-2~+01-15-00,618.3758772488789,0.0
rnaseq-nov-2~+01-16-00,723.1599221424881,0.0
rnaseq-nov-2~+01-17-00,763.26869633609,0.0
rnaseq-nov-2~+01-18-00,814.8352369638155,0.0
rnaseq-nov-2~+01-19-00,834.8068120411222,0.0
rnaseq-nov-2~+01-20-00,937.0797910228712,0.0
rnaseq-nov-2~+01-21-00,905.021666985726,0.0
rnaseq-nov-2~+01-22-00,810.0643377100596,0.0
rnaseq-nov-2~+01-23-00,745.7163401163896,0.0
rnaseq-nov-2~+02-00-00,784.731385648236,0.0
rnaseq-nov-2~+02-01-00,810.5406212088735,0.0
rnaseq-nov-2~+02-02-00,787.7213679629137,0.0
rnaseq-nov-2~+02-03-00,791.634928030158,0.0
rnaseq-nov-2~+02-04-00,785.7790090691044,0.0
