trace,op_ems,emb_ems
rnaseq-oct-1,847.6687532123351,0.0
rnaseq-oct-1~+00-01-00,798.3273579135682,0.0
rnaseq-oct-1~+00-02-00,775.0661940791234,0.0
rnaseq-oct-1~+00-03-00,768.1000524375829,0.0
rnaseq-oct-1~+00-04-00,766.7814225694603,0.0
rnaseq-oct-1~+00-05-00,785.8430402852939,0.0
rnaseq-oct-1~+00-06-00,836.7279226918843,0.0
rnaseq-oct-1~+00-07-00,915.1794787346682,0.0
rnaseq-oct-1~+00-08-00,994.7297295121214,0.0
rnaseq-oct-1~+00-09-00,1027.1909348043657,0.0
rnaseq-oct-1~+00-10-00,998.2185928181093,0.0
rnaseq-oct-1~+00-11-00,911.502712763676,0.0
rnaseq-oct-1~+00-12-00,796.9482232758365,0.0
rnaseq-oct-1~+00-13-00,658.3318138009971,0.0
rnaseq-oct-1~+00-14-00,559.4588593293233,0.0
rnaseq-oct-1~+00-15-00,492.39976772486193,0.0
rnaseq-oct-1~+00-16-00,434.37655300671184,0.0
rnaseq-oct-1~+00-17-00,376.1388526019546,0.0
rnaseq-oct-1~+00-18-00,350.64490827466415,0.0
rnaseq-oct-1~+00-19-00,440.95554155624797,0.0
rnaseq-oct-1~+00-20-00,526.5602461988796,0.0
rnaseq-oct-1~+00-21-00,616.6740995300479,0.0
rnaseq-oct-1~+00-22-00,625.5176362484322,0.0
rnaseq-oct-1~+00-23-00,617.4985405640846,0.0
rnaseq-oct-1~+01-00-00,557.9179116432946,0.0
rnaseq-oct-1~+01-01-00,495.8252635010939,0.0
rnaseq-oct-1~+01-02-00,437.66730162452023,0.0
rnaseq-oct-1~+01-03-00,429.6913680978973,0.0
rnaseq-oct-1~+01-04-00,451.89953306813794,0.0
rnaseq-oct-1~+01-05-00,459.1180497082513,0.0
rnaseq-oct-1~+01-06-00,477.65808777494226,0.0
rnaseq-oct-1~+01-07-00,536.7986059912544,0.0
rnaseq-oct-1~+01-08-00,596.6281977763894,0.0
rnaseq-oct-1~+01-09-00,561.2749268714554,0.0
rnaseq-oct-1~+01-10-00,477.93813308793176,0.0
rnaseq-oct-1~+01-11-00,355.19935824076015,0.0
rnaseq-oct-1~+01-12-00,285.63335948512486,0.0
rnaseq-oct-1~+01-13-00,253.75583004840757,0.0
rnaseq-oct-1~+01-14-00,266.3574819201058,0.0
rnaseq-oct-1~+01-15-00,269.88750555487684,0.0
rnaseq-oct-1~+01-16-00,272.91311664410875,0.0
rnaseq-oct-1~+01-17-00,255.01574094106877,0.0
rnaseq-oct-1~+01-18-00,243.13646377000495,0.0
rnaseq-oct-1~+01-19-00,281.70216440693065,0.0
rnaseq-oct-1~+01-20-00,334.19621312629386,0.0
rnaseq-oct-1~+01-21-00,372.85289939121935,0.0
rnaseq-oct-1~+01-22-00,397.91134147905063,0.0
rnaseq-oct-1~+01-23-00,433.56028259186166,0.0
rnaseq-oct-1~+02-00-00,505.6043703162791,0.0
rnaseq-oct-1~+02-01-00,517.4888325729041,0.0
rnaseq-oct-1~+02-02-00,501.85390464998966,0.0
rnaseq-oct-1~+02-03-00,503.5867848163607,0.0
rnaseq-oct-1~+02-04-00,543.7437797917291,0.0
rnaseq-oct-1~+02-05-00,549.7545278954597,0.0
rnaseq-oct-1~+02-06-00,569.842679601906,0.0
rnaseq-oct-1~+02-07-00,655.0326680064668,0.0
rnaseq-oct-1~+02-08-00,700.6500634749177,0.0
rnaseq-oct-1~+02-09-00,679.9663979929696,0.0
rnaseq-oct-1~+02-10-00,628.1744330242543,0.0
rnaseq-oct-1~+02-11-00,585.3979027982034,0.0
rnaseq-oct-1~+02-12-00,520.5154838743066,0.0
rnaseq-oct-1~+02-13-00,461.3391788587148,0.0
rnaseq-oct-1~+02-14-00,395.41340633263565,0.0
rnaseq-oct-1~+02-15-00,363.50499518684836,0.0
rnaseq-oct-1~+02-16-00,339.1724811049855,0.0
rnaseq-oct-1~+02-17-00,364.40642158612155,0.0
rnaseq-oct-1~+02-18-00,398.40120454398937,0.0
rnaseq-oct-1~+02-19-00,448.5043427074768,0.0
rnaseq-oct-1~+02-20-00,532.3158938497654,0.0
rnaseq-oct-1~+02-21-00,647.0197561982261,0.0
rnaseq-oct-1~+02-22-00,699.1783768264376,0.0
rnaseq-oct-1~+02-23-00,627.2832219847726,0.0
rnaseq-oct-1~+03-00-00,516.8885120346924,0.0
rnaseq-oct-1~+03-01-00,414.321982204582,0.0
rnaseq-oct-1~+03-02-00,358.6242807996656,0.0
rnaseq-oct-1~+03-03-00,357.8493514732149,0.0
rnaseq-oct-1~+03-04-00,390.01107631636387,0.0
rnaseq-oct-1~+03-05-00,430.35022384734907,0.0
rnaseq-oct-1~+03-06-00,518.7698731098211,0.0
rnaseq-oct-1~+03-07-00,644.8023503063989,0.0
rnaseq-oct-1~+03-08-00,745.2934465226965,0.0
rnaseq-oct-1~+03-09-00,839.1811277199447,0.0
rnaseq-oct-1~+03-10-00,842.0730572139088,0.0
rnaseq-oct-1~+03-11-00,800.9450343815151,0.0
rnaseq-oct-1~+03-12-00,734.9332088147318,0.0
rnaseq-oct-1~+03-13-00,701.7581262435141,0.0
rnaseq-oct-1~+03-14-00,637.1292316292368,0.0
rnaseq-oct-1~+03-15-00,589.0041291223787,0.0
rnaseq-oct-1~+03-16-00,544.5611547717654,0.0
rnaseq-oct-1~+03-17-00,516.2364021419762,0.0
rnaseq-oct-1~+03-18-00,523.4076079154449,0.0
rnaseq-oct-1~+03-19-00,572.6152998326224,0.0
rnaseq-oct-1~+03-20-00,635.990221011891,0.0
rnaseq-oct-1~+03-21-00,732.3875851543801,0.0
rnaseq-oct-1~+03-22-00,758.3307461923271,0.0
rnaseq-oct-1~+03-23-00,688.7374400101262,0.0
rnaseq-oct-1~+04-00-00,564.2777901457864,0.0
