trace,op_ems,emb_ems
rnaseq-sep-3,422.73370751964273,0.0
rnaseq-sep-3~+00-01-00,272.2298514658785,0.0
rnaseq-sep-3~+00-02-00,165.77084544891517,0.0
rnaseq-sep-3~+00-03-00,156.18870339618263,0.0
rnaseq-sep-3~+00-04-00,119.7615009174329,0.0
rnaseq-sep-3~+00-05-00,116.14819772198302,0.0
rnaseq-sep-3~+00-06-00,154.75393896179733,0.0
rnaseq-sep-3~+00-07-00,337.244595303202,0.0
rnaseq-sep-3~+00-08-00,404.82877253676054,0.0
rnaseq-sep-3~+00-09-00,432.1620039034231,0.0
rnaseq-sep-3~+00-10-00,362.60243383691807,0.0
rnaseq-sep-3~+00-11-00,297.58418002718867,0.0
rnaseq-sep-3~+00-12-00,258.95074582371257,0.0
rnaseq-sep-3~+00-13-00,230.1676999837739,0.0
rnaseq-sep-3~+00-14-00,215.32967094176553,0.0
rnaseq-sep-3~+00-15-00,205.7421255722865,0.0
rnaseq-sep-3~+00-16-00,237.12336267184236,0.0
rnaseq-sep-3~+00-17-00,258.92115332041874,0.0
rnaseq-sep-3~+00-18-00,245.36326672898366,0.0
rnaseq-sep-3~+00-19-00,283.6253179214925,0.0
rnaseq-sep-3~+00-20-00,318.9865644454534,0.0
rnaseq-sep-3~+00-21-00,291.39430443197705,0.0
rnaseq-sep-3~+00-22-00,269.8046842443033,0.0
rnaseq-sep-3~+00-23-00,262.1467917051453,0.0
rnaseq-sep-3~+01-00-00,195.38742428399115,0.0
rnaseq-sep-3~+01-01-00,111.85340107590324,0.0
rnaseq-sep-3~+01-02-00,122.56931827567766,0.0
rnaseq-sep-3~+01-03-00,146.10117407993425,0.0
rnaseq-sep-3~+01-04-00,167.34575882306922,0.0
rnaseq-sep-3~+01-05-00,212.96959149887886,0.0
rnaseq-sep-3~+01-06-00,281.3440969105628,0.0
rnaseq-sep-3~+01-07-00,300.8224940887343,0.0
rnaseq-sep-3~+01-08-00,266.3381424634424,0.0
rnaseq-sep-3~+01-09-00,250.4500963806421,0.0
rnaseq-sep-3~+01-10-00,214.97523698548648,0.0
rnaseq-sep-3~+01-11-00,173.50296536195225,0.0
rnaseq-sep-3~+01-12-00,142.36591699743576,0.0
rnaseq-sep-3~+01-13-00,121.20433535627684,0.0
rnaseq-sep-3~+01-14-00,36.23754927214375,0.0
rnaseq-sep-3~+01-15-00,78.61241611955165,0.0
rnaseq-sep-3~+01-16-00,168.02483863058558,0.0
rnaseq-sep-3~+01-17-00,200.735780663174,0.0
rnaseq-sep-3~+01-18-00,211.27327860215678,0.0
rnaseq-sep-3~+01-19-00,172.74868115340726,0.0
rnaseq-sep-3~+01-20-00,154.85985758533087,0.0
rnaseq-sep-3~+01-21-00,136.8113985270228,0.0
rnaseq-sep-3~+01-22-00,178.46172592111276,0.0
rnaseq-sep-3~+01-23-00,201.14840502297534,0.0
rnaseq-sep-3~+02-00-00,163.74705845251452,0.0
rnaseq-sep-3~+02-01-00,169.38209516587912,0.0
rnaseq-sep-3~+02-02-00,156.18933005895084,0.0
rnaseq-sep-3~+02-03-00,136.92226399916908,0.0
rnaseq-sep-3~+02-04-00,110.02119988376346,0.0
rnaseq-sep-3~+02-05-00,89.25890138047122,0.0
rnaseq-sep-3~+02-06-00,181.49018815090005,0.0
rnaseq-sep-3~+02-07-00,281.4136959837549,0.0
rnaseq-sep-3~+02-08-00,413.1933027341322,0.0
rnaseq-sep-3~+02-09-00,453.6867086527343,0.0
rnaseq-sep-3~+02-10-00,472.5447947073125,0.0
rnaseq-sep-3~+02-11-00,410.1764774471421,0.0
rnaseq-sep-3~+02-12-00,315.54665317536563,0.0
rnaseq-sep-3~+02-13-00,191.84313302153333,0.0
rnaseq-sep-3~+02-14-00,162.49912205844316,0.0
rnaseq-sep-3~+02-15-00,180.99699042586184,0.0
rnaseq-sep-3~+02-16-00,207.59481539782956,0.0
rnaseq-sep-3~+02-17-00,205.0594440727915,0.0
rnaseq-sep-3~+02-18-00,243.36180061577227,0.0
rnaseq-sep-3~+02-19-00,283.6383918088591,0.0
rnaseq-sep-3~+02-20-00,380.13962451937743,0.0
rnaseq-sep-3~+02-21-00,445.0627716951416,0.0
rnaseq-sep-3~+02-22-00,414.0695032379351,0.0
rnaseq-sep-3~+02-23-00,416.54343406838325,0.0
rnaseq-sep-3~+03-00-00,417.08176439580734,0.0
rnaseq-sep-3~+03-01-00,360.2235091128239,0.0
rnaseq-sep-3~+03-02-00,243.757906751176,0.0
rnaseq-sep-3~+03-03-00,284.4886138760622,0.0
rnaseq-sep-3~+03-04-00,319.7835620102434,0.0
rnaseq-sep-3~+03-05-00,309.2919342056448,0.0
rnaseq-sep-3~+03-06-00,357.4686760933872,0.0
rnaseq-sep-3~+03-07-00,469.67322194545164,0.0
rnaseq-sep-3~+03-08-00,556.1165999982908,0.0
rnaseq-sep-3~+03-09-00,602.1643684936716,0.0
rnaseq-sep-3~+03-10-00,575.910658288307,0.0
rnaseq-sep-3~+03-11-00,559.4103929517106,0.0
rnaseq-sep-3~+03-12-00,509.6691476936261,0.0
rnaseq-sep-3~+03-13-00,403.859720084469,0.0
rnaseq-sep-3~+03-14-00,293.8458433094929,0.0
rnaseq-sep-3~+03-15-00,250.22741695927303,0.0
rnaseq-sep-3~+03-16-00,252.88729572874973,0.0
rnaseq-sep-3~+03-17-00,335.8850363577101,0.0
rnaseq-sep-3~+03-18-00,420.0078473144477,0.0
rnaseq-sep-3~+03-19-00,556.0013852530344,0.0
rnaseq-sep-3~+03-20-00,629.4728806685816,0.0
rnaseq-sep-3~+03-21-00,678.7845796619538,0.0
rnaseq-sep-3~+03-22-00,608.7761554353663,0.0
rnaseq-sep-3~+03-23-00,448.04250102370065,0.0
rnaseq-sep-3~+04-00-00,319.4517967626886,0.0
