trace,op_ems,emb_ems
sarek-apr-1,3505.540446428895,0.0
sarek-apr-1~+00-01-00,3387.19233249801,0.0
sarek-apr-1~+00-02-00,3329.772376431398,0.0
sarek-apr-1~+00-03-00,3333.5516177232353,0.0
sarek-apr-1~+00-04-00,3394.8414523318297,0.0
sarek-apr-1~+00-05-00,3479.5048560006926,0.0
sarek-apr-1~+00-06-00,3617.0471343285826,0.0
sarek-apr-1~+00-07-00,3767.2142158320635,0.0
sarek-apr-1~+00-08-00,3803.5838243804146,0.0
sarek-apr-1~+00-09-00,3785.121427662346,0.0
sarek-apr-1~+00-10-00,3669.606912396458,0.0
sarek-apr-1~+00-11-00,3593.510271666787,0.0
sarek-apr-1~+00-12-00,3458.3799321889605,0.0
sarek-apr-1~+00-13-00,3368.264631496837,0.0
sarek-apr-1~+00-14-00,3287.4733894694564,0.0
sarek-apr-1~+00-15-00,3206.646903773505,0.0
sarek-apr-1~+00-16-00,3202.973125123388,0.0
sarek-apr-1~+00-17-00,3163.926424789757,0.0
sarek-apr-1~+00-18-00,3162.0655411800294,0.0
sarek-apr-1~+00-19-00,3170.4757632111923,0.0
sarek-apr-1~+00-20-00,3161.866891802079,0.0
sarek-apr-1~+00-21-00,3210.7227832577355,0.0
sarek-apr-1~+00-22-00,3223.949891030435,0.0
sarek-apr-1~+00-23-00,3279.2113580943624,0.0
sarek-apr-1~+01-00-00,3265.5599411316853,0.0
sarek-apr-1~+01-01-00,3256.529396737275,0.0
sarek-apr-1~+01-02-00,3200.1928782092864,0.0
sarek-apr-1~+01-03-00,3169.1826160242854,0.0
sarek-apr-1~+01-04-00,3180.598423676317,0.0
sarek-apr-1~+01-05-00,3220.8946827792956,0.0
sarek-apr-1~+01-06-00,3262.5212606225487,0.0
sarek-apr-1~+01-07-00,3342.2525882123346,0.0
sarek-apr-1~+01-08-00,3453.4775681603055,0.0
sarek-apr-1~+01-09-00,3526.0574986101365,0.0
sarek-apr-1~+01-10-00,3520.805238424891,0.0
sarek-apr-1~+01-11-00,3474.2572322409387,0.0
sarek-apr-1~+01-12-00,3386.8012230610448,0.0
sarek-apr-1~+01-13-00,3324.234018050412,0.0
sarek-apr-1~+01-14-00,3261.9522698369346,0.0
sarek-apr-1~+01-15-00,3261.3354635749083,0.0
sarek-apr-1~+01-16-00,3274.0538284989834,0.0
sarek-apr-1~+01-17-00,3348.131723197621,0.0
sarek-apr-1~+01-18-00,3369.3526537937664,0.0
sarek-apr-1~+01-19-00,3364.456449482089,0.0
sarek-apr-1~+01-20-00,3403.3420578583055,0.0
sarek-apr-1~+01-21-00,3427.35352144626,0.0
sarek-apr-1~+01-22-00,3431.775478607562,0.0
sarek-apr-1~+01-23-00,3412.300190983947,0.0
sarek-apr-1~+02-00-00,3368.105106695957,0.0
sarek-apr-1~+02-01-00,3412.768443293989,0.0
sarek-apr-1~+02-02-00,3432.460866990079,0.0
sarek-apr-1~+02-03-00,3510.061612174314,0.0
sarek-apr-1~+02-04-00,3474.536802545291,0.0
sarek-apr-1~+02-05-00,3480.327581089904,0.0
sarek-apr-1~+02-06-00,3467.0913496170265,0.0
sarek-apr-1~+02-07-00,3489.9262184468134,0.0
sarek-apr-1~+02-08-00,3449.3557220819357,0.0
sarek-apr-1~+02-09-00,3454.455256947679,0.0
sarek-apr-1~+02-10-00,3480.66383494263,0.0
sarek-apr-1~+02-11-00,3484.9047220687307,0.0
sarek-apr-1~+02-12-00,3412.6736032991166,0.0
sarek-apr-1~+02-13-00,3340.460194188764,0.0
sarek-apr-1~+02-14-00,3285.481290558014,0.0
sarek-apr-1~+02-15-00,3275.0273537056655,0.0
sarek-apr-1~+02-16-00,3247.793592277366,0.0
sarek-apr-1~+02-17-00,3253.312728503528,0.0
sarek-apr-1~+02-18-00,3278.299369874525,0.0
sarek-apr-1~+02-19-00,3372.5128227829923,0.0
sarek-apr-1~+02-20-00,3503.89091976229,0.0
sarek-apr-1~+02-21-00,3632.701746908058,0.0
sarek-apr-1~+02-22-00,3723.415778499714,0.0
sarek-apr-1~+02-23-00,3733.870003143317,0.0
sarek-apr-1~+03-00-00,3607.9204068297695,0.0
sarek-apr-1~+03-01-00,3428.7558748531537,0.0
sarek-apr-1~+03-02-00,3326.6743103906656,0.0
sarek-apr-1~+03-03-00,3374.8454484108943,0.0
sarek-apr-1~+03-04-00,3358.4329201969604,0.0
sarek-apr-1~+03-05-00,3488.118064367375,0.0
sarek-apr-1~+03-06-00,3608.2749870674734,0.0
sarek-apr-1~+03-07-00,3644.3238860070155,0.0
sarek-apr-1~+03-08-00,3717.0898606075593,0.0
sarek-apr-1~+03-09-00,3742.9465354828053,0.0
sarek-apr-1~+03-10-00,3723.8892639736378,0.0
sarek-apr-1~+03-11-00,3689.277121589059,0.0
sarek-apr-1~+03-12-00,3517.2943655277827,0.0
sarek-apr-1~+03-13-00,3417.552512049706,0.0
sarek-apr-1~+03-14-00,3298.4153533495705,0.0
sarek-apr-1~+03-15-00,3190.985537190035,0.0
sarek-apr-1~+03-16-00,3173.1992810395823,0.0
sarek-apr-1~+03-17-00,3185.516060926847,0.0
sarek-apr-1~+03-18-00,3219.0129748352465,0.0
sarek-apr-1~+03-19-00,3267.201501779119,0.0
sarek-apr-1~+03-20-00,3375.5293022247197,0.0
sarek-apr-1~+03-21-00,3432.146722486415,0.0
sarek-apr-1~+03-22-00,3448.6195358980285,0.0
sarek-apr-1~+03-23-00,3399.5089239288773,0.0
sarek-apr-1~+04-00-00,3325.6840937247916,0.0
