trace,op_ems,emb_ems
sarek-aug-2,3262.522933206762,0.0
sarek-aug-2~+00-01-00,3244.2110734030684,0.0
sarek-aug-2~+00-02-00,3213.9579542501315,0.0
sarek-aug-2~+00-03-00,3233.0881389071897,0.0
sarek-aug-2~+00-04-00,3350.3884846410747,0.0
sarek-aug-2~+00-05-00,3335.760009564789,0.0
sarek-aug-2~+00-06-00,3367.7552501685095,0.0
sarek-aug-2~+00-07-00,3440.6859314085946,0.0
sarek-aug-2~+00-08-00,3373.474128886579,0.0
sarek-aug-2~+00-09-00,3348.7583181891414,0.0
sarek-aug-2~+00-10-00,3514.0746462426932,0.0
sarek-aug-2~+00-11-00,3494.9590881412278,0.0
sarek-aug-2~+00-12-00,3445.3917052322504,0.0
sarek-aug-2~+00-13-00,3326.593497742163,0.0
sarek-aug-2~+00-14-00,3235.2852659630626,0.0
sarek-aug-2~+00-15-00,3189.34753559636,0.0
sarek-aug-2~+00-16-00,3109.433780213102,0.0
sarek-aug-2~+00-17-00,3143.8318362074906,0.0
sarek-aug-2~+00-18-00,3190.440982921824,0.0
sarek-aug-2~+00-19-00,3090.164987289543,0.0
sarek-aug-2~+00-20-00,3047.146368647305,0.0
sarek-aug-2~+00-21-00,3005.500383711809,0.0
sarek-aug-2~+00-22-00,2954.4725150967147,0.0
sarek-aug-2~+00-23-00,2974.7203799007566,0.0
sarek-aug-2~+01-00-00,3049.719101552514,0.0
sarek-aug-2~+01-01-00,3057.597052445194,0.0
sarek-aug-2~+01-02-00,3185.8512590498967,0.0
sarek-aug-2~+01-03-00,3219.364881663936,0.0
sarek-aug-2~+01-04-00,3234.6283897474286,0.0
sarek-aug-2~+01-05-00,3324.595210429178,0.0
sarek-aug-2~+01-06-00,3354.5674419652073,0.0
sarek-aug-2~+01-07-00,3383.939441968501,0.0
sarek-aug-2~+01-08-00,3487.3746859549774,0.0
sarek-aug-2~+01-09-00,3432.1969803153256,0.0
sarek-aug-2~+01-10-00,3359.940664549129,0.0
sarek-aug-2~+01-11-00,3324.5559997631035,0.0
sarek-aug-2~+01-12-00,3252.214321294502,0.0
sarek-aug-2~+01-13-00,3170.3645212066813,0.0
sarek-aug-2~+01-14-00,3140.4633199906043,0.0
sarek-aug-2~+01-15-00,3011.003504819688,0.0
sarek-aug-2~+01-16-00,3031.666859508386,0.0
sarek-aug-2~+01-17-00,2975.822759112896,0.0
sarek-aug-2~+01-18-00,3012.208240386579,0.0
sarek-aug-2~+01-19-00,3125.910342698854,0.0
sarek-aug-2~+01-20-00,3249.651489977974,0.0
sarek-aug-2~+01-21-00,3270.1504090066614,0.0
sarek-aug-2~+01-22-00,3267.201207828837,0.0
sarek-aug-2~+01-23-00,3152.605641506423,0.0
sarek-aug-2~+02-00-00,3011.333105788598,0.0
sarek-aug-2~+02-01-00,2981.269968264268,0.0
sarek-aug-2~+02-02-00,3123.3310849539994,0.0
sarek-aug-2~+02-03-00,3166.073099676386,0.0
sarek-aug-2~+02-04-00,3116.69950179527,0.0
sarek-aug-2~+02-05-00,3173.4740805516612,0.0
sarek-aug-2~+02-06-00,3178.42899397382,0.0
sarek-aug-2~+02-07-00,3137.750025584443,0.0
sarek-aug-2~+02-08-00,3283.051843616372,0.0
sarek-aug-2~+02-09-00,3366.3981303410783,0.0
sarek-aug-2~+02-10-00,3412.4911813770386,0.0
sarek-aug-2~+02-11-00,3457.313049866483,0.0
sarek-aug-2~+02-12-00,3397.115795298505,0.0
sarek-aug-2~+02-13-00,3329.118319522065,0.0
sarek-aug-2~+02-14-00,3273.3159674091185,0.0
sarek-aug-2~+02-15-00,3180.2624656371354,0.0
sarek-aug-2~+02-16-00,3135.517058156921,0.0
sarek-aug-2~+02-17-00,3198.0698003109815,0.0
sarek-aug-2~+02-18-00,3277.638019542642,0.0
sarek-aug-2~+02-19-00,3286.245282624368,0.0
sarek-aug-2~+02-20-00,3230.591670578455,0.0
sarek-aug-2~+02-21-00,3215.010313117375,0.0
sarek-aug-2~+02-22-00,3155.4867142395788,0.0
sarek-aug-2~+02-23-00,3070.909093584686,0.0
sarek-aug-2~+03-00-00,3115.4368647804476,0.0
sarek-aug-2~+03-01-00,3235.0535721926,0.0
sarek-aug-2~+03-02-00,3218.4967956348046,0.0
sarek-aug-2~+03-03-00,3294.933326818896,0.0
sarek-aug-2~+03-04-00,3400.194478453139,0.0
sarek-aug-2~+03-05-00,3422.268541400952,0.0
sarek-aug-2~+03-06-00,3466.1765175556793,0.0
sarek-aug-2~+03-07-00,3491.187451476534,0.0
sarek-aug-2~+03-08-00,3416.1103094560176,0.0
sarek-aug-2~+03-09-00,3358.0801133122786,0.0
sarek-aug-2~+03-10-00,3295.433949425254,0.0
sarek-aug-2~+03-11-00,3199.3692519195624,0.0
sarek-aug-2~+03-12-00,3140.7469183690077,0.0
sarek-aug-2~+03-13-00,3164.4471774323597,0.0
sarek-aug-2~+03-14-00,3144.6008335314077,0.0
sarek-aug-2~+03-15-00,3159.2400228872452,0.0
sarek-aug-2~+03-16-00,3123.1898496775148,0.0
sarek-aug-2~+03-17-00,3137.1606748685763,0.0
sarek-aug-2~+03-18-00,3131.014263221039,0.0
sarek-aug-2~+03-19-00,3096.4888380010234,0.0
sarek-aug-2~+03-20-00,3117.494472920802,0.0
sarek-aug-2~+03-21-00,3063.294098444432,0.0
sarek-aug-2~+03-22-00,3021.6719976636186,0.0
sarek-aug-2~+03-23-00,3044.469952677455,0.0
sarek-aug-2~+04-00-00,3060.457839781211,0.0
