trace,op_ems,emb_ems
sarek-dec-1,3281.4363726489523,0.0
sarek-dec-1~+00-01-00,3428.3320264629083,0.0
sarek-dec-1~+00-02-00,3582.8528775423338,0.0
sarek-dec-1~+00-03-00,3735.7491132727573,0.0
sarek-dec-1~+00-04-00,3852.2124551232682,0.0
sarek-dec-1~+00-05-00,3976.556100828064,0.0
sarek-dec-1~+00-06-00,4102.784914011734,0.0
sarek-dec-1~+00-07-00,4186.789959467503,0.0
sarek-dec-1~+00-08-00,4200.036349094715,0.0
sarek-dec-1~+00-09-00,4171.391216390088,0.0
sarek-dec-1~+00-10-00,4070.8489121895636,0.0
sarek-dec-1~+00-11-00,3927.1536665835656,0.0
sarek-dec-1~+00-12-00,3862.2849259748637,0.0
sarek-dec-1~+00-13-00,3778.4927784189563,0.0
sarek-dec-1~+00-14-00,3704.2031619441377,0.0
sarek-dec-1~+00-15-00,3691.5194103758113,0.0
sarek-dec-1~+00-16-00,3720.141629184652,0.0
sarek-dec-1~+00-17-00,3761.063161273307,0.0
sarek-dec-1~+00-18-00,3693.2767999370444,0.0
sarek-dec-1~+00-19-00,3683.5369259139534,0.0
sarek-dec-1~+00-20-00,3718.0282341082443,0.0
sarek-dec-1~+00-21-00,3652.5973262226216,0.0
sarek-dec-1~+00-22-00,3619.12205151145,0.0
sarek-dec-1~+00-23-00,3608.6650890393294,0.0
sarek-dec-1~+01-00-00,3655.7902378889635,0.0
sarek-dec-1~+01-01-00,3742.5591720236707,0.0
sarek-dec-1~+01-02-00,3775.5042146403457,0.0
sarek-dec-1~+01-03-00,3716.24145014045,0.0
sarek-dec-1~+01-04-00,3703.1414686086737,0.0
sarek-dec-1~+01-05-00,3704.67432669914,0.0
sarek-dec-1~+01-06-00,3698.7243763670276,0.0
sarek-dec-1~+01-07-00,3801.351369633187,0.0
sarek-dec-1~+01-08-00,3895.83258610044,0.0
sarek-dec-1~+01-09-00,3928.880570146074,0.0
sarek-dec-1~+01-10-00,3861.0201404094255,0.0
sarek-dec-1~+01-11-00,3719.1460913843166,0.0
sarek-dec-1~+01-12-00,3681.159607744091,0.0
sarek-dec-1~+01-13-00,3702.4374751613313,0.0
sarek-dec-1~+01-14-00,3700.201733599957,0.0
sarek-dec-1~+01-15-00,3708.0407748329535,0.0
sarek-dec-1~+01-16-00,3743.4914655457733,0.0
sarek-dec-1~+01-17-00,3766.3600374114767,0.0
sarek-dec-1~+01-18-00,3738.7914597916606,0.0
sarek-dec-1~+01-19-00,3794.0851726187116,0.0
sarek-dec-1~+01-20-00,3824.48196066443,0.0
sarek-dec-1~+01-21-00,3850.136787312653,0.0
sarek-dec-1~+01-22-00,3815.8470326916795,0.0
sarek-dec-1~+01-23-00,3759.0886330103167,0.0
sarek-dec-1~+02-00-00,3707.385941369529,0.0
sarek-dec-1~+02-01-00,3637.9494487085303,0.0
sarek-dec-1~+02-02-00,3647.19304135639,0.0
sarek-dec-1~+02-03-00,3724.8886842420843,0.0
sarek-dec-1~+02-04-00,3642.2996741531356,0.0
sarek-dec-1~+02-05-00,3646.8895687056265,0.0
sarek-dec-1~+02-06-00,3739.919786299637,0.0
sarek-dec-1~+02-07-00,3813.074408517641,0.0
sarek-dec-1~+02-08-00,3834.107916328866,0.0
sarek-dec-1~+02-09-00,4015.431301044209,0.0
sarek-dec-1~+02-10-00,4092.822658249786,0.0
sarek-dec-1~+02-11-00,3945.2765888878066,0.0
sarek-dec-1~+02-12-00,3900.300456620252,0.0
sarek-dec-1~+02-13-00,3807.669737473664,0.0
sarek-dec-1~+02-14-00,3677.2209605794537,0.0
sarek-dec-1~+02-15-00,3680.865273926659,0.0
sarek-dec-1~+02-16-00,3709.2367326578756,0.0
sarek-dec-1~+02-17-00,3705.782142746216,0.0
sarek-dec-1~+02-18-00,3687.0735186397624,0.0
sarek-dec-1~+02-19-00,3708.489523224065,0.0
sarek-dec-1~+02-20-00,3752.9413919234194,0.0
sarek-dec-1~+02-21-00,3759.6481892628044,0.0
sarek-dec-1~+02-22-00,3751.7417952303567,0.0
sarek-dec-1~+02-23-00,3790.262879441177,0.0
sarek-dec-1~+03-00-00,3754.158945688543,0.0
sarek-dec-1~+03-01-00,3722.1110451697973,0.0
sarek-dec-1~+03-02-00,3749.4416048244757,0.0
sarek-dec-1~+03-03-00,3784.080552024329,0.0
sarek-dec-1~+03-04-00,3654.6393502514907,0.0
sarek-dec-1~+03-05-00,3631.026780038682,0.0
sarek-dec-1~+03-06-00,3629.126624364058,0.0
sarek-dec-1~+03-07-00,3535.7779530086673,0.0
sarek-dec-1~+03-08-00,3528.5494222949537,0.0
sarek-dec-1~+03-09-00,3735.570206060957,0.0
sarek-dec-1~+03-10-00,3724.0769064264778,0.0
sarek-dec-1~+03-11-00,3753.339231096133,0.0
sarek-dec-1~+03-12-00,3751.4975542624115,0.0
sarek-dec-1~+03-13-00,3729.0699170876946,0.0
sarek-dec-1~+03-14-00,3679.8804322807737,0.0
sarek-dec-1~+03-15-00,3692.070022076412,0.0
sarek-dec-1~+03-16-00,3705.851890133771,0.0
sarek-dec-1~+03-17-00,3763.5946723358484,0.0
sarek-dec-1~+03-18-00,3654.506989807245,0.0
sarek-dec-1~+03-19-00,3639.558429038152,0.0
sarek-dec-1~+03-20-00,3607.239605056134,0.0
sarek-dec-1~+03-21-00,3571.6999756352893,0.0
sarek-dec-1~+03-22-00,3555.3980807036546,0.0
sarek-dec-1~+03-23-00,3644.6828771814767,0.0
sarek-dec-1~+04-00-00,3634.4753725318915,0.0
