trace,op_ems,emb_ems
sarek-jan-1,1866.7462506385577,0.0
sarek-jan-1~+00-01-00,1859.0774730827839,0.0
sarek-jan-1~+00-02-00,1985.6201949560727,0.0
sarek-jan-1~+00-03-00,1794.0864912496254,0.0
sarek-jan-1~+00-04-00,1812.3309053048638,0.0
sarek-jan-1~+00-05-00,1807.2366620460634,0.0
sarek-jan-1~+00-06-00,1827.0930383290997,0.0
sarek-jan-1~+00-07-00,1715.2114884905036,0.0
sarek-jan-1~+00-08-00,1705.3276071900755,0.0
sarek-jan-1~+00-09-00,1501.014357835762,0.0
sarek-jan-1~+00-10-00,1483.7845366248557,0.0
sarek-jan-1~+00-11-00,1389.446806733847,0.0
sarek-jan-1~+00-12-00,1247.1023472838924,0.0
sarek-jan-1~+00-13-00,1195.4876187620225,0.0
sarek-jan-1~+00-14-00,1158.9150984693379,0.0
sarek-jan-1~+00-15-00,1102.8271150163853,0.0
sarek-jan-1~+00-16-00,1160.4046170353056,0.0
sarek-jan-1~+00-17-00,1399.0492700611599,0.0
sarek-jan-1~+00-18-00,1452.3649853605182,0.0
sarek-jan-1~+00-19-00,1635.9256722073396,0.0
sarek-jan-1~+00-20-00,1665.5792337543348,0.0
sarek-jan-1~+00-21-00,1671.178886950372,0.0
sarek-jan-1~+00-22-00,1529.0882963250056,0.0
sarek-jan-1~+00-23-00,1534.2687731704254,0.0
sarek-jan-1~+01-00-00,1351.355286270592,0.0
sarek-jan-1~+01-01-00,1132.8022446540929,0.0
sarek-jan-1~+01-02-00,1153.7704837855974,0.0
sarek-jan-1~+01-03-00,1221.1700300200773,0.0
sarek-jan-1~+01-04-00,1328.9328838429133,0.0
sarek-jan-1~+01-05-00,1499.797983368711,0.0
sarek-jan-1~+01-06-00,1697.3538783677463,0.0
sarek-jan-1~+01-07-00,1708.621129375236,0.0
sarek-jan-1~+01-08-00,1814.873280004404,0.0
sarek-jan-1~+01-09-00,1740.7931521900464,0.0
sarek-jan-1~+01-10-00,1691.423276425076,0.0
sarek-jan-1~+01-11-00,1639.296237874567,0.0
sarek-jan-1~+01-12-00,1638.9354966501278,0.0
sarek-jan-1~+01-13-00,1609.5863792095565,0.0
sarek-jan-1~+01-14-00,1619.8361297811803,0.0
sarek-jan-1~+01-15-00,1687.6326840896008,0.0
sarek-jan-1~+01-16-00,1838.8587190076987,0.0
sarek-jan-1~+01-17-00,1816.5826302361936,0.0
sarek-jan-1~+01-18-00,1843.0873728221409,0.0
sarek-jan-1~+01-19-00,1918.1116975844807,0.0
sarek-jan-1~+01-20-00,1806.135462813401,0.0
sarek-jan-1~+01-21-00,1664.9338846788783,0.0
sarek-jan-1~+01-22-00,1623.7523011194824,0.0
sarek-jan-1~+01-23-00,1537.898972933538,0.0
sarek-jan-1~+02-00-00,1458.4596807454075,0.0
sarek-jan-1~+02-01-00,1512.8721176928802,0.0
sarek-jan-1~+02-02-00,1585.0012077942097,0.0
sarek-jan-1~+02-03-00,1691.043757271193,0.0
sarek-jan-1~+02-04-00,1788.0159428946638,0.0
sarek-jan-1~+02-05-00,1880.7868177135215,0.0
sarek-jan-1~+02-06-00,1906.2483878631176,0.0
sarek-jan-1~+02-07-00,1873.042272950536,0.0
sarek-jan-1~+02-08-00,1870.5039144367356,0.0
sarek-jan-1~+02-09-00,1770.4765601989934,0.0
sarek-jan-1~+02-10-00,1616.0150465469605,0.0
sarek-jan-1~+02-11-00,1602.8431571552233,0.0
sarek-jan-1~+02-12-00,1627.5265723779858,0.0
sarek-jan-1~+02-13-00,1683.9112555228307,0.0
sarek-jan-1~+02-14-00,1798.825025975134,0.0
sarek-jan-1~+02-15-00,2008.0036629341184,0.0
sarek-jan-1~+02-16-00,1995.983096152976,0.0
sarek-jan-1~+02-17-00,1953.2103295361096,0.0
sarek-jan-1~+02-18-00,1909.0107578739626,0.0
sarek-jan-1~+02-19-00,1912.1875164521066,0.0
sarek-jan-1~+02-20-00,1919.610682842941,0.0
sarek-jan-1~+02-21-00,2019.049881968242,0.0
sarek-jan-1~+02-22-00,2087.8213003522737,0.0
sarek-jan-1~+02-23-00,2094.311839203162,0.0
sarek-jan-1~+03-00-00,2029.4037803756594,0.0
sarek-jan-1~+03-01-00,2019.635631142311,0.0
sarek-jan-1~+03-02-00,1932.0876753846987,0.0
sarek-jan-1~+03-03-00,1934.8051350890728,0.0
sarek-jan-1~+03-04-00,1867.9122380915844,0.0
sarek-jan-1~+03-05-00,2020.8141940291293,0.0
sarek-jan-1~+03-06-00,2012.4354969367857,0.0
sarek-jan-1~+03-07-00,2100.4701092854566,0.0
sarek-jan-1~+03-08-00,2060.472913810649,0.0
sarek-jan-1~+03-09-00,2023.955717911616,0.0
sarek-jan-1~+03-10-00,1891.6164288194072,0.0
sarek-jan-1~+03-11-00,1905.1723795532325,0.0
sarek-jan-1~+03-12-00,1852.105168836732,0.0
sarek-jan-1~+03-13-00,1940.8194666053532,0.0
sarek-jan-1~+03-14-00,1987.364258069294,0.0
sarek-jan-1~+03-15-00,2068.4039485630165,0.0
sarek-jan-1~+03-16-00,2042.2196391753168,0.0
sarek-jan-1~+03-17-00,2093.1874412799416,0.0
sarek-jan-1~+03-18-00,2026.7329960157044,0.0
sarek-jan-1~+03-19-00,2014.732037274929,0.0
sarek-jan-1~+03-20-00,2176.9174288958884,0.0
sarek-jan-1~+03-21-00,2231.4792042658764,0.0
sarek-jan-1~+03-22-00,2262.536452287155,0.0
sarek-jan-1~+03-23-00,2350.241917220779,0.0
sarek-jan-1~+04-00-00,2358.7780019321226,0.0
