trace,op_ems,emb_ems
sarek-mar-1,3831.5380424698888,0.0
sarek-mar-1~+00-01-00,3769.0920490724375,0.0
sarek-mar-1~+00-02-00,3848.7616366997454,0.0
sarek-mar-1~+00-03-00,3928.366735602985,0.0
sarek-mar-1~+00-04-00,3965.0894692578468,0.0
sarek-mar-1~+00-05-00,3976.5719342419843,0.0
sarek-mar-1~+00-06-00,3958.8684045440054,0.0
sarek-mar-1~+00-07-00,3897.4635234041325,0.0
sarek-mar-1~+00-08-00,3817.9938187913363,0.0
sarek-mar-1~+00-09-00,3832.1448860137157,0.0
sarek-mar-1~+00-10-00,3795.386461451827,0.0
sarek-mar-1~+00-11-00,3529.778590487471,0.0
sarek-mar-1~+00-12-00,3461.866249119111,0.0
sarek-mar-1~+00-13-00,3296.2297947232573,0.0
sarek-mar-1~+00-14-00,3076.5299364033,0.0
sarek-mar-1~+00-15-00,3067.0576260367307,0.0
sarek-mar-1~+00-16-00,3132.263731143628,0.0
sarek-mar-1~+00-17-00,3201.7990731895497,0.0
sarek-mar-1~+00-18-00,3264.8675655342176,0.0
sarek-mar-1~+00-19-00,3532.307457460978,0.0
sarek-mar-1~+00-20-00,3696.612855411426,0.0
sarek-mar-1~+00-21-00,3832.4091065786797,0.0
sarek-mar-1~+00-22-00,3908.206343110661,0.0
sarek-mar-1~+00-23-00,3952.8536535680432,0.0
sarek-mar-1~+01-00-00,3822.495550274448,0.0
sarek-mar-1~+01-01-00,3762.6512360114484,0.0
sarek-mar-1~+01-02-00,3765.0790319297766,0.0
sarek-mar-1~+01-03-00,3859.2497503231225,0.0
sarek-mar-1~+01-04-00,3881.0508559342197,0.0
sarek-mar-1~+01-05-00,3991.5528300110836,0.0
sarek-mar-1~+01-06-00,3989.9781616454,0.0
sarek-mar-1~+01-07-00,3826.334770455983,0.0
sarek-mar-1~+01-08-00,3751.8226309603324,0.0
sarek-mar-1~+01-09-00,3718.0804101097874,0.0
sarek-mar-1~+01-10-00,3639.6411123887583,0.0
sarek-mar-1~+01-11-00,3532.4391704624304,0.0
sarek-mar-1~+01-12-00,3379.770776890743,0.0
sarek-mar-1~+01-13-00,3307.4067461291825,0.0
sarek-mar-1~+01-14-00,3251.3161333408943,0.0
sarek-mar-1~+01-15-00,3233.9108809465642,0.0
sarek-mar-1~+01-16-00,3149.699947348676,0.0
sarek-mar-1~+01-17-00,3301.2691301456152,0.0
sarek-mar-1~+01-18-00,3277.202821445731,0.0
sarek-mar-1~+01-19-00,3312.6120659486915,0.0
sarek-mar-1~+01-20-00,3289.9845937433893,0.0
sarek-mar-1~+01-21-00,3378.391607234542,0.0
sarek-mar-1~+01-22-00,3370.8617485881014,0.0
sarek-mar-1~+01-23-00,3470.912779967126,0.0
sarek-mar-1~+02-00-00,3444.4141324775987,0.0
sarek-mar-1~+02-01-00,3536.829239940209,0.0
sarek-mar-1~+02-02-00,3521.7456919884107,0.0
sarek-mar-1~+02-03-00,3593.399075041886,0.0
sarek-mar-1~+02-04-00,3622.863715949029,0.0
sarek-mar-1~+02-05-00,3687.6021153552488,0.0
sarek-mar-1~+02-06-00,3718.9995142539265,0.0
sarek-mar-1~+02-07-00,3720.193353526418,0.0
sarek-mar-1~+02-08-00,3633.7042983916326,0.0
sarek-mar-1~+02-09-00,3540.018624112393,0.0
sarek-mar-1~+02-10-00,3494.244761526394,0.0
sarek-mar-1~+02-11-00,3432.344521596443,0.0
sarek-mar-1~+02-12-00,3360.584156902174,0.0
sarek-mar-1~+02-13-00,3276.3205154062703,0.0
sarek-mar-1~+02-14-00,3156.2146109671316,0.0
sarek-mar-1~+02-15-00,3037.300304966411,0.0
sarek-mar-1~+02-16-00,2945.0209833975905,0.0
sarek-mar-1~+02-17-00,2955.892795650763,0.0
sarek-mar-1~+02-18-00,3156.8752338098184,0.0
sarek-mar-1~+02-19-00,3369.4176599010634,0.0
sarek-mar-1~+02-20-00,3464.8043824595834,0.0
sarek-mar-1~+02-21-00,3626.4128945303346,0.0
sarek-mar-1~+02-22-00,3723.985771167423,0.0
sarek-mar-1~+02-23-00,3629.2489556985765,0.0
sarek-mar-1~+03-00-00,3633.2102405751702,0.0
sarek-mar-1~+03-01-00,3813.7496249527258,0.0
sarek-mar-1~+03-02-00,3790.503963221619,0.0
sarek-mar-1~+03-03-00,3820.516130486835,0.0
sarek-mar-1~+03-04-00,3939.8505717702624,0.0
sarek-mar-1~+03-05-00,3963.4095370361692,0.0
sarek-mar-1~+03-06-00,3949.1278652991577,0.0
sarek-mar-1~+03-07-00,3976.664313335682,0.0
sarek-mar-1~+03-08-00,3942.6865737185826,0.0
sarek-mar-1~+03-09-00,3813.0362245152182,0.0
sarek-mar-1~+03-10-00,3614.762367504654,0.0
sarek-mar-1~+03-11-00,3403.4821459770847,0.0
sarek-mar-1~+03-12-00,3313.7323290251006,0.0
sarek-mar-1~+03-13-00,3246.9855311369847,0.0
sarek-mar-1~+03-14-00,3235.647222340155,0.0
sarek-mar-1~+03-15-00,3244.9075636904945,0.0
sarek-mar-1~+03-16-00,3213.454999885048,0.0
sarek-mar-1~+03-17-00,3264.7067160635943,0.0
sarek-mar-1~+03-18-00,3256.215490481956,0.0
sarek-mar-1~+03-19-00,3240.941815054479,0.0
sarek-mar-1~+03-20-00,3280.6340206619866,0.0
sarek-mar-1~+03-21-00,3315.4220676382392,0.0
sarek-mar-1~+03-22-00,3278.1656865940995,0.0
sarek-mar-1~+03-23-00,3325.5913229483504,0.0
sarek-mar-1~+04-00-00,3370.9146254097986,0.0
