trace,op_ems,emb_ems
sarek-may-1,3114.986023541259,0.0
sarek-may-1~+00-01-00,3139.7604162483976,0.0
sarek-may-1~+00-02-00,3284.7399956544364,0.0
sarek-may-1~+00-03-00,3303.309495832228,0.0
sarek-may-1~+00-04-00,3351.6534130748832,0.0
sarek-may-1~+00-05-00,3351.469775715632,0.0
sarek-may-1~+00-06-00,3358.0585217849684,0.0
sarek-may-1~+00-07-00,3459.322282134969,0.0
sarek-may-1~+00-08-00,3564.422574369215,0.0
sarek-may-1~+00-09-00,3516.7349773843957,0.0
sarek-may-1~+00-10-00,3489.794285980923,0.0
sarek-may-1~+00-11-00,3424.6365708478816,0.0
sarek-may-1~+00-12-00,3219.7936351290073,0.0
sarek-may-1~+00-13-00,3140.861467453109,0.0
sarek-may-1~+00-14-00,3129.118473315999,0.0
sarek-may-1~+00-15-00,2995.269662010161,0.0
sarek-may-1~+00-16-00,2964.970829035711,0.0
sarek-may-1~+00-17-00,3063.5676188680304,0.0
sarek-may-1~+00-18-00,3046.105619729085,0.0
sarek-may-1~+00-19-00,3165.6886061579225,0.0
sarek-may-1~+00-20-00,3241.611231211393,0.0
sarek-may-1~+00-21-00,3230.6245644399924,0.0
sarek-may-1~+00-22-00,3258.989398652858,0.0
sarek-may-1~+00-23-00,3270.6519403181273,0.0
sarek-may-1~+01-00-00,3091.4034549456856,0.0
sarek-may-1~+01-01-00,3099.3653503477253,0.0
sarek-may-1~+01-02-00,3244.7438662749946,0.0
sarek-may-1~+01-03-00,3263.634750109303,0.0
sarek-may-1~+01-04-00,3261.686296472109,0.0
sarek-may-1~+01-05-00,3407.7410667475365,0.0
sarek-may-1~+01-06-00,3444.3935375138917,0.0
sarek-may-1~+01-07-00,3437.2362545800524,0.0
sarek-may-1~+01-08-00,3538.838577116551,0.0
sarek-may-1~+01-09-00,3581.036828768346,0.0
sarek-may-1~+01-10-00,3532.396024696575,0.0
sarek-may-1~+01-11-00,3505.1998568515974,0.0
sarek-may-1~+01-12-00,3383.5578385951594,0.0
sarek-may-1~+01-13-00,3334.0717374397755,0.0
sarek-may-1~+01-14-00,3294.102698565697,0.0
sarek-may-1~+01-15-00,3261.849251168645,0.0
sarek-may-1~+01-16-00,3207.2841512615087,0.0
sarek-may-1~+01-17-00,3224.3690318272825,0.0
sarek-may-1~+01-18-00,3373.3837208420355,0.0
sarek-may-1~+01-19-00,3406.863591028864,0.0
sarek-may-1~+01-20-00,3367.9742960963176,0.0
sarek-may-1~+01-21-00,3359.3988886660345,0.0
sarek-may-1~+01-22-00,3332.960068918218,0.0
sarek-may-1~+01-23-00,3137.91221621197,0.0
sarek-may-1~+02-00-00,3211.7800772444407,0.0
sarek-may-1~+02-01-00,3303.3793097279213,0.0
sarek-may-1~+02-02-00,3348.767559407438,0.0
sarek-may-1~+02-03-00,3434.0496998904437,0.0
sarek-may-1~+02-04-00,3511.293140453936,0.0
sarek-may-1~+02-05-00,3512.7480820377696,0.0
sarek-may-1~+02-06-00,3542.9034580144153,0.0
sarek-may-1~+02-07-00,3612.163019750968,0.0
sarek-may-1~+02-08-00,3551.841756277663,0.0
sarek-may-1~+02-09-00,3493.4110366754317,0.0
sarek-may-1~+02-10-00,3476.7827194568636,0.0
sarek-may-1~+02-11-00,3328.509379561439,0.0
sarek-may-1~+02-12-00,3200.92781361181,0.0
sarek-may-1~+02-13-00,3192.531913562983,0.0
sarek-may-1~+02-14-00,3110.0148137588135,0.0
sarek-may-1~+02-15-00,3101.73690593947,0.0
sarek-may-1~+02-16-00,3150.602788730224,0.0
sarek-may-1~+02-17-00,3199.1640209884144,0.0
sarek-may-1~+02-18-00,3180.8385262507445,0.0
sarek-may-1~+02-19-00,3246.122264588083,0.0
sarek-may-1~+02-20-00,3259.630497687416,0.0
sarek-may-1~+02-21-00,3199.189206032588,0.0
sarek-may-1~+02-22-00,3178.279657563286,0.0
sarek-may-1~+02-23-00,3121.059508467777,0.0
sarek-may-1~+03-00-00,3228.7297341796984,0.0
sarek-may-1~+03-01-00,3215.8450696732207,0.0
sarek-may-1~+03-02-00,3240.7178585025285,0.0
sarek-may-1~+03-03-00,3171.3981371110526,0.0
sarek-may-1~+03-04-00,3291.3232636573903,0.0
sarek-may-1~+03-05-00,3174.4201299911656,0.0
sarek-may-1~+03-06-00,3346.6453172348342,0.0
sarek-may-1~+03-07-00,3333.239047680481,0.0
sarek-may-1~+03-08-00,3480.9146692785926,0.0
sarek-may-1~+03-09-00,3464.406446629856,0.0
sarek-may-1~+03-10-00,3528.0704832791857,0.0
sarek-may-1~+03-11-00,3411.6319642059084,0.0
sarek-may-1~+03-12-00,3404.7244009584874,0.0
sarek-may-1~+03-13-00,3311.989827407281,0.0
sarek-may-1~+03-14-00,3238.2485246718725,0.0
sarek-may-1~+03-15-00,3177.2871996582376,0.0
sarek-may-1~+03-16-00,3185.7606902269276,0.0
sarek-may-1~+03-17-00,3215.4389270259717,0.0
sarek-may-1~+03-18-00,3150.5937107121727,0.0
sarek-may-1~+03-19-00,3130.996676877994,0.0
sarek-may-1~+03-20-00,3258.263610924346,0.0
sarek-may-1~+03-21-00,3193.2926726989417,0.0
sarek-may-1~+03-22-00,3159.311482218458,0.0
sarek-may-1~+03-23-00,3254.220408537167,0.0
sarek-may-1~+04-00-00,3291.9916331390323,0.0
