trace,op_ems,emb_ems
sarek-may-3,633.8272925728618,0.0
sarek-may-3~+00-01-00,554.8206723184819,0.0
sarek-may-3~+00-02-00,512.6777322922546,0.0
sarek-may-3~+00-03-00,546.0923333052632,0.0
sarek-may-3~+00-04-00,547.5729799788992,0.0
sarek-may-3~+00-05-00,549.8523375703185,0.0
sarek-may-3~+00-06-00,681.4613806505674,0.0
sarek-may-3~+00-07-00,789.9684588516327,0.0
sarek-may-3~+00-08-00,828.0769558681282,0.0
sarek-may-3~+00-09-00,887.2708454654143,0.0
sarek-may-3~+00-10-00,899.9094185470522,0.0
sarek-may-3~+00-11-00,847.6543907592231,0.0
sarek-may-3~+00-12-00,787.5877547951563,0.0
sarek-may-3~+00-13-00,688.494708748809,0.0
sarek-may-3~+00-14-00,549.1281876966123,0.0
sarek-may-3~+00-15-00,414.71245544175963,0.0
sarek-may-3~+00-16-00,319.0151479176363,0.0
sarek-may-3~+00-17-00,295.8591471854654,0.0
sarek-may-3~+00-18-00,372.770417363413,0.0
sarek-may-3~+00-19-00,482.2708957491657,0.0
sarek-may-3~+00-20-00,553.7381367681827,0.0
sarek-may-3~+00-21-00,741.5445752566666,0.0
sarek-may-3~+00-22-00,786.1616956399173,0.0
sarek-may-3~+00-23-00,786.2308287749215,0.0
sarek-may-3~+01-00-00,715.549333533602,0.0
sarek-may-3~+01-01-00,639.2512292735543,0.0
sarek-may-3~+01-02-00,610.3336953400767,0.0
sarek-may-3~+01-03-00,638.2860843949923,0.0
sarek-may-3~+01-04-00,742.9916455394596,0.0
sarek-may-3~+01-05-00,900.8540050815282,0.0
sarek-may-3~+01-06-00,1091.5770826107334,0.0
sarek-may-3~+01-07-00,1227.775835128032,0.0
sarek-may-3~+01-08-00,1365.4413245229111,0.0
sarek-may-3~+01-09-00,1375.6726335664437,0.0
sarek-may-3~+01-10-00,1243.9626449854406,0.0
sarek-may-3~+01-11-00,1156.1958283187103,0.0
sarek-may-3~+01-12-00,1041.675543575482,0.0
sarek-may-3~+01-13-00,905.439882935442,0.0
sarek-may-3~+01-14-00,832.6367984801968,0.0
sarek-may-3~+01-15-00,792.0200439104997,0.0
sarek-may-3~+01-16-00,849.2980060155419,0.0
sarek-may-3~+01-17-00,940.4075650381606,0.0
sarek-may-3~+01-18-00,999.1111477512018,0.0
sarek-may-3~+01-19-00,1114.0145672935416,0.0
sarek-may-3~+01-20-00,1233.59769307961,0.0
sarek-may-3~+01-21-00,1236.8657205511686,0.0
sarek-may-3~+01-22-00,1237.5197498475404,0.0
sarek-may-3~+01-23-00,1228.0553595633182,0.0
sarek-may-3~+02-00-00,1208.3337885271474,0.0
sarek-may-3~+02-01-00,1142.2382927017084,0.0
sarek-may-3~+02-02-00,1060.9700128923507,0.0
sarek-may-3~+02-03-00,991.5790027630644,0.0
sarek-may-3~+02-04-00,1051.6182307367324,0.0
sarek-may-3~+02-05-00,1054.3777076978638,0.0
sarek-may-3~+02-06-00,1170.3025942659333,0.0
sarek-may-3~+02-07-00,1270.187589156375,0.0
sarek-may-3~+02-08-00,1425.8128525530078,0.0
sarek-may-3~+02-09-00,1447.5830942497048,0.0
sarek-may-3~+02-10-00,1498.464980958332,0.0
sarek-may-3~+02-11-00,1360.3334141640382,0.0
sarek-may-3~+02-12-00,1349.5322776570433,0.0
sarek-may-3~+02-13-00,1337.2548373940986,0.0
sarek-may-3~+02-14-00,1305.354063029905,0.0
sarek-may-3~+02-15-00,1259.0761360220474,0.0
sarek-may-3~+02-16-00,1232.7764846527111,0.0
sarek-may-3~+02-17-00,1247.7355954014638,0.0
sarek-may-3~+02-18-00,1276.5365157785882,0.0
sarek-may-3~+02-19-00,1317.8896083237378,0.0
sarek-may-3~+02-20-00,1352.8248795062323,0.0
sarek-may-3~+02-21-00,1407.5629794592392,0.0
sarek-may-3~+02-22-00,1347.5736369633933,0.0
sarek-may-3~+02-23-00,1180.3962800275262,0.0
sarek-may-3~+03-00-00,1109.6483776534849,0.0
sarek-may-3~+03-01-00,1080.7100851692323,0.0
sarek-may-3~+03-02-00,1030.0886524395332,0.0
sarek-may-3~+03-03-00,970.2791187595622,0.0
sarek-may-3~+03-04-00,1023.9637254522722,0.0
sarek-may-3~+03-05-00,1107.0986426763152,0.0
sarek-may-3~+03-06-00,1128.0743342063995,0.0
sarek-may-3~+03-07-00,1223.7151830909097,0.0
sarek-may-3~+03-08-00,1338.955920560656,0.0
sarek-may-3~+03-09-00,1381.1381980957583,0.0
sarek-may-3~+03-10-00,1322.5683365818186,0.0
sarek-may-3~+03-11-00,1313.780673381007,0.0
sarek-may-3~+03-12-00,1275.6466496400474,0.0
sarek-may-3~+03-13-00,1196.989636229238,0.0
sarek-may-3~+03-14-00,1136.6684387486905,0.0
sarek-may-3~+03-15-00,1087.92769902189,0.0
sarek-may-3~+03-16-00,1079.6964668978821,0.0
sarek-may-3~+03-17-00,1055.5495278210287,0.0
sarek-may-3~+03-18-00,1174.1057350911574,0.0
sarek-may-3~+03-19-00,1156.0995055188018,0.0
sarek-may-3~+03-20-00,1217.4040957237285,0.0
sarek-may-3~+03-21-00,1226.2808989154498,0.0
sarek-may-3~+03-22-00,1253.1730067680087,0.0
sarek-may-3~+03-23-00,1056.6415773231151,0.0
sarek-may-3~+04-00-00,878.0717438910362,0.0
