trace,op_ems,emb_ems
sarek-nov-2,1193.84693482377,0.0
sarek-nov-2~+00-01-00,1180.40295204547,0.0
sarek-nov-2~+00-02-00,1189.5962731900036,0.0
sarek-nov-2~+00-03-00,1222.6455751774793,0.0
sarek-nov-2~+00-04-00,1254.446757833698,0.0
sarek-nov-2~+00-05-00,1426.490790782807,0.0
sarek-nov-2~+00-06-00,1466.1166352995592,0.0
sarek-nov-2~+00-07-00,1503.2948590349147,0.0
sarek-nov-2~+00-08-00,1400.3178773509276,0.0
sarek-nov-2~+00-09-00,1273.4001434112115,0.0
sarek-nov-2~+00-10-00,1016.997907066135,0.0
sarek-nov-2~+00-11-00,886.6194770733018,0.0
sarek-nov-2~+00-12-00,745.942728477638,0.0
sarek-nov-2~+00-13-00,716.2824150613963,0.0
sarek-nov-2~+00-14-00,739.6993636030882,0.0
sarek-nov-2~+00-15-00,771.7824441848616,0.0
sarek-nov-2~+00-16-00,765.7368801068424,0.0
sarek-nov-2~+00-17-00,815.0358948103329,0.0
sarek-nov-2~+00-18-00,808.5514240533714,0.0
sarek-nov-2~+00-19-00,905.3699848224147,0.0
sarek-nov-2~+00-20-00,1130.2582494096205,0.0
sarek-nov-2~+00-21-00,1342.0126318783873,0.0
sarek-nov-2~+00-22-00,1388.5630004837653,0.0
sarek-nov-2~+00-23-00,1461.9458717913126,0.0
sarek-nov-2~+01-00-00,1480.3705509545453,0.0
sarek-nov-2~+01-01-00,1309.4938030299459,0.0
sarek-nov-2~+01-02-00,1416.5375942169776,0.0
sarek-nov-2~+01-03-00,1508.2503158151767,0.0
sarek-nov-2~+01-04-00,1541.6907003266006,0.0
sarek-nov-2~+01-05-00,1648.1205959624158,0.0
sarek-nov-2~+01-06-00,1641.2150826273125,0.0
sarek-nov-2~+01-07-00,1638.523410793619,0.0
sarek-nov-2~+01-08-00,1622.8140402438105,0.0
sarek-nov-2~+01-09-00,1489.0393436467602,0.0
sarek-nov-2~+01-10-00,1388.7903181322126,0.0
sarek-nov-2~+01-11-00,1311.9383267714445,0.0
sarek-nov-2~+01-12-00,1205.8988100615002,0.0
sarek-nov-2~+01-13-00,1102.981670672536,0.0
sarek-nov-2~+01-14-00,1133.6463467761014,0.0
sarek-nov-2~+01-15-00,1290.9954523323092,0.0
sarek-nov-2~+01-16-00,1498.699800848681,0.0
sarek-nov-2~+01-17-00,1689.5650498213931,0.0
sarek-nov-2~+01-18-00,1872.712044707742,0.0
sarek-nov-2~+01-19-00,1833.4806027123723,0.0
sarek-nov-2~+01-20-00,1748.8531091454001,0.0
sarek-nov-2~+01-21-00,1597.6419858692689,0.0
sarek-nov-2~+01-22-00,1426.7102500513083,0.0
sarek-nov-2~+01-23-00,1354.2949139243763,0.0
sarek-nov-2~+02-00-00,1294.1523018562832,0.0
sarek-nov-2~+02-01-00,1295.8872640238146,0.0
sarek-nov-2~+02-02-00,1394.7326216710685,0.0
sarek-nov-2~+02-03-00,1435.4165399402236,0.0
sarek-nov-2~+02-04-00,1514.9283255694713,0.0
sarek-nov-2~+02-05-00,1668.056611575497,0.0
sarek-nov-2~+02-06-00,1814.5845722626943,0.0
sarek-nov-2~+02-07-00,1803.221951082005,0.0
sarek-nov-2~+02-08-00,1782.5310018099772,0.0
sarek-nov-2~+02-09-00,1808.0321619029526,0.0
sarek-nov-2~+02-10-00,1661.4110656702576,0.0
sarek-nov-2~+02-11-00,1501.6922226455997,0.0
sarek-nov-2~+02-12-00,1332.0489661229421,0.0
sarek-nov-2~+02-13-00,1024.7567093188297,0.0
sarek-nov-2~+02-14-00,817.1677865137469,0.0
sarek-nov-2~+02-15-00,679.3743795455703,0.0
sarek-nov-2~+02-16-00,631.7421914124296,0.0
sarek-nov-2~+02-17-00,730.8916027814764,0.0
sarek-nov-2~+02-18-00,887.3173358649942,0.0
sarek-nov-2~+02-19-00,1048.4612121410646,0.0
sarek-nov-2~+02-20-00,1261.2502910371613,0.0
sarek-nov-2~+02-21-00,1374.3536195728068,0.0
sarek-nov-2~+02-22-00,1314.5200934034667,0.0
sarek-nov-2~+02-23-00,1201.7362552609052,0.0
sarek-nov-2~+03-00-00,1157.0404835288882,0.0
sarek-nov-2~+03-01-00,1104.9394717318423,0.0
sarek-nov-2~+03-02-00,1225.0405928918674,0.0
sarek-nov-2~+03-03-00,1356.8404075029362,0.0
sarek-nov-2~+03-04-00,1541.098547540938,0.0
sarek-nov-2~+03-05-00,1786.4192577377835,0.0
sarek-nov-2~+03-06-00,1851.4890026360245,0.0
sarek-nov-2~+03-07-00,1939.1234277693466,0.0
sarek-nov-2~+03-08-00,1918.6280699450726,0.0
sarek-nov-2~+03-09-00,1713.689525404354,0.0
sarek-nov-2~+03-10-00,1630.4097570566048,0.0
sarek-nov-2~+03-11-00,1526.890756409331,0.0
sarek-nov-2~+03-12-00,1359.8998486247465,0.0
sarek-nov-2~+03-13-00,1270.2135223438768,0.0
sarek-nov-2~+03-14-00,1178.8179216230028,0.0
sarek-nov-2~+03-15-00,1136.020907487226,0.0
sarek-nov-2~+03-16-00,1222.8738982125055,0.0
sarek-nov-2~+03-17-00,1232.2023495421922,0.0
sarek-nov-2~+03-18-00,1292.6134972496486,0.0
sarek-nov-2~+03-19-00,1457.5308501746272,0.0
sarek-nov-2~+03-20-00,1476.3738851325543,0.0
sarek-nov-2~+03-21-00,1532.584795733698,0.0
sarek-nov-2~+03-22-00,1608.0696370379237,0.0
sarek-nov-2~+03-23-00,1583.4660826223646,0.0
sarek-nov-2~+04-00-00,1572.2413863819227,0.0
