trace,op_ems,emb_ems
sarek-sep-3,3087.3358257560367,0.0
sarek-sep-3~+00-01-00,3170.9244797844103,0.0
sarek-sep-3~+00-02-00,3256.572770430058,0.0
sarek-sep-3~+00-03-00,3339.4042103577335,0.0
sarek-sep-3~+00-04-00,3362.375977640851,0.0
sarek-sep-3~+00-05-00,3479.3400622827794,0.0
sarek-sep-3~+00-06-00,3525.0206221740727,0.0
sarek-sep-3~+00-07-00,3560.2211373696346,0.0
sarek-sep-3~+00-08-00,3544.780318626612,0.0
sarek-sep-3~+00-09-00,3596.9530177240094,0.0
sarek-sep-3~+00-10-00,3592.3715864334467,0.0
sarek-sep-3~+00-11-00,3520.5531859546827,0.0
sarek-sep-3~+00-12-00,3371.695985247724,0.0
sarek-sep-3~+00-13-00,3364.845888864609,0.0
sarek-sep-3~+00-14-00,3336.9654587597543,0.0
sarek-sep-3~+00-15-00,3340.721481419723,0.0
sarek-sep-3~+00-16-00,3441.0932879770116,0.0
sarek-sep-3~+00-17-00,3518.856037897478,0.0
sarek-sep-3~+00-18-00,3573.77252071794,0.0
sarek-sep-3~+00-19-00,3445.5338078085097,0.0
sarek-sep-3~+00-20-00,3464.7323430384413,0.0
sarek-sep-3~+00-21-00,3402.898567154857,0.0
sarek-sep-3~+00-22-00,3338.0945333571694,0.0
sarek-sep-3~+00-23-00,3210.564634882501,0.0
sarek-sep-3~+01-00-00,3247.5052015898686,0.0
sarek-sep-3~+01-01-00,3492.0291288947237,0.0
sarek-sep-3~+01-02-00,3557.3412892742554,0.0
sarek-sep-3~+01-03-00,3597.3651614422615,0.0
sarek-sep-3~+01-04-00,3471.0007732380354,0.0
sarek-sep-3~+01-05-00,3383.3383641652545,0.0
sarek-sep-3~+01-06-00,3060.1255404766725,0.0
sarek-sep-3~+01-07-00,3108.2432793804373,0.0
sarek-sep-3~+01-08-00,3028.6429288809786,0.0
sarek-sep-3~+01-09-00,3109.9231831320913,0.0
sarek-sep-3~+01-10-00,3104.7467381104448,0.0
sarek-sep-3~+01-11-00,3252.2842050433605,0.0
sarek-sep-3~+01-12-00,3283.569403324645,0.0
sarek-sep-3~+01-13-00,3417.0979229094964,0.0
sarek-sep-3~+01-14-00,3554.908228319452,0.0
sarek-sep-3~+01-15-00,3674.049085123148,0.0
sarek-sep-3~+01-16-00,3671.252410645945,0.0
sarek-sep-3~+01-17-00,3649.932086190501,0.0
sarek-sep-3~+01-18-00,3637.138320869253,0.0
sarek-sep-3~+01-19-00,3595.9554271567113,0.0
sarek-sep-3~+01-20-00,3706.104739892752,0.0
sarek-sep-3~+01-21-00,3714.7407197569,0.0
sarek-sep-3~+01-22-00,3806.5635223853687,0.0
sarek-sep-3~+01-23-00,3745.191067745815,0.0
sarek-sep-3~+02-00-00,3634.68111550521,0.0
sarek-sep-3~+02-01-00,3395.7378570643577,0.0
sarek-sep-3~+02-02-00,3350.3020001970854,0.0
sarek-sep-3~+02-03-00,3386.4806394186235,0.0
sarek-sep-3~+02-04-00,3381.939753301967,0.0
sarek-sep-3~+02-05-00,3326.4278338949052,0.0
sarek-sep-3~+02-06-00,3205.00748117101,0.0
sarek-sep-3~+02-07-00,3218.2563024575384,0.0
sarek-sep-3~+02-08-00,3079.8393209470005,0.0
sarek-sep-3~+02-09-00,3131.1750406608116,0.0
sarek-sep-3~+02-10-00,3248.239092928775,0.0
sarek-sep-3~+02-11-00,3411.398836190174,0.0
sarek-sep-3~+02-12-00,3381.169700540461,0.0
sarek-sep-3~+02-13-00,3508.2729493867027,0.0
sarek-sep-3~+02-14-00,3483.3967617567478,0.0
sarek-sep-3~+02-15-00,3383.422632779887,0.0
sarek-sep-3~+02-16-00,3398.8959207266985,0.0
sarek-sep-3~+02-17-00,3431.2104810486417,0.0
sarek-sep-3~+02-18-00,3345.3441590406537,0.0
sarek-sep-3~+02-19-00,3356.8943831978695,0.0
sarek-sep-3~+02-20-00,3498.599986247759,0.0
sarek-sep-3~+02-21-00,3581.1311170886383,0.0
sarek-sep-3~+02-22-00,3714.7728244537902,0.0
sarek-sep-3~+02-23-00,3728.8954172834556,0.0
sarek-sep-3~+03-00-00,3739.584483398703,0.0
sarek-sep-3~+03-01-00,3606.964318530048,0.0
sarek-sep-3~+03-02-00,3493.6578270306195,0.0
sarek-sep-3~+03-03-00,3484.308019789315,0.0
sarek-sep-3~+03-04-00,3463.4435248743193,0.0
sarek-sep-3~+03-05-00,3335.1409950034263,0.0
sarek-sep-3~+03-06-00,3354.751645173199,0.0
sarek-sep-3~+03-07-00,3310.219837709758,0.0
sarek-sep-3~+03-08-00,3125.6449799358675,0.0
sarek-sep-3~+03-09-00,3081.834657193867,0.0
sarek-sep-3~+03-10-00,3169.248398375273,0.0
sarek-sep-3~+03-11-00,3240.5721355453898,0.0
sarek-sep-3~+03-12-00,3256.3406903591613,0.0
sarek-sep-3~+03-13-00,3350.214311119599,0.0
sarek-sep-3~+03-14-00,3514.672708594079,0.0
sarek-sep-3~+03-15-00,3572.2090906499197,0.0
sarek-sep-3~+03-16-00,3502.0029262181115,0.0
sarek-sep-3~+03-17-00,3425.9549580460935,0.0
sarek-sep-3~+03-18-00,3541.952805337234,0.0
sarek-sep-3~+03-19-00,3258.063325561951,0.0
sarek-sep-3~+03-20-00,3205.0217748352716,0.0
sarek-sep-3~+03-21-00,3155.906831863511,0.0
sarek-sep-3~+03-22-00,3374.876822180139,0.0
sarek-sep-3~+03-23-00,3258.2450040657213,0.0
sarek-sep-3~+04-00-00,3450.746850093816,0.0
