trace,op_ems,emb_ems
chipseq-apr-3-25err,649.56942434556,0.0
chipseq-apr-3-25err~+00-01-00,584.5258603843712,0.0
chipseq-apr-3-25err~+00-02-00,545.4098781705109,0.0
chipseq-apr-3-25err~+00-03-00,525.9533500349108,0.0
chipseq-apr-3-25err~+00-04-00,544.6705495656273,0.0
chipseq-apr-3-25err~+00-05-00,612.5858897500782,0.0
chipseq-apr-3-25err~+00-06-00,712.3494007035714,0.0
chipseq-apr-3-25err~+00-07-00,838.0767885019097,0.0
chipseq-apr-3-25err~+00-08-00,930.6137491980751,0.0
chipseq-apr-3-25err~+00-09-00,972.6572937948516,0.0
chipseq-apr-3-25err~+00-10-00,935.5779099397853,0.0
chipseq-apr-3-25err~+00-11-00,808.376969367973,0.0
chipseq-apr-3-25err~+00-12-00,635.5315191448353,0.0
chipseq-apr-3-25err~+00-13-00,477.7004741779878,0.0
chipseq-apr-3-25err~+00-14-00,350.6940593003545,0.0
chipseq-apr-3-25err~+00-15-00,319.4786456652657,0.0
chipseq-apr-3-25err~+00-16-00,315.52884046925027,0.0
chipseq-apr-3-25err~+00-17-00,315.7287014768491,0.0
chipseq-apr-3-25err~+00-18-00,313.2553525487825,0.0
chipseq-apr-3-25err~+00-19-00,303.01239634691694,0.0
chipseq-apr-3-25err~+00-20-00,287.05954731876716,0.0
chipseq-apr-3-25err~+00-21-00,264.61801962147916,0.0
chipseq-apr-3-25err~+00-22-00,234.95384514728948,0.0
chipseq-apr-3-25err~+00-23-00,212.57731898520322,0.0
chipseq-apr-3-25err~+01-00-00,181.05463830866222,0.0
