trace,op_ems,emb_ems
chipseq-aug-1-15err,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-01-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-02-00,2418.0824795792514,0.0
chipseq-aug-1-15err~+00-03-00,2412.3051941050344,0.0
chipseq-aug-1-15err~+00-04-00,2415.6577110134895,0.0
chipseq-aug-1-15err~+00-05-00,2442.121334359751,0.0
chipseq-aug-1-15err~+00-06-00,2538.9042452928534,0.0
chipseq-aug-1-15err~+00-07-00,2614.6041271330205,0.0
chipseq-aug-1-15err~+00-08-00,2686.942168080498,0.0
chipseq-aug-1-15err~+00-09-00,2716.9255066396004,0.0
chipseq-aug-1-15err~+00-10-00,2692.876316383695,0.0
chipseq-aug-1-15err~+00-11-00,2688.9478387676945,0.0
chipseq-aug-1-15err~+00-12-00,2676.1127630251867,0.0
chipseq-aug-1-15err~+00-13-00,2607.1703194583783,0.0
chipseq-aug-1-15err~+00-14-00,2547.662984730935,0.0
chipseq-aug-1-15err~+00-15-00,2473.4559074617828,0.0
chipseq-aug-1-15err~+00-16-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-17-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-18-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-19-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-20-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-21-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-22-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+00-23-00,2423.9876788191345,0.0
chipseq-aug-1-15err~+01-00-00,2423.9876788191345,0.0
