trace,op_ems,emb_ems
chipseq-aug-1-15err,208.9005208140989,0.0
chipseq-aug-1-15err~+00-01-00,179.97163526162495,0.0
chipseq-aug-1-15err~+00-02-00,176.1719074278811,0.0
chipseq-aug-1-15err~+00-03-00,172.8166114730737,0.0
chipseq-aug-1-15err~+00-04-00,184.50651774422911,0.0
chipseq-aug-1-15err~+00-05-00,236.30886109790023,0.0
chipseq-aug-1-15err~+00-06-00,322.3873389270508,0.0
chipseq-aug-1-15err~+00-07-00,441.74670412587056,0.0
chipseq-aug-1-15err~+00-08-00,577.6066168268832,0.0
chipseq-aug-1-15err~+00-09-00,667.0794904259324,0.0
chipseq-aug-1-15err~+00-10-00,714.583163180889,0.0
chipseq-aug-1-15err~+00-11-00,687.2746191523005,0.0
chipseq-aug-1-15err~+00-12-00,591.1985924436334,0.0
chipseq-aug-1-15err~+00-13-00,495.8154137223934,0.0
chipseq-aug-1-15err~+00-14-00,401.11188347873417,0.0
chipseq-aug-1-15err~+00-15-00,374.5949241474541,0.0
chipseq-aug-1-15err~+00-16-00,370.2183989261082,0.0
chipseq-aug-1-15err~+00-17-00,376.2495793872662,0.0
chipseq-aug-1-15err~+00-18-00,384.3736529397281,0.0
chipseq-aug-1-15err~+00-19-00,392.89534683946044,0.0
chipseq-aug-1-15err~+00-20-00,412.2809841295085,0.0
chipseq-aug-1-15err~+00-21-00,407.4168338465129,0.0
chipseq-aug-1-15err~+00-22-00,373.9451894362177,0.0
chipseq-aug-1-15err~+00-23-00,301.38266691462934,0.0
chipseq-aug-1-15err~+01-00-00,232.8564495412294,0.0
