trace,op_ems,emb_ems
chipseq-dec-4-10err,2455.4922719982765,0.0
chipseq-dec-4-10err~+00-01-00,2566.62541524481,0.0
chipseq-dec-4-10err~+00-02-00,2616.8250664668753,0.0
chipseq-dec-4-10err~+00-03-00,2784.8697089948837,0.0
chipseq-dec-4-10err~+00-04-00,2868.6810050065114,0.0
chipseq-dec-4-10err~+00-05-00,2929.438946517313,0.0
chipseq-dec-4-10err~+00-06-00,3051.7858256159793,0.0
chipseq-dec-4-10err~+00-07-00,3081.3160095550743,0.0
chipseq-dec-4-10err~+00-08-00,3099.971559662289,0.0
chipseq-dec-4-10err~+00-09-00,3112.717368767456,0.0
chipseq-dec-4-10err~+00-10-00,3110.5347855935443,0.0
chipseq-dec-4-10err~+00-11-00,3087.961232521823,0.0
chipseq-dec-4-10err~+00-12-00,3002.2700511078006,0.0
chipseq-dec-4-10err~+00-13-00,2931.9905194078938,0.0
chipseq-dec-4-10err~+00-14-00,2849.5242430191065,0.0
chipseq-dec-4-10err~+00-15-00,2810.1225662905226,0.0
chipseq-dec-4-10err~+00-16-00,2810.42830555792,0.0
chipseq-dec-4-10err~+00-17-00,2814.3034870788797,0.0
chipseq-dec-4-10err~+00-18-00,2821.983454807962,0.0
chipseq-dec-4-10err~+00-19-00,2828.4427843886688,0.0
chipseq-dec-4-10err~+00-20-00,2826.6552444365607,0.0
chipseq-dec-4-10err~+00-21-00,2796.1096665666946,0.0
chipseq-dec-4-10err~+00-22-00,2744.500047301891,0.0
chipseq-dec-4-10err~+00-23-00,2702.4368961867244,0.0
chipseq-dec-4-10err~+01-00-00,2728.9901447234497,0.0
