trace,op_ems,emb_ems
chipseq-jun-3-25err,305.6991961371054,0.0
chipseq-jun-3-25err~+00-01-00,252.08141412127657,0.0
chipseq-jun-3-25err~+00-02-00,209.94785043123218,0.0
chipseq-jun-3-25err~+00-03-00,186.49258606484932,0.0
chipseq-jun-3-25err~+00-04-00,178.57470832335443,0.0
chipseq-jun-3-25err~+00-05-00,176.34187459171915,0.0
chipseq-jun-3-25err~+00-06-00,210.268056483568,0.0
chipseq-jun-3-25err~+00-07-00,287.6849192336922,0.0
chipseq-jun-3-25err~+00-08-00,371.24468811883344,0.0
chipseq-jun-3-25err~+00-09-00,466.29229436355945,0.0
chipseq-jun-3-25err~+00-10-00,530.5710151415893,0.0
chipseq-jun-3-25err~+00-11-00,548.4773298985319,0.0
chipseq-jun-3-25err~+00-12-00,532.0291177292027,0.0
chipseq-jun-3-25err~+00-13-00,508.1202446499983,0.0
chipseq-jun-3-25err~+00-14-00,466.3393129879107,0.0
chipseq-jun-3-25err~+00-15-00,437.8893162088435,0.0
chipseq-jun-3-25err~+00-16-00,417.85405847885033,0.0
chipseq-jun-3-25err~+00-17-00,400.7592319640144,0.0
chipseq-jun-3-25err~+00-18-00,398.5306537590153,0.0
chipseq-jun-3-25err~+00-19-00,412.0610353772725,0.0
chipseq-jun-3-25err~+00-20-00,434.44504771782886,0.0
chipseq-jun-3-25err~+00-21-00,442.3394269731051,0.0
chipseq-jun-3-25err~+00-22-00,441.68013147320573,0.0
chipseq-jun-3-25err~+00-23-00,431.89377587131037,0.0
chipseq-jun-3-25err~+01-00-00,428.6029647604714,0.0
