trace,op_ems,emb_ems
chipseq-jun-5-10err,2438.560031146513,0.0
chipseq-jun-5-10err~+00-01-00,2438.560031146513,0.0
chipseq-jun-5-10err~+00-02-00,2438.560031146513,0.0
chipseq-jun-5-10err~+00-03-00,2438.560031146513,0.0
chipseq-jun-5-10err~+00-04-00,2441.338027868262,0.0
chipseq-jun-5-10err~+00-05-00,2474.4258593876293,0.0
chipseq-jun-5-10err~+00-06-00,2549.1513123279656,0.0
chipseq-jun-5-10err~+00-07-00,2616.5898188771716,0.0
chipseq-jun-5-10err~+00-08-00,2688.1350643938354,0.0
chipseq-jun-5-10err~+00-09-00,2712.7717711196055,0.0
chipseq-jun-5-10err~+00-10-00,2713.780145466404,0.0
chipseq-jun-5-10err~+00-11-00,2702.3156629782316,0.0
chipseq-jun-5-10err~+00-12-00,2702.364875925512,0.0
chipseq-jun-5-10err~+00-13-00,2615.824170461712,0.0
chipseq-jun-5-10err~+00-14-00,2567.262569181965,0.0
chipseq-jun-5-10err~+00-15-00,2490.6396143457837,0.0
chipseq-jun-5-10err~+00-16-00,2438.560031146513,0.0
chipseq-jun-5-10err~+00-17-00,2438.560031146513,0.0
chipseq-jun-5-10err~+00-18-00,2438.560031146513,0.0
chipseq-jun-5-10err~+00-19-00,2448.2274747067527,0.0
chipseq-jun-5-10err~+00-20-00,2462.8347049265367,0.0
chipseq-jun-5-10err~+00-21-00,2459.159892213656,0.0
chipseq-jun-5-10err~+00-22-00,2465.6688077964554,0.0
chipseq-jun-5-10err~+00-23-00,2446.0170031646785,0.0
chipseq-jun-5-10err~+01-00-00,2438.560031146513,0.0
