trace,op_ems,emb_ems
mag-apr-5-15err,1404.5629793758662,0.0
mag-apr-5-15err~+00-01-00,1394.3938731001374,0.0
mag-apr-5-15err~+00-02-00,1348.190113416174,0.0
mag-apr-5-15err~+00-03-00,1287.200751120794,0.0
mag-apr-5-15err~+00-04-00,1233.013781060803,0.0
mag-apr-5-15err~+00-05-00,1195.6352187943853,0.0
mag-apr-5-15err~+00-06-00,1183.2655914312775,0.0
mag-apr-5-15err~+00-07-00,1174.829532153268,0.0
mag-apr-5-15err~+00-08-00,1128.379916953495,0.0
mag-apr-5-15err~+00-09-00,1041.092609029652,0.0
mag-apr-5-15err~+00-10-00,931.021806686449,0.0
mag-apr-5-15err~+00-11-00,817.9401001427888,0.0
mag-apr-5-15err~+00-12-00,702.5997495303619,0.0
mag-apr-5-15err~+00-13-00,597.3060545708463,0.0
mag-apr-5-15err~+00-14-00,528.4369799849004,0.0
mag-apr-5-15err~+00-15-00,491.9812144052406,0.0
mag-apr-5-15err~+00-16-00,463.513009333608,0.0
mag-apr-5-15err~+00-17-00,440.0552734902442,0.0
mag-apr-5-15err~+00-18-00,418.1132668916987,0.0
mag-apr-5-15err~+00-19-00,395.6298940443952,0.0
mag-apr-5-15err~+00-20-00,371.45789188892525,0.0
mag-apr-5-15err~+00-21-00,349.51050083719167,0.0
mag-apr-5-15err~+00-22-00,339.7770013963423,0.0
mag-apr-5-15err~+00-23-00,337.4469078433897,0.0
mag-apr-5-15err~+01-00-00,342.4894854580393,0.0
