trace,op_ems,emb_ems
mag-mar-2-10err,2556.420806057244,0.0
mag-mar-2-10err~+00-01-00,2570.57134609482,0.0
mag-mar-2-10err~+00-02-00,2559.2741985271227,0.0
mag-mar-2-10err~+00-03-00,2533.4456479671894,0.0
mag-mar-2-10err~+00-04-00,2504.968028485519,0.0
mag-mar-2-10err~+00-05-00,2471.508538075438,0.0
mag-mar-2-10err~+00-06-00,2437.143833656435,0.0
mag-mar-2-10err~+00-07-00,2409.2459605114555,0.0
mag-mar-2-10err~+00-08-00,2382.5719943363906,0.0
mag-mar-2-10err~+00-09-00,2355.651839462369,0.0
mag-mar-2-10err~+00-10-00,2329.3619470680505,0.0
mag-mar-2-10err~+00-11-00,2291.295536012218,0.0
mag-mar-2-10err~+00-12-00,2237.663430093213,0.0
mag-mar-2-10err~+00-13-00,2151.3816350262596,0.0
mag-mar-2-10err~+00-14-00,1975.2578826916802,0.0
mag-mar-2-10err~+00-15-00,1885.9123199725104,0.0
mag-mar-2-10err~+00-16-00,1864.876145164549,0.0
mag-mar-2-10err~+00-17-00,1861.3203904522143,0.0
mag-mar-2-10err~+00-18-00,1910.2664827994222,0.0
mag-mar-2-10err~+00-19-00,1966.2731614787122,0.0
mag-mar-2-10err~+00-20-00,1927.0781867616147,0.0
mag-mar-2-10err~+00-21-00,1877.1842098278319,0.0
mag-mar-2-10err~+00-22-00,1842.516439898969,0.0
mag-mar-2-10err~+00-23-00,1805.0404149394544,0.0
mag-mar-2-10err~+01-00-00,1737.5332870318698,0.0
