trace,op_ems,emb_ems
montage-mar-5-10err,166.14471348244922,0.0
montage-mar-5-10err~+00-01-00,167.4433018074705,0.0
montage-mar-5-10err~+00-02-00,163.78294215253354,0.0
montage-mar-5-10err~+00-03-00,163.6448246972142,0.0
montage-mar-5-10err~+00-04-00,147.05920646378163,0.0
montage-mar-5-10err~+00-05-00,165.65458920279121,0.0
montage-mar-5-10err~+00-06-00,165.33389835981566,0.0
montage-mar-5-10err~+00-07-00,164.9346869963345,0.0
montage-mar-5-10err~+00-08-00,169.52276032367323,0.0
montage-mar-5-10err~+00-09-00,170.32955978884434,0.0
montage-mar-5-10err~+00-10-00,167.39835342356764,0.0
montage-mar-5-10err~+00-11-00,161.31773997552546,0.0
montage-mar-5-10err~+00-12-00,161.83128871601596,0.0
montage-mar-5-10err~+00-13-00,150.23220085157578,0.0
montage-mar-5-10err~+00-14-00,149.36988398046674,0.0
montage-mar-5-10err~+00-15-00,133.95605086277362,0.0
montage-mar-5-10err~+00-16-00,130.75937563523917,0.0
montage-mar-5-10err~+00-17-00,127.01712554726174,0.0
montage-mar-5-10err~+00-18-00,126.67467967434962,0.0
montage-mar-5-10err~+00-19-00,142.97024807866805,0.0
montage-mar-5-10err~+00-20-00,143.41647796080724,0.0
montage-mar-5-10err~+00-21-00,143.1843717277688,0.0
montage-mar-5-10err~+00-22-00,141.9021847087324,0.0
montage-mar-5-10err~+00-23-00,154.42254799311624,0.0
montage-mar-5-10err~+01-00-00,153.40021977103996,0.0
