trace,op_ems,emb_ems
nanoseq-may-3-15err,116.44636418080421,0.0
nanoseq-may-3-15err~+00-01-00,117.14255842741753,0.0
nanoseq-may-3-15err~+00-02-00,118.1675278157366,0.0
nanoseq-may-3-15err~+00-03-00,119.4566981845256,0.0
nanoseq-may-3-15err~+00-04-00,121.97617667019252,0.0
nanoseq-may-3-15err~+00-05-00,123.33233182926045,0.0
nanoseq-may-3-15err~+00-06-00,125.16231325369009,0.0
nanoseq-may-3-15err~+00-07-00,127.53090050769976,0.0
nanoseq-may-3-15err~+00-08-00,129.46004554349213,0.0
nanoseq-may-3-15err~+00-09-00,128.9547063213558,0.0
nanoseq-may-3-15err~+00-10-00,128.15108061443567,0.0
nanoseq-may-3-15err~+00-11-00,125.75105445187265,0.0
nanoseq-may-3-15err~+00-12-00,123.35077727011009,0.0
nanoseq-may-3-15err~+00-13-00,120.96568773940888,0.0
nanoseq-may-3-15err~+00-14-00,118.32948598750082,0.0
nanoseq-may-3-15err~+00-15-00,115.87032984740712,0.0
nanoseq-may-3-15err~+00-16-00,115.69753824283336,0.0
nanoseq-may-3-15err~+00-17-00,115.69753824283336,0.0
nanoseq-may-3-15err~+00-18-00,115.69753824283336,0.0
nanoseq-may-3-15err~+00-19-00,115.69753824283336,0.0
nanoseq-may-3-15err~+00-20-00,115.69753824283336,0.0
nanoseq-may-3-15err~+00-21-00,115.69753824283336,0.0
nanoseq-may-3-15err~+00-22-00,115.69753824283336,0.0
nanoseq-may-3-15err~+00-23-00,115.69753824283336,0.0
nanoseq-may-3-15err~+01-00-00,116.42251633131073,0.0
