trace,op_ems,emb_ems
rangeland-feb-2-10err,2593.968905813206,0.0
rangeland-feb-2-10err~+00-01-00,2617.92873565283,0.0
rangeland-feb-2-10err~+00-02-00,2673.933859411639,0.0
rangeland-feb-2-10err~+00-03-00,2735.306228789801,0.0
rangeland-feb-2-10err~+00-04-00,2792.020464026494,0.0
rangeland-feb-2-10err~+00-05-00,2824.7341130363443,0.0
rangeland-feb-2-10err~+00-06-00,2843.524476721236,0.0
rangeland-feb-2-10err~+00-07-00,2832.9709945773634,0.0
rangeland-feb-2-10err~+00-08-00,2792.995365324234,0.0
rangeland-feb-2-10err~+00-09-00,2728.2567797756246,0.0
rangeland-feb-2-10err~+00-10-00,2675.525699114958,0.0
rangeland-feb-2-10err~+00-11-00,2629.9615515220266,0.0
rangeland-feb-2-10err~+00-12-00,2600.741481264341,0.0
rangeland-feb-2-10err~+00-13-00,2577.9452297678145,0.0
rangeland-feb-2-10err~+00-14-00,2574.5165202241033,0.0
rangeland-feb-2-10err~+00-15-00,2573.1794087782823,0.0
rangeland-feb-2-10err~+00-16-00,2601.582859119112,0.0
rangeland-feb-2-10err~+00-17-00,2620.936787442383,0.0
rangeland-feb-2-10err~+00-18-00,2664.2710040005854,0.0
rangeland-feb-2-10err~+00-19-00,2700.2860402618558,0.0
rangeland-feb-2-10err~+00-20-00,2722.3118707000663,0.0
rangeland-feb-2-10err~+00-21-00,2743.3168479963724,0.0
rangeland-feb-2-10err~+00-22-00,2755.681117481793,0.0
rangeland-feb-2-10err~+00-23-00,2771.9476907718968,0.0
rangeland-feb-2-10err~+01-00-00,2773.6431528089365,0.0
