trace,op_ems,emb_ems
rangeland-nov-4-15err,811.5728974773704,0.0
rangeland-nov-4-15err~+00-01-00,838.9790619311211,0.0
rangeland-nov-4-15err~+00-02-00,882.0111016996968,0.0
rangeland-nov-4-15err~+00-03-00,929.1729780264035,0.0
rangeland-nov-4-15err~+00-04-00,973.9121187182841,0.0
rangeland-nov-4-15err~+00-05-00,1009.2544288776671,0.0
rangeland-nov-4-15err~+00-06-00,1018.9842768894398,0.0
rangeland-nov-4-15err~+00-07-00,992.4173398599731,0.0
rangeland-nov-4-15err~+00-08-00,936.3912039318016,0.0
rangeland-nov-4-15err~+00-09-00,863.1860939413359,0.0
rangeland-nov-4-15err~+00-10-00,792.1371968225147,0.0
rangeland-nov-4-15err~+00-11-00,718.948433846828,0.0
rangeland-nov-4-15err~+00-12-00,653.0576049348336,0.0
rangeland-nov-4-15err~+00-13-00,602.9955745378946,0.0
rangeland-nov-4-15err~+00-14-00,581.066863278998,0.0
rangeland-nov-4-15err~+00-15-00,602.4767637898069,0.0
rangeland-nov-4-15err~+00-16-00,664.8072631908005,0.0
rangeland-nov-4-15err~+00-17-00,735.6867266614992,0.0
rangeland-nov-4-15err~+00-18-00,797.288657616058,0.0
rangeland-nov-4-15err~+00-19-00,849.0886527802556,0.0
rangeland-nov-4-15err~+00-20-00,895.6291550437297,0.0
rangeland-nov-4-15err~+00-21-00,932.9024336573484,0.0
rangeland-nov-4-15err~+00-22-00,949.5890460951415,0.0
rangeland-nov-4-15err~+00-23-00,948.5782300822211,0.0
rangeland-nov-4-15err~+01-00-00,960.2073813432112,0.0
