trace,op_ems,emb_ems
rangeland-oct-4-10err,2579.2730782259528,0.0
rangeland-oct-4-10err~+00-01-00,2657.7386705963218,0.0
rangeland-oct-4-10err~+00-02-00,2736.7589497437657,0.0
rangeland-oct-4-10err~+00-03-00,2769.687301351675,0.0
rangeland-oct-4-10err~+00-04-00,2760.6473883429107,0.0
rangeland-oct-4-10err~+00-05-00,2777.568406084119,0.0
rangeland-oct-4-10err~+00-06-00,2805.9305065542053,0.0
rangeland-oct-4-10err~+00-07-00,2809.9843206087594,0.0
rangeland-oct-4-10err~+00-08-00,2764.9712526085036,0.0
rangeland-oct-4-10err~+00-09-00,2702.944779823054,0.0
rangeland-oct-4-10err~+00-10-00,2632.290081284177,0.0
rangeland-oct-4-10err~+00-11-00,2611.9174507144917,0.0
rangeland-oct-4-10err~+00-12-00,2535.546217304699,0.0
rangeland-oct-4-10err~+00-13-00,2459.059812022315,0.0
rangeland-oct-4-10err~+00-14-00,2385.8378017639398,0.0
rangeland-oct-4-10err~+00-15-00,2361.492179973887,0.0
rangeland-oct-4-10err~+00-16-00,2347.170501758635,0.0
rangeland-oct-4-10err~+00-17-00,2347.170501758635,0.0
rangeland-oct-4-10err~+00-18-00,2347.170501758635,0.0
rangeland-oct-4-10err~+00-19-00,2348.736993027621,0.0
rangeland-oct-4-10err~+00-20-00,2378.964644886406,0.0
rangeland-oct-4-10err~+00-21-00,2424.2410593744953,0.0
rangeland-oct-4-10err~+00-22-00,2469.2130730874524,0.0
rangeland-oct-4-10err~+00-23-00,2516.054007918894,0.0
rangeland-oct-4-10err~+01-00-00,2560.0184488123405,0.0
