trace,op_ems,emb_ems
rnaseq-aug-3-25err,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-01-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-02-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-03-00,1649.452223898822,0.0
rnaseq-aug-3-25err~+00-04-00,1643.6357850205068,0.0
rnaseq-aug-3-25err~+00-05-00,1648.0843114583504,0.0
rnaseq-aug-3-25err~+00-06-00,1691.578488138783,0.0
rnaseq-aug-3-25err~+00-07-00,1768.766135890979,0.0
rnaseq-aug-3-25err~+00-08-00,1837.046489576133,0.0
rnaseq-aug-3-25err~+00-09-00,1859.5819124365812,0.0
rnaseq-aug-3-25err~+00-10-00,1851.663563836737,0.0
rnaseq-aug-3-25err~+00-11-00,1831.821974851001,0.0
rnaseq-aug-3-25err~+00-12-00,1826.7956377871133,0.0
rnaseq-aug-3-25err~+00-13-00,1826.5387532884763,0.0
rnaseq-aug-3-25err~+00-14-00,1765.2291544605032,0.0
rnaseq-aug-3-25err~+00-15-00,1688.6832850687904,0.0
rnaseq-aug-3-25err~+00-16-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-17-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-18-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-19-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-20-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-21-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-22-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+00-23-00,1655.8470359301964,0.0
rnaseq-aug-3-25err~+01-00-00,1655.8470359301964,0.0
