trace,op_ems,emb_ems
rnaseq-jun-4-10err,1659.9457501181464,0.0
rnaseq-jun-4-10err~+00-01-00,1659.9457501181464,0.0
rnaseq-jun-4-10err~+00-02-00,1659.9457501181464,0.0
rnaseq-jun-4-10err~+00-03-00,1659.9457501181464,0.0
rnaseq-jun-4-10err~+00-04-00,1659.9457501181464,0.0
rnaseq-jun-4-10err~+00-05-00,1663.8394358025566,0.0
rnaseq-jun-4-10err~+00-06-00,1695.6233522794955,0.0
rnaseq-jun-4-10err~+00-07-00,1765.669214372106,0.0
rnaseq-jun-4-10err~+00-08-00,1825.2451396386261,0.0
rnaseq-jun-4-10err~+00-09-00,1848.0557725288922,0.0
rnaseq-jun-4-10err~+00-10-00,1855.3962156904586,0.0
rnaseq-jun-4-10err~+00-11-00,1841.1591064813913,0.0
rnaseq-jun-4-10err~+00-12-00,1833.1327204010877,0.0
rnaseq-jun-4-10err~+00-13-00,1828.1114451905337,0.0
rnaseq-jun-4-10err~+00-14-00,1776.1641805887657,0.0
rnaseq-jun-4-10err~+00-15-00,1695.4104400815909,0.0
rnaseq-jun-4-10err~+00-16-00,1659.9457501181464,0.0
rnaseq-jun-4-10err~+00-17-00,1659.9457501181464,0.0
rnaseq-jun-4-10err~+00-18-00,1659.9457501181464,0.0
rnaseq-jun-4-10err~+00-19-00,1660.0413683206607,0.0
rnaseq-jun-4-10err~+00-20-00,1668.5543900733378,0.0
rnaseq-jun-4-10err~+00-21-00,1683.4861496756555,0.0
rnaseq-jun-4-10err~+00-22-00,1682.3425896173196,0.0
rnaseq-jun-4-10err~+00-23-00,1666.8703270801975,0.0
rnaseq-jun-4-10err~+01-00-00,1659.9457501181464,0.0
