trace,op_ems,emb_ems
sarek-apr-3-15err,3515.9851780009485,0.0
sarek-apr-3-15err~+00-01-00,3410.6359468647684,0.0
sarek-apr-3-15err~+00-02-00,3313.595585813472,0.0
sarek-apr-3-15err~+00-03-00,3300.537704451328,0.0
sarek-apr-3-15err~+00-04-00,3382.3958225942506,0.0
sarek-apr-3-15err~+00-05-00,3478.0348894244953,0.0
sarek-apr-3-15err~+00-06-00,3615.734634422606,0.0
sarek-apr-3-15err~+00-07-00,3740.729301465079,0.0
sarek-apr-3-15err~+00-08-00,3842.8934421223485,0.0
sarek-apr-3-15err~+00-09-00,3831.845426340312,0.0
sarek-apr-3-15err~+00-10-00,3751.372259021582,0.0
sarek-apr-3-15err~+00-11-00,3646.9131242627695,0.0
sarek-apr-3-15err~+00-12-00,3501.5526186236857,0.0
sarek-apr-3-15err~+00-13-00,3375.4310406895816,0.0
sarek-apr-3-15err~+00-14-00,3284.379198602802,0.0
sarek-apr-3-15err~+00-15-00,3220.4653835418444,0.0
sarek-apr-3-15err~+00-16-00,3193.2914892810977,0.0
sarek-apr-3-15err~+00-17-00,3206.4650794962554,0.0
sarek-apr-3-15err~+00-18-00,3226.8930389348006,0.0
sarek-apr-3-15err~+00-19-00,3222.073623626342,0.0
sarek-apr-3-15err~+00-20-00,3230.8997774767954,0.0
sarek-apr-3-15err~+00-21-00,3265.425583214947,0.0
sarek-apr-3-15err~+00-22-00,3255.8779228168205,0.0
sarek-apr-3-15err~+00-23-00,3236.870157055835,0.0
sarek-apr-3-15err~+01-00-00,3247.077899034541,0.0
