trace,op_ems,emb_ems
sarek-feb-4-25err,3554.2009205888166,0.0
sarek-feb-4-25err~+00-01-00,3537.3719043171313,0.0
sarek-feb-4-25err~+00-02-00,3581.2723808758064,0.0
sarek-feb-4-25err~+00-03-00,3674.4135276693205,0.0
sarek-feb-4-25err~+00-04-00,3780.3147528887894,0.0
sarek-feb-4-25err~+00-05-00,3890.288894117431,0.0
sarek-feb-4-25err~+00-06-00,3975.9914784249277,0.0
sarek-feb-4-25err~+00-07-00,3990.6658885126935,0.0
sarek-feb-4-25err~+00-08-00,3957.5461587819937,0.0
sarek-feb-4-25err~+00-09-00,3871.0950843131154,0.0
sarek-feb-4-25err~+00-10-00,3764.374780630519,0.0
sarek-feb-4-25err~+00-11-00,3664.019002984225,0.0
sarek-feb-4-25err~+00-12-00,3615.94381022748,0.0
sarek-feb-4-25err~+00-13-00,3569.948108099393,0.0
sarek-feb-4-25err~+00-14-00,3545.152491731348,0.0
sarek-feb-4-25err~+00-15-00,3558.4858952480345,0.0
sarek-feb-4-25err~+00-16-00,3572.366895686555,0.0
sarek-feb-4-25err~+00-17-00,3569.1351584059066,0.0
sarek-feb-4-25err~+00-18-00,3602.287159458088,0.0
sarek-feb-4-25err~+00-19-00,3655.974535308871,0.0
sarek-feb-4-25err~+00-20-00,3743.8281297907834,0.0
sarek-feb-4-25err~+00-21-00,3800.6244024566818,0.0
sarek-feb-4-25err~+00-22-00,3836.2463484279215,0.0
sarek-feb-4-25err~+00-23-00,3853.502264285599,0.0
sarek-feb-4-25err~+01-00-00,3819.3814316409416,0.0
