trace,op_ems,emb_ems
sarek-jun-1-25err,365.5372243036668,0.0
sarek-jun-1-25err~+00-01-00,300.9201930120996,0.0
sarek-jun-1-25err~+00-02-00,255.79654676798225,0.0
sarek-jun-1-25err~+00-03-00,240.93114691328026,0.0
sarek-jun-1-25err~+00-04-00,237.99044931083216,0.0
sarek-jun-1-25err~+00-05-00,270.20768289572766,0.0
sarek-jun-1-25err~+00-06-00,343.3157271288401,0.0
sarek-jun-1-25err~+00-07-00,441.58780863150287,0.0
sarek-jun-1-25err~+00-08-00,545.9281983962259,0.0
sarek-jun-1-25err~+00-09-00,647.2703537769814,0.0
sarek-jun-1-25err~+00-10-00,692.0531043083788,0.0
sarek-jun-1-25err~+00-11-00,694.3076863372262,0.0
sarek-jun-1-25err~+00-12-00,674.3549712647313,0.0
sarek-jun-1-25err~+00-13-00,635.0958472098292,0.0
sarek-jun-1-25err~+00-14-00,586.4424008135449,0.0
sarek-jun-1-25err~+00-15-00,554.4126581338796,0.0
sarek-jun-1-25err~+00-16-00,536.6806629118137,0.0
sarek-jun-1-25err~+00-17-00,526.6434659320811,0.0
sarek-jun-1-25err~+00-18-00,534.890877943848,0.0
sarek-jun-1-25err~+00-19-00,551.1502801405156,0.0
sarek-jun-1-25err~+00-20-00,565.8432768632405,0.0
sarek-jun-1-25err~+00-21-00,571.7396308483605,0.0
sarek-jun-1-25err~+00-22-00,571.6851004168763,0.0
sarek-jun-1-25err~+00-23-00,565.6817871617411,0.0
sarek-jun-1-25err~+01-00-00,555.4330078704177,0.0
