trace,op_ems,emb_ems
sarek-nov-3-15err,1057.1404592390743,0.0
sarek-nov-3-15err~+00-01-00,1061.3323558107584,0.0
sarek-nov-3-15err~+00-02-00,1112.9553958017618,0.0
sarek-nov-3-15err~+00-03-00,1192.306415170719,0.0
sarek-nov-3-15err~+00-04-00,1281.8258761834247,0.0
sarek-nov-3-15err~+00-05-00,1359.1474816775544,0.0
sarek-nov-3-15err~+00-06-00,1412.9242297576234,0.0
sarek-nov-3-15err~+00-07-00,1424.0246011217946,0.0
sarek-nov-3-15err~+00-08-00,1395.9492556029031,0.0
sarek-nov-3-15err~+00-09-00,1319.7854640355924,0.0
sarek-nov-3-15err~+00-10-00,1209.444268912145,0.0
sarek-nov-3-15err~+00-11-00,1074.6613616287902,0.0
sarek-nov-3-15err~+00-12-00,946.7908930480693,0.0
sarek-nov-3-15err~+00-13-00,842.8645982731458,0.0
sarek-nov-3-15err~+00-14-00,785.2282042375982,0.0
sarek-nov-3-15err~+00-15-00,773.2814870994654,0.0
sarek-nov-3-15err~+00-16-00,788.2885672060622,0.0
sarek-nov-3-15err~+00-17-00,847.1112178159652,0.0
sarek-nov-3-15err~+00-18-00,965.9761542335067,0.0
sarek-nov-3-15err~+00-19-00,1095.3979194236158,0.0
sarek-nov-3-15err~+00-20-00,1211.6264629186703,0.0
sarek-nov-3-15err~+00-21-00,1300.668611256001,0.0
sarek-nov-3-15err~+00-22-00,1324.7258475085455,0.0
sarek-nov-3-15err~+00-23-00,1278.5246076178282,0.0
sarek-nov-3-15err~+01-00-00,1245.89518969426,0.0
