trace,op_ems,emb_ems
chipseq-feb-5-10err,760.76361474981,0.0
chipseq-feb-5-10err~+00-01-00,682.0203571551131,0.0
chipseq-feb-5-10err~+00-02-00,634.2767248012223,0.0
chipseq-feb-5-10err~+00-03-00,643.689353550521,0.0
chipseq-feb-5-10err~+00-04-00,709.6076122620657,0.0
chipseq-feb-5-10err~+00-05-00,798.4460055860798,0.0
chipseq-feb-5-10err~+00-06-00,894.5774532099438,0.0
chipseq-feb-5-10err~+00-07-00,966.7817326793268,0.0
chipseq-feb-5-10err~+00-08-00,976.980375238513,0.0
chipseq-feb-5-10err~+00-09-00,936.8394443097332,0.0
chipseq-feb-5-10err~+00-10-00,860.838895872873,0.0
chipseq-feb-5-10err~+00-11-00,740.4762211606619,0.0
chipseq-feb-5-10err~+00-12-00,619.1364104355653,0.0
chipseq-feb-5-10err~+00-13-00,535.0864779149617,0.0
chipseq-feb-5-10err~+00-14-00,457.0392026441493,0.0
chipseq-feb-5-10err~+00-15-00,440.2234134447666,0.0
chipseq-feb-5-10err~+00-16-00,445.81626278034037,0.0
chipseq-feb-5-10err~+00-17-00,458.27465981335,0.0
chipseq-feb-5-10err~+00-18-00,550.6847285944714,0.0
chipseq-feb-5-10err~+00-19-00,695.3465051846367,0.0
chipseq-feb-5-10err~+00-20-00,822.7992123487493,0.0
chipseq-feb-5-10err~+00-21-00,926.9988387086132,0.0
chipseq-feb-5-10err~+00-22-00,938.7305207437012,0.0
chipseq-feb-5-10err~+00-23-00,885.2961999845814,0.0
chipseq-feb-5-10err~+01-00-00,856.9910582035127,0.0
chipseq-feb-5-10err~+01-01-00,840.7613127614782,0.0
chipseq-feb-5-10err~+01-02-00,846.654584056676,0.0
chipseq-feb-5-10err~+01-03-00,889.1713410971554,0.0
chipseq-feb-5-10err~+01-04-00,954.1455532233846,0.0
chipseq-feb-5-10err~+01-05-00,1040.3991722289852,0.0
chipseq-feb-5-10err~+01-06-00,1112.6944928950206,0.0
chipseq-feb-5-10err~+01-07-00,1146.6059299706026,0.0
chipseq-feb-5-10err~+01-08-00,1161.182120059008,0.0
chipseq-feb-5-10err~+01-09-00,1117.922442004549,0.0
chipseq-feb-5-10err~+01-10-00,1056.643995874067,0.0
chipseq-feb-5-10err~+01-11-00,977.1630538557511,0.0
chipseq-feb-5-10err~+01-12-00,889.1238157560208,0.0
chipseq-feb-5-10err~+01-13-00,815.4052599889551,0.0
chipseq-feb-5-10err~+01-14-00,781.4426411157167,0.0
chipseq-feb-5-10err~+01-15-00,753.6919666919656,0.0
chipseq-feb-5-10err~+01-16-00,740.3608386581177,0.0
chipseq-feb-5-10err~+01-17-00,725.8861152073201,0.0
chipseq-feb-5-10err~+01-18-00,751.854999529332,0.0
chipseq-feb-5-10err~+01-19-00,836.4418829084559,0.0
chipseq-feb-5-10err~+01-20-00,920.2925193128208,0.0
chipseq-feb-5-10err~+01-21-00,1011.5250583512395,0.0
chipseq-feb-5-10err~+01-22-00,1019.0898626970018,0.0
chipseq-feb-5-10err~+01-23-00,973.2780928264186,0.0
chipseq-feb-5-10err~+02-00-00,931.8161272250484,0.0
chipseq-feb-5-10err~+02-01-00,905.9191668281189,0.0
chipseq-feb-5-10err~+02-02-00,897.8004370384456,0.0
chipseq-feb-5-10err~+02-03-00,914.3010728619919,0.0
chipseq-feb-5-10err~+02-04-00,954.6535156528181,0.0
chipseq-feb-5-10err~+02-05-00,1007.2433950669315,0.0
chipseq-feb-5-10err~+02-06-00,1053.920860600514,0.0
chipseq-feb-5-10err~+02-07-00,1075.051603856543,0.0
chipseq-feb-5-10err~+02-08-00,1063.8175518770167,0.0
chipseq-feb-5-10err~+02-09-00,985.1972406325626,0.0
chipseq-feb-5-10err~+02-10-00,867.9587984901701,0.0
chipseq-feb-5-10err~+02-11-00,727.9712881800885,0.0
chipseq-feb-5-10err~+02-12-00,603.4197876437404,0.0
chipseq-feb-5-10err~+02-13-00,522.6023037981822,0.0
chipseq-feb-5-10err~+02-14-00,482.51985201787704,0.0
