trace,op_ems,emb_ems
mag-dec-5-10err,1749.3071258312048,0.0
mag-dec-5-10err~+00-01-00,1728.4371888371825,0.0
mag-dec-5-10err~+00-02-00,1688.8774513787234,0.0
mag-dec-5-10err~+00-03-00,1642.1331737511575,0.0
mag-dec-5-10err~+00-04-00,1598.6255100679566,0.0
mag-dec-5-10err~+00-05-00,1554.1222666274593,0.0
mag-dec-5-10err~+00-06-00,1511.7334661534867,0.0
mag-dec-5-10err~+00-07-00,1466.242028778139,0.0
mag-dec-5-10err~+00-08-00,1421.7505314706425,0.0
mag-dec-5-10err~+00-09-00,1424.0383268850621,0.0
mag-dec-5-10err~+00-10-00,1477.1906219672119,0.0
mag-dec-5-10err~+00-11-00,1547.6315604554168,0.0
mag-dec-5-10err~+00-12-00,1603.9171994557828,0.0
mag-dec-5-10err~+00-13-00,1633.9886224891789,0.0
mag-dec-5-10err~+00-14-00,1656.3385876514085,0.0
mag-dec-5-10err~+00-15-00,1709.4671230000208,0.0
mag-dec-5-10err~+00-16-00,1797.884802429975,0.0
mag-dec-5-10err~+00-17-00,1912.5474793128974,0.0
mag-dec-5-10err~+00-18-00,2030.301736405074,0.0
mag-dec-5-10err~+00-19-00,2141.033110059983,0.0
mag-dec-5-10err~+00-20-00,2251.153763679329,0.0
mag-dec-5-10err~+00-21-00,2328.3854330857466,0.0
mag-dec-5-10err~+00-22-00,2351.843946664588,0.0
mag-dec-5-10err~+00-23-00,2354.760580819994,0.0
mag-dec-5-10err~+01-00-00,2373.3916671334127,0.0
mag-dec-5-10err~+01-01-00,2408.940825683201,0.0
mag-dec-5-10err~+01-02-00,2450.945509874499,0.0
mag-dec-5-10err~+01-03-00,2495.3840093793274,0.0
mag-dec-5-10err~+01-04-00,2538.171034666784,0.0
mag-dec-5-10err~+01-05-00,2570.8866058670023,0.0
mag-dec-5-10err~+01-06-00,2596.2242634018803,0.0
mag-dec-5-10err~+01-07-00,2622.389114701237,0.0
mag-dec-5-10err~+01-08-00,2649.8223228447923,0.0
mag-dec-5-10err~+01-09-00,2679.1721368075673,0.0
mag-dec-5-10err~+01-10-00,2710.2809790347387,0.0
mag-dec-5-10err~+01-11-00,2741.273314723179,0.0
mag-dec-5-10err~+01-12-00,2765.2482501119607,0.0
mag-dec-5-10err~+01-13-00,2775.678229871718,0.0
mag-dec-5-10err~+01-14-00,2782.7302394445665,0.0
mag-dec-5-10err~+01-15-00,2793.88956107807,0.0
mag-dec-5-10err~+01-16-00,2806.3144201645673,0.0
mag-dec-5-10err~+01-17-00,2822.623909122869,0.0
mag-dec-5-10err~+01-18-00,2842.0937460735595,0.0
mag-dec-5-10err~+01-19-00,2864.984272768519,0.0
mag-dec-5-10err~+01-20-00,2889.2839441363594,0.0
mag-dec-5-10err~+01-21-00,2902.4085979910396,0.0
mag-dec-5-10err~+01-22-00,2908.907395268985,0.0
mag-dec-5-10err~+01-23-00,2920.3373337807107,0.0
mag-dec-5-10err~+02-00-00,2932.2030979366673,0.0
mag-dec-5-10err~+02-01-00,2949.0578649032323,0.0
mag-dec-5-10err~+02-02-00,2973.0435256588457,0.0
mag-dec-5-10err~+02-03-00,2998.072481124859,0.0
mag-dec-5-10err~+02-04-00,3021.9734075594743,0.0
mag-dec-5-10err~+02-05-00,3038.0372995118996,0.0
mag-dec-5-10err~+02-06-00,3048.100634497076,0.0
mag-dec-5-10err~+02-07-00,3062.933486084597,0.0
mag-dec-5-10err~+02-08-00,3084.5918318260515,0.0
mag-dec-5-10err~+02-09-00,3111.44342319208,0.0
mag-dec-5-10err~+02-10-00,3132.1900135744363,0.0
mag-dec-5-10err~+02-11-00,3143.365817918869,0.0
mag-dec-5-10err~+02-12-00,3144.537313816403,0.0
mag-dec-5-10err~+02-13-00,3131.936737510211,0.0
mag-dec-5-10err~+02-14-00,3112.980587120048,0.0
mag-dec-5-10err~+02-15-00,3099.410422343466,0.0
mag-dec-5-10err~+02-16-00,3091.794284039818,0.0
mag-dec-5-10err~+02-17-00,3094.538341184804,0.0
mag-dec-5-10err~+02-18-00,3096.497716187435,0.0
mag-dec-5-10err~+02-19-00,3093.465269059127,0.0
mag-dec-5-10err~+02-20-00,3083.8344808816273,0.0
mag-dec-5-10err~+02-21-00,3058.412369767711,0.0
mag-dec-5-10err~+02-22-00,3034.0659481033745,0.0
mag-dec-5-10err~+02-23-00,3017.166798378925,0.0
mag-dec-5-10err~+03-00-00,3004.913559916863,0.0
mag-dec-5-10err~+03-01-00,3005.9743451688355,0.0
mag-dec-5-10err~+03-02-00,3016.8925709938417,0.0
mag-dec-5-10err~+03-03-00,3028.429522605133,0.0
mag-dec-5-10err~+03-04-00,3037.8705723824996,0.0
mag-dec-5-10err~+03-05-00,3034.9820103016414,0.0
mag-dec-5-10err~+03-06-00,3025.8558771715548,0.0
