trace,op_ems,emb_ems
mag-sep-3-10err,4770.291977904646,0.0
mag-sep-3-10err~+00-01-00,4816.3409428665145,0.0
mag-sep-3-10err~+00-02-00,4859.487713203524,0.0
mag-sep-3-10err~+00-03-00,4899.083393155472,0.0
mag-sep-3-10err~+00-04-00,4927.836602509307,0.0
mag-sep-3-10err~+00-05-00,4920.677931471933,0.0
mag-sep-3-10err~+00-06-00,4880.064549398569,0.0
mag-sep-3-10err~+00-07-00,4832.385849256098,0.0
mag-sep-3-10err~+00-08-00,4843.825456984826,0.0
mag-sep-3-10err~+00-09-00,4869.466130072024,0.0
mag-sep-3-10err~+00-10-00,4911.048864237062,0.0
mag-sep-3-10err~+00-11-00,4957.891689460661,0.0
mag-sep-3-10err~+00-12-00,4932.449143441138,0.0
mag-sep-3-10err~+00-13-00,4858.198666659046,0.0
mag-sep-3-10err~+00-14-00,4792.883482652883,0.0
mag-sep-3-10err~+00-15-00,4765.680029341232,0.0
mag-sep-3-10err~+00-16-00,4806.311685109878,0.0
mag-sep-3-10err~+00-17-00,4860.19580924515,0.0
mag-sep-3-10err~+00-18-00,4891.423577979886,0.0
mag-sep-3-10err~+00-19-00,4882.900641313257,0.0
mag-sep-3-10err~+00-20-00,4837.091825144248,0.0
mag-sep-3-10err~+00-21-00,4760.84624465882,0.0
mag-sep-3-10err~+00-22-00,4720.05043946275,0.0
mag-sep-3-10err~+00-23-00,4698.0024757497695,0.0
mag-sep-3-10err~+01-00-00,4683.4576286968895,0.0
mag-sep-3-10err~+01-01-00,4680.648876353218,0.0
mag-sep-3-10err~+01-02-00,4683.462065956028,0.0
mag-sep-3-10err~+01-03-00,4702.797181137952,0.0
mag-sep-3-10err~+01-04-00,4691.743081297112,0.0
mag-sep-3-10err~+01-05-00,4686.8751878104895,0.0
mag-sep-3-10err~+01-06-00,4700.196889981688,0.0
mag-sep-3-10err~+01-07-00,4733.875167424003,0.0
mag-sep-3-10err~+01-08-00,4765.666831010725,0.0
mag-sep-3-10err~+01-09-00,4786.236775126104,0.0
mag-sep-3-10err~+01-10-00,4821.835498516253,0.0
mag-sep-3-10err~+01-11-00,4861.803567963628,0.0
mag-sep-3-10err~+01-12-00,4902.24017061365,0.0
mag-sep-3-10err~+01-13-00,4941.05071171224,0.0
mag-sep-3-10err~+01-14-00,4987.226096407765,0.0
mag-sep-3-10err~+01-15-00,5017.913604887097,0.0
mag-sep-3-10err~+01-16-00,5046.920975720158,0.0
mag-sep-3-10err~+01-17-00,5059.957854535876,0.0
mag-sep-3-10err~+01-18-00,5041.402500641151,0.0
mag-sep-3-10err~+01-19-00,4988.259028647906,0.0
mag-sep-3-10err~+01-20-00,4938.31623481995,0.0
mag-sep-3-10err~+01-21-00,4891.146829058765,0.0
mag-sep-3-10err~+01-22-00,4854.717233451018,0.0
mag-sep-3-10err~+01-23-00,4834.402691515534,0.0
mag-sep-3-10err~+02-00-00,4815.834395537613,0.0
mag-sep-3-10err~+02-01-00,4777.390414911036,0.0
mag-sep-3-10err~+02-02-00,4737.814330562037,0.0
mag-sep-3-10err~+02-03-00,4695.9083465610765,0.0
mag-sep-3-10err~+02-04-00,4679.497539236533,0.0
mag-sep-3-10err~+02-05-00,4672.0568506535565,0.0
mag-sep-3-10err~+02-06-00,4647.169195434916,0.0
mag-sep-3-10err~+02-07-00,4665.541109650279,0.0
mag-sep-3-10err~+02-08-00,4670.399436965034,0.0
mag-sep-3-10err~+02-09-00,4675.3517991261915,0.0
mag-sep-3-10err~+02-10-00,4683.646178195659,0.0
mag-sep-3-10err~+02-11-00,4720.665082217296,0.0
mag-sep-3-10err~+02-12-00,4762.745527465089,0.0
mag-sep-3-10err~+02-13-00,4813.808732774737,0.0
mag-sep-3-10err~+02-14-00,4861.496879501274,0.0
mag-sep-3-10err~+02-15-00,4910.23934156163,0.0
mag-sep-3-10err~+02-16-00,4933.679549000972,0.0
mag-sep-3-10err~+02-17-00,4931.2654066588975,0.0
mag-sep-3-10err~+02-18-00,4912.293603788918,0.0
mag-sep-3-10err~+02-19-00,4886.026852822899,0.0
mag-sep-3-10err~+02-20-00,4861.100650167817,0.0
mag-sep-3-10err~+02-21-00,4836.188625913197,0.0
mag-sep-3-10err~+02-22-00,4818.3344335087,0.0
mag-sep-3-10err~+02-23-00,4828.589620730678,0.0
mag-sep-3-10err~+03-00-00,4807.201457926302,0.0
mag-sep-3-10err~+03-01-00,4767.498380280192,0.0
mag-sep-3-10err~+03-02-00,4721.890046810693,0.0
mag-sep-3-10err~+03-03-00,4687.2741694390925,0.0
mag-sep-3-10err~+03-04-00,4646.2231663282,0.0
mag-sep-3-10err~+03-05-00,4626.949657752745,0.0
mag-sep-3-10err~+03-06-00,4635.323630056689,0.0
mag-sep-3-10err~+03-07-00,4677.442778278196,0.0
mag-sep-3-10err~+03-08-00,4698.873386355694,0.0
mag-sep-3-10err~+03-09-00,4691.487562282828,0.0
mag-sep-3-10err~+03-10-00,4694.367627022211,0.0
mag-sep-3-10err~+03-11-00,4688.099859630695,0.0
mag-sep-3-10err~+03-12-00,4684.722832777157,0.0
mag-sep-3-10err~+03-13-00,4747.6857365454525,0.0
mag-sep-3-10err~+03-14-00,4809.800311994189,0.0
mag-sep-3-10err~+03-15-00,4833.980210032143,0.0
mag-sep-3-10err~+03-16-00,4893.840081751684,0.0
mag-sep-3-10err~+03-17-00,4931.306649025561,0.0
mag-sep-3-10err~+03-18-00,4886.204860423355,0.0
mag-sep-3-10err~+03-19-00,4818.455326646461,0.0
mag-sep-3-10err~+03-20-00,4779.63005604382,0.0
mag-sep-3-10err~+03-21-00,4779.89080697255,0.0
mag-sep-3-10err~+03-22-00,4767.862256621348,0.0
mag-sep-3-10err~+03-23-00,4766.206576452138,0.0
mag-sep-3-10err~+04-00-00,4783.3193222343,0.0
