trace,op_ems,emb_ems
nanoseq-dec-3-25err,36.65690765475038,0.0
nanoseq-dec-3-25err~+00-01-00,37.282196499369945,0.0
nanoseq-dec-3-25err~+00-02-00,38.34322034616472,0.0
nanoseq-dec-3-25err~+00-03-00,40.191051042382135,0.0
nanoseq-dec-3-25err~+00-04-00,41.82732551850488,0.0
nanoseq-dec-3-25err~+00-05-00,43.064802179373125,0.0
nanoseq-dec-3-25err~+00-06-00,44.20122400017058,0.0
nanoseq-dec-3-25err~+00-07-00,44.18275489558925,0.0
nanoseq-dec-3-25err~+00-08-00,42.51958549301718,0.0
nanoseq-dec-3-25err~+00-09-00,39.67920741002585,0.0
nanoseq-dec-3-25err~+00-10-00,36.10604949729478,0.0
nanoseq-dec-3-25err~+00-11-00,32.52304045748176,0.0
nanoseq-dec-3-25err~+00-12-00,29.04077415213957,0.0
nanoseq-dec-3-25err~+00-13-00,26.041618225806108,0.0
nanoseq-dec-3-25err~+00-14-00,24.78805373593926,0.0
nanoseq-dec-3-25err~+00-15-00,25.243573034637027,0.0
nanoseq-dec-3-25err~+00-16-00,27.613480662110852,0.0
nanoseq-dec-3-25err~+00-17-00,32.042429481935685,0.0
nanoseq-dec-3-25err~+00-18-00,37.041814326436665,0.0
nanoseq-dec-3-25err~+00-19-00,43.126437284141545,0.0
nanoseq-dec-3-25err~+00-20-00,49.45845025635236,0.0
nanoseq-dec-3-25err~+00-21-00,52.83950616322798,0.0
nanoseq-dec-3-25err~+00-22-00,52.61270655547354,0.0
nanoseq-dec-3-25err~+00-23-00,51.05445479566258,0.0
nanoseq-dec-3-25err~+01-00-00,50.501791860529394,0.0
nanoseq-dec-3-25err~+01-01-00,51.22948424412294,0.0
nanoseq-dec-3-25err~+01-02-00,52.15911618162866,0.0
nanoseq-dec-3-25err~+01-03-00,53.25798750050298,0.0
nanoseq-dec-3-25err~+01-04-00,54.96368252424199,0.0
nanoseq-dec-3-25err~+01-05-00,56.19783468946722,0.0
nanoseq-dec-3-25err~+01-06-00,57.06249683468635,0.0
nanoseq-dec-3-25err~+01-07-00,58.19503917394272,0.0
nanoseq-dec-3-25err~+01-08-00,59.04454459581085,0.0
nanoseq-dec-3-25err~+01-09-00,59.361269867835134,0.0
nanoseq-dec-3-25err~+01-10-00,60.031033911267684,0.0
nanoseq-dec-3-25err~+01-11-00,61.16556241170814,0.0
nanoseq-dec-3-25err~+01-12-00,61.7798406116661,0.0
nanoseq-dec-3-25err~+01-13-00,61.97546222091725,0.0
nanoseq-dec-3-25err~+01-14-00,62.24592450823833,0.0
nanoseq-dec-3-25err~+01-15-00,62.59640363517806,0.0
nanoseq-dec-3-25err~+01-16-00,63.17140570921248,0.0
nanoseq-dec-3-25err~+01-17-00,63.83616232841277,0.0
nanoseq-dec-3-25err~+01-18-00,64.43522980454343,0.0
nanoseq-dec-3-25err~+01-19-00,65.4096707424487,0.0
nanoseq-dec-3-25err~+01-20-00,66.1458979128234,0.0
nanoseq-dec-3-25err~+01-21-00,65.99360273491875,0.0
nanoseq-dec-3-25err~+01-22-00,65.7045861652199,0.0
nanoseq-dec-3-25err~+01-23-00,65.64490973939542,0.0
nanoseq-dec-3-25err~+02-00-00,65.67284945548138,0.0
nanoseq-dec-3-25err~+02-01-00,65.84917019644777,0.0
nanoseq-dec-3-25err~+02-02-00,66.14178942243382,0.0
nanoseq-dec-3-25err~+02-03-00,66.86824003120975,0.0
