trace,op_ems,emb_ems
nanoseq-nov-1-25err,121.2070318967593,0.0
nanoseq-nov-1-25err~+00-01-00,123.26036115846438,0.0
nanoseq-nov-1-25err~+00-02-00,126.21364121710334,0.0
nanoseq-nov-1-25err~+00-03-00,127.77761729596182,0.0
nanoseq-nov-1-25err~+00-04-00,130.28798374575933,0.0
nanoseq-nov-1-25err~+00-05-00,134.38314971528783,0.0
nanoseq-nov-1-25err~+00-06-00,135.37657817839911,0.0
nanoseq-nov-1-25err~+00-07-00,135.96989549103472,0.0
nanoseq-nov-1-25err~+00-08-00,135.91270042832787,0.0
nanoseq-nov-1-25err~+00-09-00,135.87619581184606,0.0
nanoseq-nov-1-25err~+00-10-00,132.30620470649336,0.0
nanoseq-nov-1-25err~+00-11-00,131.84945903991925,0.0
nanoseq-nov-1-25err~+00-12-00,129.07510858404476,0.0
nanoseq-nov-1-25err~+00-13-00,127.12658168307334,0.0
nanoseq-nov-1-25err~+00-14-00,124.06156800970167,0.0
nanoseq-nov-1-25err~+00-15-00,124.68588662542089,0.0
nanoseq-nov-1-25err~+00-16-00,122.72684126725298,0.0
nanoseq-nov-1-25err~+00-17-00,120.28199189155202,0.0
nanoseq-nov-1-25err~+00-18-00,119.85407919844612,0.0
nanoseq-nov-1-25err~+00-19-00,120.13693352627115,0.0
nanoseq-nov-1-25err~+00-20-00,120.11268624033681,0.0
nanoseq-nov-1-25err~+00-21-00,119.77255430663402,0.0
nanoseq-nov-1-25err~+00-22-00,121.17522238583341,0.0
nanoseq-nov-1-25err~+00-23-00,121.57584435046299,0.0
nanoseq-nov-1-25err~+01-00-00,122.73348802297363,0.0
nanoseq-nov-1-25err~+01-01-00,125.34145675078807,0.0
nanoseq-nov-1-25err~+01-02-00,129.65426635030255,0.0
nanoseq-nov-1-25err~+01-03-00,129.67963422182757,0.0
nanoseq-nov-1-25err~+01-04-00,132.34600286311255,0.0
nanoseq-nov-1-25err~+01-05-00,136.44404444110938,0.0
nanoseq-nov-1-25err~+01-06-00,138.13950428794644,0.0
nanoseq-nov-1-25err~+01-07-00,137.91654721886852,0.0
