trace,op_ems,emb_ems
rangeland-aug-4-15err,182.9533932417811,0.0
rangeland-aug-4-15err~+00-01-00,177.88363785829785,0.0
rangeland-aug-4-15err~+00-02-00,204.88064814718305,0.0
rangeland-aug-4-15err~+00-03-00,252.41103472673763,0.0
rangeland-aug-4-15err~+00-04-00,319.71106540330646,0.0
rangeland-aug-4-15err~+00-05-00,401.4555266144302,0.0
rangeland-aug-4-15err~+00-06-00,483.07004641441375,0.0
rangeland-aug-4-15err~+00-07-00,559.5407349014531,0.0
rangeland-aug-4-15err~+00-08-00,600.1412897782284,0.0
rangeland-aug-4-15err~+00-09-00,596.513376646098,0.0
rangeland-aug-4-15err~+00-10-00,567.7355142249869,0.0
rangeland-aug-4-15err~+00-11-00,524.4390008981209,0.0
rangeland-aug-4-15err~+00-12-00,473.0323115640246,0.0
rangeland-aug-4-15err~+00-13-00,419.43950282450015,0.0
rangeland-aug-4-15err~+00-14-00,372.3491210930921,0.0
rangeland-aug-4-15err~+00-15-00,361.90403150348845,0.0
rangeland-aug-4-15err~+00-16-00,374.3726917423099,0.0
rangeland-aug-4-15err~+00-17-00,385.5374496103835,0.0
rangeland-aug-4-15err~+00-18-00,379.2359309320709,0.0
rangeland-aug-4-15err~+00-19-00,359.0843290015131,0.0
rangeland-aug-4-15err~+00-20-00,335.96837563160574,0.0
rangeland-aug-4-15err~+00-21-00,305.49396731924446,0.0
rangeland-aug-4-15err~+00-22-00,266.95238771630704,0.0
rangeland-aug-4-15err~+00-23-00,223.91267923495866,0.0
rangeland-aug-4-15err~+01-00-00,196.3603631684286,0.0
rangeland-aug-4-15err~+01-01-00,190.97996205176923,0.0
rangeland-aug-4-15err~+01-02-00,222.58771311539113,0.0
rangeland-aug-4-15err~+01-03-00,290.7599867735415,0.0
rangeland-aug-4-15err~+01-04-00,381.7852111992949,0.0
rangeland-aug-4-15err~+01-05-00,483.1438660818134,0.0
rangeland-aug-4-15err~+01-06-00,584.5276469370898,0.0
rangeland-aug-4-15err~+01-07-00,676.8250435233718,0.0
rangeland-aug-4-15err~+01-08-00,738.4375894239703,0.0
rangeland-aug-4-15err~+01-09-00,752.1572211911097,0.0
rangeland-aug-4-15err~+01-10-00,736.0336157596155,0.0
rangeland-aug-4-15err~+01-11-00,698.7190395624543,0.0
rangeland-aug-4-15err~+01-12-00,645.2858501095149,0.0
rangeland-aug-4-15err~+01-13-00,582.7359301743518,0.0
rangeland-aug-4-15err~+01-14-00,523.3876382117736,0.0
rangeland-aug-4-15err~+01-15-00,506.22134087514,0.0
rangeland-aug-4-15err~+01-16-00,532.3470400208307,0.0
rangeland-aug-4-15err~+01-17-00,568.7017618665636,0.0
rangeland-aug-4-15err~+01-18-00,599.9363530310288,0.0
rangeland-aug-4-15err~+01-19-00,631.9229735529661,0.0
rangeland-aug-4-15err~+01-20-00,656.1428225074668,0.0
rangeland-aug-4-15err~+01-21-00,669.7066765710804,0.0
rangeland-aug-4-15err~+01-22-00,658.741768929651,0.0
rangeland-aug-4-15err~+01-23-00,623.0348389227929,0.0
rangeland-aug-4-15err~+02-00-00,587.7594405089814,0.0
rangeland-aug-4-15err~+02-01-00,566.2438154488734,0.0
rangeland-aug-4-15err~+02-02-00,564.8356895180548,0.0
rangeland-aug-4-15err~+02-03-00,591.8688060408901,0.0
rangeland-aug-4-15err~+02-04-00,634.8818103088537,0.0
rangeland-aug-4-15err~+02-05-00,683.6503806262626,0.0
rangeland-aug-4-15err~+02-06-00,731.9923470186012,0.0
rangeland-aug-4-15err~+02-07-00,769.6637561188088,0.0
