trace,op_ems,emb_ems
rangeland-dec-1-15err,832.243737632671,0.0
rangeland-dec-1-15err~+00-01-00,856.2690314624801,0.0
rangeland-dec-1-15err~+00-02-00,888.5038761046025,0.0
rangeland-dec-1-15err~+00-03-00,920.1647313546034,0.0
rangeland-dec-1-15err~+00-04-00,948.6574912206949,0.0
rangeland-dec-1-15err~+00-05-00,964.1553861885438,0.0
rangeland-dec-1-15err~+00-06-00,962.5009161604312,0.0
rangeland-dec-1-15err~+00-07-00,939.8751976776273,0.0
rangeland-dec-1-15err~+00-08-00,885.7807663169237,0.0
rangeland-dec-1-15err~+00-09-00,816.0298456664609,0.0
rangeland-dec-1-15err~+00-10-00,749.2618899586286,0.0
rangeland-dec-1-15err~+00-11-00,683.6295251125983,0.0
rangeland-dec-1-15err~+00-12-00,623.3090813443837,0.0
rangeland-dec-1-15err~+00-13-00,578.3538479607237,0.0
rangeland-dec-1-15err~+00-14-00,570.352678156473,0.0
rangeland-dec-1-15err~+00-15-00,629.6350262521412,0.0
rangeland-dec-1-15err~+00-16-00,727.1500462849729,0.0
rangeland-dec-1-15err~+00-17-00,827.6334228818369,0.0
rangeland-dec-1-15err~+00-18-00,919.9913761820153,0.0
rangeland-dec-1-15err~+00-19-00,1007.6819081213969,0.0
rangeland-dec-1-15err~+00-20-00,1091.810745006291,0.0
rangeland-dec-1-15err~+00-21-00,1152.3286120504265,0.0
rangeland-dec-1-15err~+00-22-00,1159.0507403928927,0.0
rangeland-dec-1-15err~+00-23-00,1147.4328257237746,0.0
rangeland-dec-1-15err~+01-00-00,1144.2030258985892,0.0
rangeland-dec-1-15err~+01-01-00,1159.5067370502536,0.0
rangeland-dec-1-15err~+01-02-00,1186.0459043628948,0.0
rangeland-dec-1-15err~+01-03-00,1213.9993226932775,0.0
rangeland-dec-1-15err~+01-04-00,1238.3052144374512,0.0
rangeland-dec-1-15err~+01-05-00,1262.2118079995143,0.0
rangeland-dec-1-15err~+01-06-00,1285.3738853043742,0.0
rangeland-dec-1-15err~+01-07-00,1306.408131669029,0.0
rangeland-dec-1-15err~+01-08-00,1326.0091343327763,0.0
rangeland-dec-1-15err~+01-09-00,1337.9297826030092,0.0
rangeland-dec-1-15err~+01-10-00,1351.0866710892024,0.0
rangeland-dec-1-15err~+01-11-00,1365.403129060004,0.0
rangeland-dec-1-15err~+01-12-00,1378.952128885781,0.0
rangeland-dec-1-15err~+01-13-00,1384.258304231773,0.0
rangeland-dec-1-15err~+01-14-00,1393.200666204451,0.0
rangeland-dec-1-15err~+01-15-00,1409.322174812035,0.0
rangeland-dec-1-15err~+01-16-00,1422.9202476933483,0.0
rangeland-dec-1-15err~+01-17-00,1434.0163232161635,0.0
rangeland-dec-1-15err~+01-18-00,1446.6041993819886,0.0
rangeland-dec-1-15err~+01-19-00,1458.3436865170652,0.0
rangeland-dec-1-15err~+01-20-00,1466.940307703527,0.0
rangeland-dec-1-15err~+01-21-00,1467.9614419124687,0.0
rangeland-dec-1-15err~+01-22-00,1462.7230793737642,0.0
rangeland-dec-1-15err~+01-23-00,1465.2153428821694,0.0
rangeland-dec-1-15err~+02-00-00,1470.7745924478263,0.0
rangeland-dec-1-15err~+02-01-00,1477.1896164293855,0.0
rangeland-dec-1-15err~+02-02-00,1488.6679935296627,0.0
rangeland-dec-1-15err~+02-03-00,1502.0077908465262,0.0
rangeland-dec-1-15err~+02-04-00,1516.0970800094103,0.0
rangeland-dec-1-15err~+02-05-00,1529.3345132940035,0.0
rangeland-dec-1-15err~+02-06-00,1537.3371831244426,0.0
rangeland-dec-1-15err~+02-07-00,1549.4352560356228,0.0
rangeland-dec-1-15err~+02-08-00,1561.996567849758,0.0
rangeland-dec-1-15err~+02-09-00,1569.7369403520768,0.0
rangeland-dec-1-15err~+02-10-00,1577.7079953065947,0.0
rangeland-dec-1-15err~+02-11-00,1583.5221322984503,0.0
rangeland-dec-1-15err~+02-12-00,1590.0516645141051,0.0
rangeland-dec-1-15err~+02-13-00,1599.1934265183768,0.0
rangeland-dec-1-15err~+02-14-00,1607.8134111469922,0.0
rangeland-dec-1-15err~+02-15-00,1619.0801038486416,0.0
rangeland-dec-1-15err~+02-16-00,1626.9348174656225,0.0
rangeland-dec-1-15err~+02-17-00,1632.4085206557982,0.0
rangeland-dec-1-15err~+02-18-00,1633.5385460602092,0.0
rangeland-dec-1-15err~+02-19-00,1626.0118508535534,0.0
rangeland-dec-1-15err~+02-20-00,1611.0025490893631,0.0
rangeland-dec-1-15err~+02-21-00,1588.5143502704318,0.0
rangeland-dec-1-15err~+02-22-00,1565.4861090099455,0.0
rangeland-dec-1-15err~+02-23-00,1555.5946013702128,0.0
rangeland-dec-1-15err~+03-00-00,1546.0906559331877,0.0
rangeland-dec-1-15err~+03-01-00,1543.0484833109736,0.0
rangeland-dec-1-15err~+03-02-00,1547.4893208439416,0.0
rangeland-dec-1-15err~+03-03-00,1550.8929218064604,0.0
rangeland-dec-1-15err~+03-04-00,1555.163037036644,0.0
rangeland-dec-1-15err~+03-05-00,1553.2477952016445,0.0
rangeland-dec-1-15err~+03-06-00,1546.4008522685465,0.0
rangeland-dec-1-15err~+03-07-00,1548.5288273923811,0.0
rangeland-dec-1-15err~+03-08-00,1552.2154910089275,0.0
rangeland-dec-1-15err~+03-09-00,1553.063593654159,0.0
rangeland-dec-1-15err~+03-10-00,1557.5311654336329,0.0
rangeland-dec-1-15err~+03-11-00,1558.0476973642806,0.0
rangeland-dec-1-15err~+03-12-00,1562.0764405247407,0.0
rangeland-dec-1-15err~+03-13-00,1564.29769811344,0.0
rangeland-dec-1-15err~+03-14-00,1567.3893259517358,0.0
rangeland-dec-1-15err~+03-15-00,1577.959774245568,0.0
rangeland-dec-1-15err~+03-16-00,1590.5648749580664,0.0
rangeland-dec-1-15err~+03-17-00,1597.3022883409342,0.0
rangeland-dec-1-15err~+03-18-00,1601.2079083818724,0.0
rangeland-dec-1-15err~+03-19-00,1603.5146701459967,0.0
rangeland-dec-1-15err~+03-20-00,1598.2409040425036,0.0
rangeland-dec-1-15err~+03-21-00,1582.8098909128744,0.0
rangeland-dec-1-15err~+03-22-00,1559.4619861635738,0.0
rangeland-dec-1-15err~+03-23-00,1546.2447525846392,0.0
rangeland-dec-1-15err~+04-00-00,1545.5814935395433,0.0
