trace,op_ems,emb_ems
rangeland-jun-3-25err,2322.3381971167205,0.0
rangeland-jun-3-25err~+00-01-00,2325.270996659682,0.0
rangeland-jun-3-25err~+00-02-00,2345.0354101939256,0.0
rangeland-jun-3-25err~+00-03-00,2383.0173031600816,0.0
rangeland-jun-3-25err~+00-04-00,2421.7098229577155,0.0
rangeland-jun-3-25err~+00-05-00,2462.697140303896,0.0
rangeland-jun-3-25err~+00-06-00,2502.4809895255817,0.0
rangeland-jun-3-25err~+00-07-00,2534.804649368133,0.0
rangeland-jun-3-25err~+00-08-00,2566.54395017453,0.0
rangeland-jun-3-25err~+00-09-00,2573.0882210947875,0.0
rangeland-jun-3-25err~+00-10-00,2537.5360633174437,0.0
rangeland-jun-3-25err~+00-11-00,2495.716467643658,0.0
rangeland-jun-3-25err~+00-12-00,2455.6285288425315,0.0
rangeland-jun-3-25err~+00-13-00,2415.475427222824,0.0
rangeland-jun-3-25err~+00-14-00,2385.584418034362,0.0
rangeland-jun-3-25err~+00-15-00,2345.110733668362,0.0
rangeland-jun-3-25err~+00-16-00,2328.1529088864945,0.0
rangeland-jun-3-25err~+00-17-00,2334.8208845395975,0.0
rangeland-jun-3-25err~+00-18-00,2334.430019453958,0.0
rangeland-jun-3-25err~+00-19-00,2334.69159354569,0.0
rangeland-jun-3-25err~+00-20-00,2334.764758225398,0.0
rangeland-jun-3-25err~+00-21-00,2334.927678871978,0.0
rangeland-jun-3-25err~+00-22-00,2337.2615488713054,0.0
rangeland-jun-3-25err~+00-23-00,2342.1129556334113,0.0
rangeland-jun-3-25err~+01-00-00,2353.36989353953,0.0
rangeland-jun-3-25err~+01-01-00,2364.745573184412,0.0
rangeland-jun-3-25err~+01-02-00,2368.670928898109,0.0
rangeland-jun-3-25err~+01-03-00,2405.814527712274,0.0
rangeland-jun-3-25err~+01-04-00,2450.374800780356,0.0
rangeland-jun-3-25err~+01-05-00,2486.6757004419646,0.0
rangeland-jun-3-25err~+01-06-00,2513.437041580495,0.0
rangeland-jun-3-25err~+01-07-00,2534.8291913250905,0.0
rangeland-jun-3-25err~+01-08-00,2545.360877277614,0.0
rangeland-jun-3-25err~+01-09-00,2551.446803850063,0.0
rangeland-jun-3-25err~+01-10-00,2507.172493545748,0.0
rangeland-jun-3-25err~+01-11-00,2462.2925635435913,0.0
rangeland-jun-3-25err~+01-12-00,2419.844864545198,0.0
rangeland-jun-3-25err~+01-13-00,2380.1401951099206,0.0
rangeland-jun-3-25err~+01-14-00,2350.2386932403933,0.0
rangeland-jun-3-25err~+01-15-00,2331.8730241570943,0.0
rangeland-jun-3-25err~+01-16-00,2322.3381971167205,0.0
rangeland-jun-3-25err~+01-17-00,2322.183598734423,0.0
rangeland-jun-3-25err~+01-18-00,2322.334606774166,0.0
rangeland-jun-3-25err~+01-19-00,2322.7641519542262,0.0
rangeland-jun-3-25err~+01-20-00,2322.9469635926903,0.0
rangeland-jun-3-25err~+01-21-00,2321.7852033482823,0.0
rangeland-jun-3-25err~+01-22-00,2319.851814933323,0.0
rangeland-jun-3-25err~+01-23-00,2326.961104450276,0.0
rangeland-jun-3-25err~+02-00-00,2338.0611813585374,0.0
rangeland-jun-3-25err~+02-01-00,2352.4381856610144,0.0
rangeland-jun-3-25err~+02-02-00,2369.3404866476353,0.0
rangeland-jun-3-25err~+02-03-00,2408.590017866052,0.0
rangeland-jun-3-25err~+02-04-00,2444.507228621177,0.0
rangeland-jun-3-25err~+02-05-00,2481.4704076289618,0.0
rangeland-jun-3-25err~+02-06-00,2511.7251714573094,0.0
rangeland-jun-3-25err~+02-07-00,2531.106625526757,0.0
rangeland-jun-3-25err~+02-08-00,2551.5691871690574,0.0
rangeland-jun-3-25err~+02-09-00,2557.3579771118175,0.0
rangeland-jun-3-25err~+02-10-00,2515.0743151549955,0.0
rangeland-jun-3-25err~+02-11-00,2484.178785466328,0.0
rangeland-jun-3-25err~+02-12-00,2446.5791704507506,0.0
rangeland-jun-3-25err~+02-13-00,2409.3181392991582,0.0
rangeland-jun-3-25err~+02-14-00,2374.842822506508,0.0
rangeland-jun-3-25err~+02-15-00,2339.3162789010894,0.0
rangeland-jun-3-25err~+02-16-00,2320.7358352096753,0.0
rangeland-jun-3-25err~+02-17-00,2315.2144552947893,0.0
rangeland-jun-3-25err~+02-18-00,2311.6021677402355,0.0
rangeland-jun-3-25err~+02-19-00,2308.720181124514,0.0
rangeland-jun-3-25err~+02-20-00,2308.6163681331323,0.0
rangeland-jun-3-25err~+02-21-00,2305.4447097237485,0.0
rangeland-jun-3-25err~+02-22-00,2306.1892256695364,0.0
rangeland-jun-3-25err~+02-23-00,2312.9277390478182,0.0
rangeland-jun-3-25err~+03-00-00,2322.714662024225,0.0
rangeland-jun-3-25err~+03-01-00,2328.741543144054,0.0
rangeland-jun-3-25err~+03-02-00,2334.092291312354,0.0
rangeland-jun-3-25err~+03-03-00,2363.2020341342513,0.0
rangeland-jun-3-25err~+03-04-00,2403.226735409724,0.0
rangeland-jun-3-25err~+03-05-00,2429.973107256399,0.0
rangeland-jun-3-25err~+03-06-00,2447.8196628431083,0.0
rangeland-jun-3-25err~+03-07-00,2470.7502951749375,0.0
rangeland-jun-3-25err~+03-08-00,2509.341290723086,0.0
rangeland-jun-3-25err~+03-09-00,2526.7520006401624,0.0
rangeland-jun-3-25err~+03-10-00,2491.9864172149487,0.0
rangeland-jun-3-25err~+03-11-00,2456.629520504996,0.0
rangeland-jun-3-25err~+03-12-00,2431.010724474799,0.0
rangeland-jun-3-25err~+03-13-00,2406.8419763147763,0.0
rangeland-jun-3-25err~+03-14-00,2378.3806520153535,0.0
rangeland-jun-3-25err~+03-15-00,2340.024379068329,0.0
rangeland-jun-3-25err~+03-16-00,2323.1947510574937,0.0
rangeland-jun-3-25err~+03-17-00,2323.202709255891,0.0
rangeland-jun-3-25err~+03-18-00,2323.4452073561442,0.0
rangeland-jun-3-25err~+03-19-00,2321.4455015288813,0.0
rangeland-jun-3-25err~+03-20-00,2318.593607672781,0.0
rangeland-jun-3-25err~+03-21-00,2315.800764588226,0.0
rangeland-jun-3-25err~+03-22-00,2313.756777344507,0.0
rangeland-jun-3-25err~+03-23-00,2321.599769174798,0.0
rangeland-jun-3-25err~+04-00-00,2330.2405278764536,0.0
