trace,op_ems,emb_ems
rangeland-may-2-15err,2383.8762907245377,0.0
rangeland-may-2-15err~+00-01-00,2398.922790458393,0.0
rangeland-may-2-15err~+00-02-00,2418.7572706302103,0.0
rangeland-may-2-15err~+00-03-00,2461.664046892095,0.0
rangeland-may-2-15err~+00-04-00,2505.553343495014,0.0
rangeland-may-2-15err~+00-05-00,2541.0937540627347,0.0
rangeland-may-2-15err~+00-06-00,2567.5097509553057,0.0
rangeland-may-2-15err~+00-07-00,2585.3461294468843,0.0
rangeland-may-2-15err~+00-08-00,2601.4271319610966,0.0
rangeland-may-2-15err~+00-09-00,2599.1360015050345,0.0
rangeland-may-2-15err~+00-10-00,2555.6649631397686,0.0
rangeland-may-2-15err~+00-11-00,2511.8533429366253,0.0
rangeland-may-2-15err~+00-12-00,2469.322867018528,0.0
rangeland-may-2-15err~+00-13-00,2428.5355391358157,0.0
rangeland-may-2-15err~+00-14-00,2397.6493419480835,0.0
rangeland-may-2-15err~+00-15-00,2366.6688666869895,0.0
rangeland-may-2-15err~+00-16-00,2350.117735491179,0.0
rangeland-may-2-15err~+00-17-00,2350.117735491179,0.0
rangeland-may-2-15err~+00-18-00,2350.117735491179,0.0
rangeland-may-2-15err~+00-19-00,2350.117735491179,0.0
rangeland-may-2-15err~+00-20-00,2350.117735491179,0.0
rangeland-may-2-15err~+00-21-00,2350.117735491179,0.0
rangeland-may-2-15err~+00-22-00,2353.005941573307,0.0
rangeland-may-2-15err~+00-23-00,2367.958656554818,0.0
rangeland-may-2-15err~+01-00-00,2382.9735171590764,0.0
rangeland-may-2-15err~+01-01-00,2398.0001145869546,0.0
rangeland-may-2-15err~+01-02-00,2417.954767725663,0.0
rangeland-may-2-15err~+01-03-00,2459.8249597765707,0.0
rangeland-may-2-15err~+01-04-00,2497.110629858683,0.0
rangeland-may-2-15err~+01-05-00,2532.09744030422,0.0
rangeland-may-2-15err~+01-06-00,2558.3684111849975,0.0
rangeland-may-2-15err~+01-07-00,2569.8074868421336,0.0
rangeland-may-2-15err~+01-08-00,2589.460531337325,0.0
rangeland-may-2-15err~+01-09-00,2589.628240687476,0.0
rangeland-may-2-15err~+01-10-00,2547.8362178599336,0.0
rangeland-may-2-15err~+01-11-00,2510.6674501256657,0.0
rangeland-may-2-15err~+01-12-00,2468.729283016707,0.0
rangeland-may-2-15err~+01-13-00,2427.7501725576776,0.0
rangeland-may-2-15err~+01-14-00,2406.991547798171,0.0
rangeland-may-2-15err~+01-15-00,2367.0889934890065,0.0
rangeland-may-2-15err~+01-16-00,2383.1846159710312,0.0
rangeland-may-2-15err~+01-17-00,2398.873111790518,0.0
rangeland-may-2-15err~+01-18-00,2399.0836282666287,0.0
rangeland-may-2-15err~+01-19-00,2399.195377195335,0.0
rangeland-may-2-15err~+01-20-00,2399.1200030096625,0.0
rangeland-may-2-15err~+01-21-00,2399.430843058462,0.0
rangeland-may-2-15err~+01-22-00,2401.8032073962813,0.0
rangeland-may-2-15err~+01-23-00,2362.958741916768,0.0
rangeland-may-2-15err~+02-00-00,2368.7993946633283,0.0
rangeland-may-2-15err~+02-01-00,2373.5480318435875,0.0
rangeland-may-2-15err~+02-02-00,2386.250470788551,0.0
