trace,op_ems,emb_ems
rnaseq-apr-2-15err,456.5959601232711,0.0
rnaseq-apr-2-15err~+00-01-00,407.73791796623357,0.0
rnaseq-apr-2-15err~+00-02-00,377.2599641099098,0.0
rnaseq-apr-2-15err~+00-03-00,357.358526276597,0.0
rnaseq-apr-2-15err~+00-04-00,348.9147467247429,0.0
rnaseq-apr-2-15err~+00-05-00,375.4661600308066,0.0
rnaseq-apr-2-15err~+00-06-00,444.19436598475033,0.0
rnaseq-apr-2-15err~+00-07-00,540.2653468564354,0.0
rnaseq-apr-2-15err~+00-08-00,619.2875091990762,0.0
rnaseq-apr-2-15err~+00-09-00,668.3629214264915,0.0
rnaseq-apr-2-15err~+00-10-00,672.2350306982846,0.0
rnaseq-apr-2-15err~+00-11-00,619.446731696017,0.0
rnaseq-apr-2-15err~+00-12-00,492.56384971020236,0.0
rnaseq-apr-2-15err~+00-13-00,344.0862835898581,0.0
rnaseq-apr-2-15err~+00-14-00,242.62056922684138,0.0
rnaseq-apr-2-15err~+00-15-00,217.19976411871778,0.0
rnaseq-apr-2-15err~+00-16-00,212.65465234977844,0.0
rnaseq-apr-2-15err~+00-17-00,214.32479045629623,0.0
rnaseq-apr-2-15err~+00-18-00,216.0828843979409,0.0
rnaseq-apr-2-15err~+00-19-00,212.5556686596448,0.0
rnaseq-apr-2-15err~+00-20-00,200.30713372769304,0.0
rnaseq-apr-2-15err~+00-21-00,186.85134620411873,0.0
rnaseq-apr-2-15err~+00-22-00,170.28338180311582,0.0
rnaseq-apr-2-15err~+00-23-00,151.54082979264024,0.0
rnaseq-apr-2-15err~+01-00-00,129.19225936025975,0.0
rnaseq-apr-2-15err~+01-01-00,113.73594793615078,0.0
rnaseq-apr-2-15err~+01-02-00,102.98757076141163,0.0
rnaseq-apr-2-15err~+01-03-00,98.3296538479498,0.0
rnaseq-apr-2-15err~+01-04-00,99.31886780765728,0.0
rnaseq-apr-2-15err~+01-05-00,100.93282082808845,0.0
rnaseq-apr-2-15err~+01-06-00,102.00327421575204,0.0
rnaseq-apr-2-15err~+01-07-00,104.63961645241756,0.0
rnaseq-apr-2-15err~+01-08-00,118.62119881151416,0.0
rnaseq-apr-2-15err~+01-09-00,141.44506948871458,0.0
rnaseq-apr-2-15err~+01-10-00,162.7079718384159,0.0
rnaseq-apr-2-15err~+01-11-00,167.85425941339508,0.0
rnaseq-apr-2-15err~+01-12-00,173.9252753833257,0.0
rnaseq-apr-2-15err~+01-13-00,186.63536334980876,0.0
rnaseq-apr-2-15err~+01-14-00,205.61716394131554,0.0
rnaseq-apr-2-15err~+01-15-00,212.5832379102344,0.0
rnaseq-apr-2-15err~+01-16-00,210.853160657465,0.0
rnaseq-apr-2-15err~+01-17-00,214.77374007008763,0.0
rnaseq-apr-2-15err~+01-18-00,231.8109830175378,0.0
rnaseq-apr-2-15err~+01-19-00,293.73253113783124,0.0
rnaseq-apr-2-15err~+01-20-00,385.28250205347547,0.0
rnaseq-apr-2-15err~+01-21-00,441.66612673606915,0.0
rnaseq-apr-2-15err~+01-22-00,409.9727617281253,0.0
rnaseq-apr-2-15err~+01-23-00,333.72314947993186,0.0
rnaseq-apr-2-15err~+02-00-00,253.25897484624818,0.0
rnaseq-apr-2-15err~+02-01-00,184.0223758408932,0.0
rnaseq-apr-2-15err~+02-02-00,129.61381300402198,0.0
rnaseq-apr-2-15err~+02-03-00,99.79282496823771,0.0
rnaseq-apr-2-15err~+02-04-00,92.89738229363527,0.0
